index,user,title,content,comment,link,date,view,rate,comment_count
40003143,ㅇㅇ#69554252,카운터인데 솔져인 소림이도 있는데 각성솔져 안될거 뭐있노?,소림이가 밑밥 깔아둿다 이거야.,"[{'user': '중국몽죄인', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/40003143,2021-12-09 14:24:33,21,0,1
40003126,꼬리를문뱀#24619419,각성 솔져는 토미더 다이하드 처럼 여럿 붙여놓으면 좋지 않을까,팀: 블랙타이드 같은 식으로한번에 여럿 튀어나오면각성 구색은 맞출수 있을것 같은데,"[{'user': '젖은항상옳다', 'comment': '에델이 맛있게 먹었답니다'}, {'user': 'ㅇㅇ#69554252', 'comment': '이겜 개나소나 광역기 가지고 있어서 특수기 한방에 전멸할 예정'}, {'user': '부식되는세계', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/40003126,2021-12-09 14:24:06,19,0,2
40003071,응애나추룡아가,3별 땄따,,"[{'user': '갓겜충아님', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/40003071,2021-12-09 14:23:14,26,0,1
40003047,ㅇㅇ#96246091,근데 솔직히 각성 솔저는 힘들지..,솔저는 결국 장비의 힘으로 상대하는건데..겁나 우수한 장비를 갖춘 구관리국 애들이 일반이야..이러면 각성은 구관리국 표준 이상의 장비를 제식장비로 갖춘 애들이어야한다는 말인데..아직 이전의 테크레벨도 못 따라잡은 와중에 그런 제식장비가 나올수가.. 있을까…,"[{'user': '젖은항상옳다', 'comment': '약빨이랑 수술로 무적인 솔저도 있으니까 ㅋㅋ'}, {'user': '엿이나처무라#99513101', 'comment': '각성 메카부터 말이안돼 ㅋㅋ'}, {'user': 'ㅇㅇ#40443957', 'comment': '전투경험치 만랩 전설의 용병이 나올지도 모르지'}, {'user': 'OO#11491673', 'comment': '그걸 따지면 각성 솔져는 로조죠.\n무려 트리플 하트의 거대 사나이.'}]",https://arca.live/b/counterside/40003047,2021-12-09 14:22:43,33,-1,4
40002989,엿이나처무라#99513101,각성 솔저는 그 분 일듯 -역대급 스포주의-,루시드 스토리에서 초중반까지 비중있게 나온 핸들 이라는 용병 솔저 남자 있음얘만 복붙 솔저 일러 넣지도않았음그리고 심지어 여동생을 지켜야한다는 떡밥까지각성 솔저는 핸들이 무조건이네 ㅋㅋ,"[{'user': 'ㅇㅇ#69554252', 'comment': '(emoticon)'}, {'user': '엿이나처무라#99513101', 'comment': '(emoticon)'}, {'user': '갓겜충아님', 'comment': '이미 침식체 점심이 됐다네요'}, {'user': '엿이나처무라#99513101', 'comment': '카사의 진짜 진주인공 핸들 등장각'}]",https://arca.live/b/counterside/40002989,2021-12-09 14:21:44,65,0,3
40002946,ㅇㅇ#13703767,지옥에서 돌아온 에디피셔,패시브: 딸을 소환수로 소환,"[{'user': '부식되는세계', 'comment': '(emoticon)'}, {'user': 'ㅇㅇ#40443957', 'comment': '윌버도 손사레 칠 발상'}, {'user': '갓겜충아님', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/40002946,2021-12-09 14:20:50,53,0,3
40002929,판타지카,진짜 각성한 솔져,솔져에서 각성해서 카운터됨,,https://arca.live/b/counterside/40002929,2021-12-09 14:20:38,32,1,0
40002907,갓겜충아님,가은이 이 콘 귀여움,정수리 쥐어박고싶농 ㅋㅋ,"[{'user': 'SDAKAJUXIM', 'comment': '(emoticon)'}, {'user': '59XZa#80792176', 'comment': '(emoticon)'}, {'user': 'ㅇㅇ#96199898', 'comment': '나는 너가 더 귀여워 나랑 섹스할래?'}, {'user': '갓겜충아님', 'comment': '(emoticon)'}, {'user': 'ㅇㅇ#96199898', 'comment': '(emoticon)'}, {'user': '블루아카이브', 'comment': '(emoticon)'}, {'user': '정실부인은이수연', 'comment': '(emoticon)'}, {'user': '화선', 'comment': '(emoticon)'}, {'user': 'starseeker', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/40002907,2021-12-09 14:20:10,62,0,9
40002888,"ㅇㅇ, 14.35",각성솔저는 설정상 존재할수가 없잖음..,솔저같은 일반인이 각성하면 워치얻고 카운터 되는건데지금 카운터들이 전부다 각성솔저임,"[{'user': '컨섹', 'comment': '당장 파펀이 스알 솔저에서 쓰알 카운터 됏으니간 ㅋㅋ'}, {'user': 'ㅇㅇ#69554252', 'comment': '반대임 워치얻고 각성하는거임'}, {'user': '젖은항상옳다', 'comment': '각성 롸벗들도 있는데 그냥 일반인용 장비를 줫나 좋은거 줬답니다 하나면 끝일듯 ㅋㅋ'}, {'user': '엿이나처무라#99513101', 'comment': '그렇게 따지면 메카녀석들도\n강인공지능이고 뭐고\n각성 하면 안돼고 궁극기도 있으면 안돼'}, {'user': '뚜빵이', 'comment': '치후유같은 설정으로다가 노력이나 테크닉빨로 능력자 이상의 포텐셜 뽑는 비능력자 노익장 이런 컨셉이면 인류뽕차고 얼마나 좋은데.'}]",https://arca.live/b/counterside/40002888,2021-12-09 14:19:56,69,-1,5
40002868,ㅇㅇ#69554252,생각해보면 이때가 그립다.,,,https://arca.live/b/counterside/40002868,2021-12-09 14:19:27,14,0,0
