index,user,title,content,comment,link,date,view,rate,comment_count
40578704,ㅇㅇ#84900491,모아보니까 카사도 고퀄 짤 많긴 한데,대부분은 그려주는 사람들만 그려주네,,https://arca.live/b/counterside/40578704,2021-12-17 23:51:42,1,0,0
40578679,Paka,부부가 산에 오르면?,쁏,"[{'user': '뷰룻', 'comment': '(emoticon)'}, {'user': '숲토끼', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/40578679,2021-12-17 23:51:18,10,0,0
40578676,견로,리벳 개련 방심 못하겟네,양하림 실드 살짝 늦게들가니까 그때 궁박아서 다 조져버림어젠 안전성 100%엿는데,,https://arca.live/b/counterside/40578676,2021-12-17 23:51:14,8,0,0
40578581,폴리네시아,미나링단 모여!!!,,"[{'user': '숲토끼', 'comment': '(emoticon)'}, {'user': '블루아카이브', 'comment': '(emoticon)'}, {'user': '퀸미나', 'comment': '모여ㅕㅕㅕ'}, {'user': 'ㅇㅇ#81071525', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/40578581,2021-12-17 23:49:57,29,0,3
40578543,블루아카이브,넌 오늘부터 유키란다,,"[{'user': '뷰룻', 'comment': '(emoticon)'}, {'user': '블루아카이브', 'comment': '(emoticon)'}, {'user': 'Aoi', 'comment': '윾키ㅋㅋㅋㅋ'}, {'user': '블루아카이브', 'comment': '(emoticon)'}, {'user': 'OldKing', 'comment': '(emoticon)'}, {'user': '블루아카이브', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/40578543,2021-12-17 23:49:25,56,1,6
40578517,Paka,몰루는 카린이랑 아스나 보고 갔는데,새로운 세상에 눈을 뜸,"[{'user': '블루아카이브', 'comment': '(emoticon)'}, {'user': '방연#60601907', 'comment': '페도 매모'}, {'user': 'Paka', 'comment': '(emoticon)'}, {'user': 'OldKing', 'comment': '(emoticon)'}, {'user': '스트로베리샤베트', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/40578517,2021-12-17 23:49:01,42,0,5
40578515,클러스트,흑인이 눈을 멀면?,그래도 흑인이 보임,"[{'user': 'ㅇㅇ#81071525', 'comment': '암흑'}, {'user': '블루아카이브', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/40578515,2021-12-17 23:48:59,39,2,2
40578484,하례아,요새 메카노하기 좋은겜을 찾았음,"3D 격겜 같은건데 마우스로 조종하면서보스 죽이는 쾌감이 스트레스 풀기 째짐다만, 렉이 심해서 맵 이동할때마다 3분 기다려야한다는 점..",,https://arca.live/b/counterside/40578484,2021-12-17 23:48:36,20,0,0
40578400,암드,블라인드 개 씹선비들만 있구나,흑인드립날렸더니 비하발언으로 신고당함 ㅋㅋㅋ,"[{'user': '방연#60601907', 'comment': '병신들이네'}, {'user': '부식되는세계', 'comment': '거기서오ㅑ 흑인드립을왜쳐시발ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'}, {'user': 'ㅇㅇ#83721190', 'comment': '돌았냨ㅋㅋㅋㅋㅋㅋㅋㅋㅋ'}, {'user': '치나츠', 'comment': '(emoticon)'}, {'user': '던붕이', 'comment': '스티비윈더 드립?'}, {'user': '암드', 'comment': '흑인이 고백할때 하는말은?\n니꺼!'}, {'user': '던붕이', 'comment': '미친놈ㅋㅋ'}, {'user': '별로형', 'comment': '(emoticon)'}, {'user': '토깡이', 'comment': '(emoticon)'}, {'user': '숲토끼', 'comment': '(emoticon)'}, {'user': '그냥막만든아이디#22831543', 'comment': '디시나 아카에서나 그런드립 치셈 에타만 가도 바로 신고당해서 정지당한다 ㅋㅋㅋ'}, {'user': '폴리네시아', 'comment': '(emoticon)'}, {'user': 'Paka', 'comment': '챈에서만 하자ㅋㅋ'}, {'user': '유리인', 'comment': '그건 니가 ㅋㅋㅋㅋㅋㅋ'}]",https://arca.live/b/counterside/40578400,2021-12-17 23:47:10,114,9,14
40578383,싱클레어,근첩 좆같은 이유,멀쩡한 단어 잘만 쓰다가도 근첩새끼들이 쓰기 시작하면 못씀 ㅅㅂ 아는 형이 자기도 모르고 근첩 단어 쓰는데 ㅅㅂ 그걸 말해줄수도 없고 ㅅㅄㅄㅂ 개좆같은 근첩새끼들 언제 망하노,"[{'user': '방연#60601907', 'comment': '여기서만 존나 민감한거임'}, {'user': '유리인', 'comment': '커뮤밖에선 신경 안쓰지'}]",https://arca.live/b/counterside/40578383,2021-12-17 23:46:57,32,1,2
40578340,한우쟝,난 스파이더맨 아직 안 봤지만 스포는 다 찾아봄,코로나 무서워서 개봉버프 빠지고 크리스마스 시즌도 지나고 사람 없을때 볼거임근데 궁금해서 다 찾아봤음난 영화보기전에 스포 다 찾아서미리 알고 가는 타입이라스포 당해도 데미지 0이다,"[{'user': '퀸미나', 'comment': '이번건 ㄹㅇ 스포당하면 감동 다빠질거같아서 개참았는데 난'}, {'user': '한우쟝', 'comment': '스포 당해도 감동 안 빠져. 오히려 알고가야  영화 전체가 눈에 제대로 들어온다'}, {'user': '퀸미나', 'comment': '그런것도 있긴함'}]",https://arca.live/b/counterside/40578340,2021-12-17 23:46:19,48,-1,3
40578334,DMSP#27377272,한섭은 번역만 해야되겠노,,"[{'user': '네모네모', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/40578334,2021-12-17 23:46:16,48,1,1
40578331,주시윤,몰루에서 카린만 카사로 빼오고 싶다,이뻐,"[{'user': '치나츠', 'comment': '흑'}, {'user': '부식되는세계', 'comment': '우리카린은요...'}, {'user': '부식되는세계', 'comment': '(emoticon)'}, {'user': '주시윤', 'comment': '(emoticon)'}, {'user': 'OldKing', 'comment': '(emoticon)'}, {'user': 'ㅇㅇ#47477551', 'comment': '잘따게생겼네'}]",https://arca.live/b/counterside/40578331,2021-12-17 23:46:13,58,0,6
