Keyword,count
각등,672
패시브,311
스킬,280
각성,253
특수기,248
레벨,237
스킬레벨,221
달성,206
시윤,202
피해,191
증가,182
감소,157
궁극기,155
각힐,150
미니,149
유나,147
서윤,144
출격,144
버프,136
각시윤,129
수연,127
공속,116
공격,114
오토,110
시전,110
맞은,109
5퍼,105
체력,104
각서윤,103
에이미,100
유빈,98
상향,94
유닛,93
20,91
pv,87
힐데,86
각수연,85
각미나,84
함선,76
공익,75
각유나,75
캐릭터,74
강평,74
깡통,73
호라이즌,72
평타,71
스충,70
50,67
적용,66
각성캐,64
재무장,64
미니스트라,63
pve,62
샤오린,61
각유빈,61
공중,58
30퍼,58
이볼브,57
5초,56
디펜,55
성능,55
주시윤,54
효과,54
20퍼,53
1명,52
15퍼,52
이지수,51
회피,51
기본,51
각우,51
메카,50
스커,50
딜러,49
각등이가,49
스킨,49
닥등이,49
피해감소,46
이볼브원,46
쫄작,46
타워,46
제외,46
그마,46
디펜더,45
5초간,45
2초,44
시그마,43
메카닉,42
발동,42
세라펠,42
홍어,41
10퍼,41
8초,40
사기,40
50퍼,40
면역,39
스토리,39
변경,38
카운터,38
패시브2,38
오퍼,38
범위,38
타오린,38
케오린,37
출시,36
타격,36
장비,36
후라이,35
류드,35
상황,35
아군,35
로자,35
8초간,35
치명,34
보스,34
기본공격,34
출격기,34
감사,33
이하,33
25퍼,33
강화,33
1-,33
유미나,32
6초,32
플레,32
2초간,32
협력,32
디버프,32
소환,32
나유빈,32
생성,32
스턴,31
블레이즈,31
3명,31
해제,31
스피라,31
협력전,30
배리어,30
40,30
러쉬,30
조건,30
건틀렛,29
이프,29
상태,29
양하림,29
기채,29
기준,28
12초,28
회복,28
110,28
현재,28
선택권,28
전장,28
2명,27
경직,27
리트,27
신지아,27
나이트,27
코스트,27
각등이랑,27
감사합니다,27
전진,26
이터,26
레이크,26
10초,26
사망,26
치나츠,26
취향,26
각호,25
지피,25
피해량,25
각후,25
능력,25
넉백,25
메공,25
소영,25
복각,24
이수연,24
치후유,24
강소영,24
12초간,24
메공속,24
빼고,24
pvp,24
뉴비,23
유효타,23
알렉스,23
스카이,23
리타,23
후라이즌,23
비숍,23
4초,23
세리나,23
타워린,23
출격시,23
케이시,23
영구,23
3-,22
밀리아,22
인해,22
에블린,22
카일,22
무적,22
서폿,22
이프리트,22
10초간,22
1주년,21
캐오린,21
유효타격,21
유지,21
유리,21
베로니카,21
13,21
도마,21
라인,21
에델,21
6초간,21
공격력,21
추천,21
니가와,21
이노,20
생존,20
피감,20
분탕,20
순위,20
메이즈,20
주시영,20
릴리,20
피해감소율,20
2-,20
김하나,19
오르카,19
모션,19
최지훈,19
주변,19
치명타,19
코핀,19
침식체,19
2배,19
로자리아,19
다이브,19
사장,19
컨셉,18
수류탄,18
타이탄,18
4초간,18
후열,18
펜릴,18
나나하라,18
반격,18
드라코,18
상성,18
제인,18
배신,18
이젠,18
타입,18
오버플로,18
네르비에,17
완전회피,17
대적자,17
40퍼,17
비교,17
부탁,17
70,17
류드밀라,17
패시브3,17
터미,17
간지,17
아마,17
방어력,17
반대,17
6코,17
모네,17
헤일로,17
일러,17
앞에,17
각힐데,16
카린,16
하랍,16
패치,16
받고,16
4쫄작,16
천장,16
레인저,16
기채권,16
유효타격수,16
전진출격,16
최대체력,16
옌싱,16
이유리,16
메타,16
엄청,16
나이엘,16
고민,16
않음,16
깡우,16
아티,16
세트,16
성우,16
적폐,16
융합,16
아인,15
라라,15
채용,15
2호기,15
공략,15
15초,15
비례,15
퍼뎀,15
매우,15
전당,15
대사,15
비슷,15
츠바이,15
박정자,15
저격,15
사나에,15
8명,15
지정,15
퇴물,15
불가,15
맞아,15
알비온,15
레지나,15
각선권,15
좋을,15
존버,15
받은,15
3초,15
1-1,15
한정,15
내고,15
등등,15
무지성,15
셰나,15
링컨,14
솔저,14
100퍼,14
기계수집가,14
누렁이,14
메인,14
이유미,14
허메골골,14
각호라,14
1티어,14
4코,14
구관총,14
야누스,14
리플퀸,14
부옵,14
실명,14
메스충,14
각등이도,14
브릿지,14
보유,14
융핵,13
등이보다,13
PVE,13
주화,13
15초간,13
젊수연,13
사원,13
활용,13
직후,13
스탯,13
3회,13
좋다,13
쓰는데,13
필수,13
핑챙,13
뽑는,13
내면,13
재등이,13
스샷,13
2퍼,13
옛날,13
변수,13
지상,13
되서,12
포함,12
관검,12
시전시,12
캐릭터이다,12
라라예거,12
3퍼,12
뉴디트,12
각서윤오토,12
거고,12
아예,12
회복량,12
여전히,12
킹깡,12
뽑고,12
한줄평,12
4회,12
인플레,12
우선,12
특수기궁극기,12
댓글,12
방법,12
받을,12
챌린지,12
리더,12
일반,12
격전,12
또한,12
존메,12
이번주,12
마패,12
파밍,12
타겟,12
2스,12
4쫄작오토,12
도미닉,12
제한,12
중첩,11
못하는,11
맞고,11
감우,11
금태,11
장점,11
치피,11
마리아,11
구관검,11
몸이,11
예상,11
주인공,11
전자,11
딜링,11
3코,11
관남충,11
패스,11
오퍼레이터,11
별명,11
지렁이,11
뒤로,11
로우,11
리패시브,11
픽업,11
5쫄,11
스비,11
고정피해,11
그것,11
가능한,11
램리썰,11
될듯,11
각등이보다,11
이속,11
여기서,11
리플레이서,11
이때,11
시무룩,11
밸패,11
사거리,11
초반,11
딱히,11
힐러,11
수정,11
고인,11
최대한,11
비해,11
가능성,10
붙여,10
건쉽,10
임의,10
나올때,10
1밴,10
하여,10
타이밍,10
패키지,10
부사장,10
원툴,10
각성캐들,10
종신,10
한명,10
좋지,10
안됨,10
카미,10
성능이,10
1개,10
최피제,10
추가피해,10
루시드,10
방깎,10
뉴오하,10
버리는,10
2코,10
해당,10
아인츠바이,10
dps,10
줘서,10
1세트,10
실비아,10
루크레시아,10
능력치,10
못함,10
크게,10
5쫄작,10
당한,10
솔져,10
정리,10
코트,10
배신자,10
보기,10
영구적,10
소총,10
질문,10
60퍼,10
같긴,10
엔터,10
좆사기,9
설명,9
더빙,9
터지는,9
사실상,9
장풍,9
물몸,9
받아서,9
방벽,9
캐스트럴,9
넣을,9
안씀,9
혼자,9
김소빈,9
이진,9
5쫄작오토,9
확정,9
20초,9
맘에,9
레피,9
소대,9
주자,9
저번,9
이디스,9
제거,9
론리,9
쫄처리,9
ㄱㅅㄱㅅ,9
발생,9
동일,9
미안,9
불가능,9
하더라,9
될거,9
쓰알,9
나왔을,9
복귀,9
2회,9
엘리,9
있으니,9
70퍼,9
키퍼,9
전방,9
있어야,9
역류,9
계열,9
SSR,9
같고,9
스킬레벨5,9
에스타크,9
루미,9
상관,9
타라스크,9
쿼츠,9
