Keyword,count
각힐,710
힐데,211
각성,210
공익,152
시윤,149
미니,141
서윤,133
오토,132
pv,130
유나,125
스충,107
각등,103
각시윤,103
디펜,101
유빈,100
각서윤,88
pve,86
수연,82
특수기,79
디펜더,74
상향,71
함선,70
버프,66
에이미,65
호라이즌,64
딜러,62
출격,60
캐릭터,59
깡통,59
다이브,58
각성캐,58
각힐데,57
탱커,57
50,55
각유빈,55
각유나,54
공략,53
회피,53
공속,52
성능,52
분탕,51
선택권,51
각수연,50
각우,50
이볼브,48
허메골,48
스킬,47
허메골골,46
체체,45
티어,44
이지수,43
하림,43
코스트,43
스피라,43
체력,42
공중,42
전당,42
뉴비,41
후라이,40
타워,40
재무장,40
미니스트라,39
지피,39
미나,39
유닛,39
샤오린,38
피감,37
오퍼,37
쫄작,36
110,36
나유빈,36
pvp,35
리세,34
후열,34
사기,34
스커,34
소대,34
기본,34
타오린,34
타격,33
장비,32
소환,32
추천,32
이프,31
이볼브원,31
평타,30
스킨,30
양하림,30
조건,30
보스,29
유미,29
상황,29
밀리아,28
탱킹,28
방어,27
구관총,27
플레,27
리트,27
라인,27
깡우,27
넉백,27
주시윤,26
각호,26
피해,26
후라이즌,26
출시,26
카일,26
레인저,25
모션,25
20,25
지원,25
컨셉,24
대적자,24
이수연,24
치후유,24
여신,24
해제,24
베로니카,24
부옵,24
빼고,24
니가와,24
타이탄,23
풀오토,23
스토리,23
카운터,23
1주,23
에블린,23
PV,23
궁극기,23
시그마,23
앞에,23
1주년,22
강화,22
여기서,22
챌린지,22
서폿,22
전열,22
sr,21
기준,21
에델,21
패턴,21
각후,21
등등,21
상관,21
블레이즈,20
날개,20
인해,20
6코,20
타워린,20
힐러,20
메스충,20
전장,20
제한,20
각힐이랑,19
타이밍,19
천장,19
리타,19
혼자,19
평가,19
세리나,19
엄청,19
각미나,19
강소영,19
각선권,19
않음,19
나이트,19
스나,19
계수,19
에서도,18
건틀렛,18
캐오린,18
유지,18
4코,18
여신님,18
옌싱,18
좋다,18
돌진,18
데미지,18
필수,18
세라펠,18
명중,18
홍어,18
리더,18
초반,18
공격,18
맞고,17
패치,17
받고,17
50층,17
스펙,17
강평,17
배리어,17
스탯,17
마리,17
메타,17
저격,17
3별,17
고민,17
머지,17
이젠,17
의미,17
치나츠,17
단단,17
고개,17
에서는,17
헤일로,17
못하는,16
2호기,16
각호라,16
치피,16
메카,16
효율,16
비슷,16
패스,16
이터,16
에리어스,16
48,16
할거면,16
러쉬,16
불가,16
에이함,16
유틸,16
현재,16
체방,16
무적,16
4쫄,16
싸움,16
이프리트,16
오버플로,16
융합,16
지상,16
감사,15
잡는,15
경직,15
거고,15
써야,15
뒤로,15
너프,15
46,15
클리어,15
간지,15
아마,15
잡스충,15
카린,14
치명,14
알렉스,14
넣고,14
약간,14
생존,14
4쫄작,14
순서,14
리세계,14
베로롱,14
상위,14
매우,14
펜릴,14
주년때,14
유효,14
레이크,14
뽑고,14
류드,14
방패,14
2번,14
있으니,14
확률,14
일반,14
내고,14
기채,14
지게,14
로자,14
전복,13
면역,13
장풍,13
메인,13
조합,13
쓰기,13
유리,13
메이즈,13
않아,13
신지아,13
ssr,13
내면,13
가능한,13
2코,13
줘서,13
쓰알,13
나왔을,13
좆데,13
지피감,13
디버프,13
재출격,13
레벨,13
파밍,13
컨텐츠,13
최대한,13
질문,13
좆같은,13
엔터,13
달린,12
>>,12
그러면,12
유효타,12
이노,12
나오고,12
상태,12
두번,12
터짐,12
중섭,12
패시브,12
가은이,12
밸런스,12
오토덱,12
좋지,12
앞에서,12
픽업,12
쳐서,12
맞아,12
아무거나,12
될듯,12
피해제한,12
클로디아,12
리필,12
핵심,12
격전,12
뇌절,12
능력,12
비해,12
케오린,12
친구,11
보스방,11
몰라,11
뉴디트,11
1티어,11
안씀,11
45,11
패키지,11
보호,11
쓰지,11
아예,11
굳이,11
3코,11
하위,11
이유리,11
넣는,11
발동,11
1번,11
핑챙,11
각호라이즌,11
VE,11
무리,11
5종,11
출격기,11
정작,11
한정,11
또한,11
버티는,11
무지성,11
몰루브릿지,11
도미닉,11
링컨,10
붙여,10
이야기,10
최강,10
절대,10
2명,10
용이,10
스카이,10
메카닉,10
82,10
왼쪽,10
100렙,10
포트,10
오퍼레이터,10
야누스,10
나오는데,10
박정자,10
파프닐,10
전용,10
버그,10
잡을,10
최피제,10
각디펜,10
랭크,10
우선,10
나이엘,10
스비,10
컨소,10
서로,10
까진,10
감소,10
사망,10
하더라,10
디피,10
수준이,10
닥등이,10
운영,10
좋긴,10
딱히,10
솔져,10
적용,10
4쫄작오토,10
소싸움,10
넬슨,10
써서,10
재료,9
사실상,9
PVE,9
전략전,9
가야,9
복각,9
스커피,9
구관검,9
하셈,9
되네,9
비숍,9
원툴,9
단순,9
김소빈,9
활용,9
오르카,9
버리고,9
들어서,9
흡수,9
시전,9
각등이가,9
근접,9
한명,9
개인적으로,9
많음,9
킹깡,9
102,9
누렁,9
횟수,9
시엔,9
심지어,9
뒤지는,9
상성,9
한줄평,9
편성,9
모르겠는데,9
이벤트,9
퇴물,9
디펜더들,9
쓴다,9
맞는거,9
효과,9
불가능,9
진행,9
받은,9
아군,9
있게,9
이번주,9
차라리,9
사거리,9
제외,9
의견,9
변수,9
있긴,9
솔저,8
네르비에,8
되서,8
주는게,8
완전회피,8
1밴,8
밀면,8
박살,8
레긴,8
실드,8
물몸,8
하여,8
3쫄작,8
받아서,8
받음,8
캐릭터이다,8
이유미,8
젊유빈,8
전당5,8
지부,8
기채권,8
잡템,8
싶으면,8
나나하라,8
생각함,8
아무것도,8
강습,8
셋바,8
아니지,8
아머,8
아래,8
답이,8
성공,8
드라코,8
각성선택권,8
주시영,8
레이드,8
49,8
백스탭,8
괜찮은,8
나온다,8
넣으면,8
5쫄,8
제인,8
코핀,8
레지나,8
0티어,8
겨우,8
수있는,8
그것,8
사기캐,8
필요하다,8
먹어서,8
매출,8
보호막,8
방어력,8
될거,8
물어,8
있으니까,8
국밥,8
안하고,8
저지,8
당연히,8
중인데,8
한듯,8
판정,8
제물,8
뒷라인,8
리플레이서,8
범용성,8
말한,8
되었다,8
있어야,8
위치,8
범위,8
배신자,8
타라스크,8
보기,8
옛날,8
수록,8
뚫고,8
두면,8
적폐,8
일러,8
타임,8
꼴리는거,8
같긴,8
셰나,8
고려,7
끼고,7
갖고,7
두번째,7
빠르게,7
어느정도,7
초기,7
포지션,7
지는거,7
그림자,7
ㄱㅅ,7
쓰는거,7
좋게,7
유효타격,7
뒤져,7
등장,7
보셈,7
인정,7
대응,7
쪽이,7
버틸,7
마리아,7
일본,7
각서윤오토,7
내서,7
그러니까,7
잠시,7
방법이,7
최전방,7
5-3,7
완성,7
죽고,7
못한,7
카운터사이드,7
3쫄작오토,7
꼬라,7
개운,7
근본,7
무시하고,7
최지훈,7
스봉,7
몰루킹,7
앞뒤,7
같기도,7
각에이미,7
안됨,7
무지성으로,7
점프,7
없으니,7
일섭,7
밀어,7
만약,7
참고,7
맞으면,7
점점,7
미야,7
고기방패,7
펜릴소대,7
탱템,7
5코,7
애매한,7
그런지,7
좋다고,7
있는게,7
짜리,7
저스펙,7
어렵네,7
영향,7
어쩔,7
복귀,7
하위권,7
이대로,7
저티어,7
보조,7
글카,7
위한,7
리플킹,7
이때,7
콜드,7
존메,7
쉬운,7
당한,7
지들,7
테스트,7
SSR,7
나음,7
아까,7
뜨는,7
받으면,7
넣어서,7
알겠지,7
린시엔,7
돼서,7
맞다,7
고맙다,7
시스템,7
것이다,7
받아야,6
해줌,6
워낙,6
가챠,6
않은,6
라라,6
않냐,6
그저,6
