Keyword,count
성능,79
소빈,78
채용,74
1명,71
공속,66
스충,51
마왕,47
천장,45
sr,44
김소빈,43
모션,42
장비,41
각성,40
4코,37
미나,36
이벤트,36
스킨,33
ssr,33
인게임,32
밀리아,30
비틱,29
11,28
무녀,26
업데이트,26
모음,26
2명,25
안내,25
특수기,24
채용권,23
패스,22
궁극기,22
회피,22
1개,22
레지나,21
티어,21
챌린지,21
평타,21
완료,21
야마타노,21
카운터,21
에델,21
쿼츠,21
12월,20
마망,20
가은,20
리플,19
로자,19
패치,19
12/14,19
인격,19
pve,19
지원,18
레인저,18
관리자,18
건틀렛,18
스킬,18
메공속,17
광고,17
블레이즈,17
유닛,17
에리어스,17
재무장,17
야마타노오로치,17
50,16
호라이즌,16
캐릭터,16
신캐,16
치후유,16
나나하라,15
말뚝,15
구체,15
피오네,15
주시윤,15
딜량,14
패시브,14
완전회피,14
공략,14
말뚝딜,14
12/14화,14
온천,14
서윤,14
유미나,14
종신,14
미니,14
추가구현,13
뉴비,13
26,13
컷인,13
패치노트,13
110,13
버프,13
카나데,13
렐릭,13
대사,13
가리개,12
매우,12
봉인,12
메스충,12
파밍,12
로비,12
치나츠,12
팬티,12
진행,12
4종,12
복각,12
에이미,12
3코,12
계수,12
발동,12
연출,12
러쉬,12
리플레이서,12
미나토,12
전당,11
메카,11
영혼,11
기본,11
지연,11
강화,11
유나,11
일정,11
유저,11
치마,11
리타,11
한듯,11
관리국,11
뽑기,10
기계,10
기준,10
T7,10
2/2,10
복장,10
모네,10
생존,10
지피,10
초대,10
pvp,10
김하나,9
사거리,9
쓰레기,9
비교,9
크레딧,9
이노,9
나유빈,9
빼고,9
누나,9
전장,9
추가-,9
스탯,9
상위호환,9
완료12/14화,9
케오린,9
적용,9
드라코,9
사기,9
아닌거,9
이수연,9
5명,9
13,9
쓰알,9
이프리트,9
레이드,9
60,9
예정12월,9
확정,9
150,8
힐데,8
등장,8
셰나,8
기간,8
미니스트라,8
이쁜,8
기대,8
광피감,8
좋을,8
비숍,8
픽업,8
로자리아,8
확률,8
초대무녀,8
않습니다-,8
영생,8
해주,8
굳이,8
사항,8
루크레시아,8
기본공격,8
스탠딩,8
티어표,8
사도,8
리세계,8
인겜,8
카운터사이드,8
재검토,8
시그마,8
오로치마망,8
노팬,8
스커,7
1개ssr,7
제작,7
격전,7
가챠,7
ㅇㄷ,7
진행구현,7
뽑고,7
하림,7
기계수집가,7
오퍼레이터,7
전체,7
세리나,7
보이네,7
전기,7
버전,7
10m,7
양한솔,7
쓰기,7
코스트,7
이란,7
쓸만함,7
한국,7
생각함,7
UP,7
보급,7
오토,7
개발,7
PVE,7
일본,7
출시,7
비슷한,7
메이즈,7
정리,7
3개,7
무엇,7
나오고,7
신지아,7
공격을,7
각성캐,7
공익,7
사진,7
맘마통,7
글대충,7
않음,7
구슬,6
얼굴,6
미친년,6
반응,6
미션,6
루미,6
레이지,6
환급,6
대놓고,6
라라,6
성우,6
야한,6
쓰이는,6
확실히,6
때리는,6
이펙트,6
마왕인,6
Thanks,6
공속셋,6
10뽑,6
나이엘,6
100렙,6
타이탄,6
클리포트,6
분류,6
특별,6
건지,6
선물,6
어쩔,6
골반,6
데이터,6
괜찮음,6
스턴,6
4일,6
괜찮은거,6
명중,6
써봤는데,6
분신,6
스택,6
방식,6
헤으응,6
명함,6
머신갑,6
to,6
컨텐츠,6
쫄작,6
시스템,6
혼을,6
고민,6
양하림,6
현황,6
스커피,6
베로니카,5
출근체크,5
가진,5
써도,5
솔저,5
협전,5
노팬티,5
제보,5
부옵,5
14일,5
쎄다,5
하야미,5
뽑을까,5
의미,5
재등이,5
나쁘지,5
디버프,5
한놈,5
ㅅㅌㅊ,5
언팩,5
결론,5
12/7화,5
넣고,5
왔는데,5
부적,5
상향,5
dps,5
딜링,5
연속,5
기다려,5
보이는데,5
치면,5
모르겠음,5
방어,5
개발자,5
핫타임,5
완료12월,5
이지수,5
개꼴리는,5
나이트,5
허벅지,5
이번주,5
알렉스,5
12/28,5
1월,5
신규,5
비용,5
버그,5
운영,5
선딜,5
비교해,5
프리딜,5
점검,5
인간들,5
복커,5
특히,5
허메골골,5
해주세요,5
구림,5
3종,5
애정,5
굴비,5
이득,5
생성,5
스토리,5
맥크레디,5
DPS,5
오픈,5
이젠,5
대해,5
완벽,5
비틱함,5
뉴디트,5
재료,5
체력,5
줬음,5
표정,5
도마,5
있긴,4
옛날,4
레이크,4
실비아,4
기밀,4
설문조사개선,4
줬는데,4
마냥,4
협력전에,4
정보,4
간지,4
픽셀,4
시즌,4
신캐들,4
한명,4
덕분에,4
오로치쨩은,4
왔음,4
팬드,4
따스한,4
시엔,4
이년,4
에블린,4
젖탱이,4
종신대사,4
쓰지,4
보고싶다,4
줌아웃,4
걸리면,4
2021년,4
않은,4
뷰지가리개,4
3일,4
보정,4
적당히,4
통계,4
귀찮아서,4
안됨,4
출격귀하의,4
보여주는,4
쉬움,4
하던데,4
전략전,4
아무도,4
꼴리네,4
오버플로,4
만화,4
창이,4
어려움,4
VS,4
일섭,4
쓸만한,4
꼴린다,4
직접,4
야드랑이,4
콜라보,4
끝이,4
안되서,4
보긴,4
라라예거,4
안죽는,4
카미,4
같던데,4
메카닉,4
유적,4
좋은거,4
좋은듯,4
싶은데,4
전투,4
사무소,4
뭐임,4
암컷,4
모드,4
프롤로그,4
7티,4
시점,4
벌써,4
글리치,4
레나,4
될듯,4
시발ㅋㅋㅋㅋ,4
이쁘다,4
퀸소빈,4
구매,4
주시영,4
이볼브원,4
기용,4
메이슨,4
빨고,4
미묘,4
념글,4
스탠딩귀하의,4
닭장,4
SSR,4
주로,4
관남충,4
케이시,4
나올때,4
엄청,4
세팅,4
좋네,4
시작해,4
난이도,4
타겟,4
ㅎㅎ,4
방송,4
원본,4
쥬지,4
자꾸,4
튼튼한,4
류드밀라,4
150장,4
공사,4
스카이,4
획득,4
깨짐,4
나한테,4
니가와,4
위기,4
대적자,4
신년,4
계획,4
치우고,4
세븐,4
뱀술,4
업그레이드,4
제인,4
이유리,4
작전,4
쿠폰,4
무지성,4
순애강간,4
약간,4
탱커,4
크리스마스,4
나와도,4
ㄱㄴ,4
어떠냐,4
필요한,4
인마,4
나온거,4
사는게,4
T6,4
레이저,4
그렇다고,4
보조장비,4
4단계,4
2셋,3
쿠퍼,3
스충가은,3
스위프트,3
상황에,3
2밴,3
아무리,3
못하는,3
전열,3
얼른,3
추천인,3
맞냐,3
4코스트,3
케오린이랑,3
장난감,3
타오린,3
친거,3
나와봐야,3
유틸,3
음성,3
야하네,3
뽑는게,3
리콜,3
좋다,3
타이밍,3
브리트라,3
본게,3
쎄다고,3
앞에서,3
안보임,3
최피제,3
않았나,3
랭크전,3
않아서,3
당연히,3
끝나,3
강한,3
컷씬,3
카일웡,3
없을거,3
점점,3
주차,3
방벽,3
지급,3
사원,3
스피릿,3
맞는거,3
오나홀,3
맞다,3
있냐고,3
보이긴,3
못뽑는,3
조디악,3
GGST,3
크네,3
어디서,3
26초,3
[나나하라,3
엔딩,3
에어본,3
풀융합,3
구리면,3
무기챌,3
[밀리아,3
같냐,3
어려운,3
사용하는,3
저렇게,3
비추,3
혼자,3
공허,3
리플송,3
가능함,3
링크,3
1-4,3
분위기,3
성징,3
보이노,3
성녀,3
상관없는데,3
해봄,3
몰루킹,3
상태로,3
계정,3
써봐,3
7티어,3
역할,3
낫다,3
오로치ㅋㅋ,3
소재,3
에피소드,3
라투디,3
평가가,3
같고,3
뽑음,3
70뽑,3
모르겠다,3
깨지지가,3
온타임,3
치명,3
사이에,3
횟수,3
5종,3
되겠다,3
미친련,3
덮밥,3
최종,3
봤을,3
뽑아야함,3
수영복,3
든다,3
잡음,3
암튼,3
풀렙,3
전우치,3
슈발리에,3
지들,3
케이스,3
오랜,3
조합,3
티켓,3
질문,3
위로,3
두명,3
PVP는,3
온천스킨,3
넣으면,3
늒네,3
몰라,3
공격력,3
수령,3
못참지,3
[리플레이서,3
했으니,3
전당4,3
시발ㅋㅋㅋㅋㅋㅋ,3
7월,3
절망과,3
스킵해도,3
나오나,3
다이브,3
찍음,3
보스,3
스비,3
고정포대,3
ㅡㅡ,3
꼴리는데,3
튜바,3
잠시,3
묶어두고,3
