Keyword,count
상향,4858
정보,4041
개선,4028
각성,2853
공속,1240
스토리,1184
스충,1166
무장,1022
재무장,980
메카,894
특수,873
성능,867
특수기,851
이벤,841
수연,705
스킬,701
이벤트,680
pv,652
시윤,649
공중,628
유나,552
리타,541
카운터,508
버프,502
미니,478
패시브,468
깡통,466
피해,461
미나,458
장비,456
유닛,455
거리,442
코핀,442
패스,441
윌버,439
이볼브원,436
천장,427
타이탄,427
공격,426
메카닉,424
함선,422
사기,418
메골골,399
평타,397
패치,396
그마,394
이터,390
피감,389
공익,389
시그마,384
궁극기,378
힐데,374
메스충,373
각수연,373
체력,370
채용,365
캐릭터,365
스커,361
서윤,355
메이즈,345
대시,345
레벨,343
pve,341
허메,336
기채,328
각시윤,325
디펜,323
출격,320
허메골,320
타오린,320
몰루,313
허메골골,306
이프,295
업데이트,289
계수,287
일반,286
2초,284
에이미,284
이수연,281
뉴비,271
출시,267
에이함,265
관리자,258
110,249
강평,247
주시윤,245
레이첼,245
전당,243
셰나,239
샤오린,237
유빈,237
휴먼,237
스킬레벨,226
조건,226
드라코,225
보상,223
메공,222
지피,222
메공속,220
오토,211
기계,211
면역,210
건틀렛,210
블레이즈,209
침식체,206
대가리,206
디펜더,204
각서윤,198
수호,196
융합,195
시무르그,193
챌린지,192
넉백,192
코스트,183
밀리아,181
6코,178
나나하라,174
유미,170
무적,170
각힐,167
나유빈,164
데이터,161
셋바,161
다이브,160
일러,159
이노,159
각유나,158
야누스,158
금태,157
다리,157
이야기,156
기준,156
비틱,155
상연,154
밸런스,153
프레임,153
좋다,153
플레,153
쿼츠,151
격전,151
스피라,151
시무룩,150
패치노트,150
이프리트,150
추천,149
수준,149
보스,149
구리,149
과금,149
라인,144
미니스트라,144
시전,144
관리국,143
쓸만,143
pvp,141
만에,140
구관,140
2주,139
대상,139
크레딧,135
지능,135
모션,134
비교,133
레인저,132
류드,132
융핵,132
컨텐츠,131
메인,131
스나,131
당연,131
지상,130
대사,130
사거리,129
일정,129
각등,129
운동회,129
타입,128
효과,128
세트,127
딜러,127
컨셉,125
각등이,124
능력,124
가은,123
메메,123
떡밥,122
버그,121
궁금,121
인공지능,121
향해,121
수연이,120
플레이,120
코핀6,120
신캐,119
패키지,119
평가,118
여신,117
알렉스,117
쓰레기,116
오지,116
질문,116
나를,115
획득,115
하는건,115
부족,115
체체,115
인류수호,115
클리어,114
19,114
한건,114
뭐가,114
되었,114
마냥,114
들의,114
몰라,114
린다,114
정신,114
방송,114
굳이,113
나요,113
했지,113
베로,113
라가,113
였음,113
연구,113
기분,112
쓰기,112
아무리,112
결과,112
있으니,112
리세,112
신의,112
애매,112
메카덱,111
주인,111
이라서,111
모습,110
속도,110
공격력,110
내면,110
운영,110
탱커,110
까진,109
언니,109
사장님,109
36,109
시즌,109
대해,109
확인,109
개발,109
유미나,109
용이,108
복귀,108
제외,108
타워린,108
유지,108
엠버,108
인물,108
방어,108
될거,108
호라이즌이랑,108
0초,108
물론,107
70,107
사라,107
미안,107
니는,107
캐릭이,106
한게,106
상향해,106
보자,106
이번주,106
준비,106
회피,106
같긴,105
라펠,105
뽑는,105
여기서,105
공개,105
졌다,105
대적자,105
18,105
되나,105
바닥,104
호라이즌에,104
보임,104
앞으로,104
출격기,104
행복,104
수는,104
세라펠,104
된거,104
쳐서,103
때까지,103
시에,103
줘도,103
너프,103
기본기,103
타격,103
되는데,103
티어,103
변경,103
무지성,102
되서,102
해야지,101
버린,101
넣고,101
충분,101
전열,101
습니까,101
나오고,101
해제,101
발동,100
정리,100
시점,100
때도,100
05,100
하림,100
애들이,100
그려,100
나이엘,100
중인,100
이었다,99
줘서,99
박아,99
경직,99
기존,99
안되는,99
광고,99
정상,99
준다,99
17,98
에델,98
PVE,98
콜드케이스,98
세리나,98
26,97
예상,97
로비,97
그러니,97
오버플로,97
카린,97
번째,97
만해,96
계정,96
싶은데,96
중요,96
불가,96
비례,96
1명,96
유효,96
우드,96
두고,96
버림,96
메메골,96
체방,96
퍼뎀,96
점이,95
5%,95
500,95
