index,user,title,content,comment,link,date,view,rate,comment_count
39985611,TerminalVelocity,강화챌 주시윤 접대네,주시윤 - 메골스충 50% 부옵지피호라이즌 - 메공속 부옵스충각등이 - 스커피 지피 스피릿오퍼 - 이속,"[{'user': '뱅레이', 'comment': '덱리 ㄱ'}, {'user': 'TerminalVelocity', 'comment': '템'}, {'user': '뱅레이', 'comment': '템'}, {'user': 'TerminalVelocity', 'comment': '오구오구 착하다'}, {'user': '뱅레이', 'comment': '오구오구 착하다'}, {'user': '뱅레이', 'comment': '(emoticon)'}, {'user': '청안아이', 'comment': '주시윤 호라이즌 각미나?'}, {'user': 'TerminalVelocity', 'comment': '(emoticon)'}, {'user': '밀리에밀리', 'comment': '와 저 셋으로도 깨져?'}, {'user': 'TerminalVelocity', 'comment': '(emoticon)'}, {'user': '뱅레이', 'comment': '엥 시벌 후라이가 링컨특수기맞고 디졋어..'}, {'user': 'TerminalVelocity', 'comment': '주시윤 첫 특수기보다\n패시브 반격이 먼저나가서 그래'}, {'user': '뱅레이', 'comment': '이속 오퍼 달아서\n링컨쪽에 빨리 붙여주면 좀 나을걸'}, {'user': 'TerminalVelocity', 'comment': '이속 오퍼 달아서\n링컨쪽에 빨리 붙여주면 좀 나을걸'}]",https://arca.live/b/counterside/39985611,2021-12-09 06:03:29,104,1,14
39968482,비질란테,오 이계사무소 각등이 검열 덜하네,이정도 수위가 가능했던 거였어?,"[{'user': 'ㅇㅇ#85245304', 'comment': '(emoticon)'}, {'user': '밀리에밀리', 'comment': '오오 역시 각성 PV지 하면서 뽕차다가 그 언어에 팍 죽네'}, {'user': '숲토끼', 'comment': '중공 목소리 들으니까 좀 그렇네'}, {'user': '59XZa#80792176', 'comment': '브금에 뽕 다 차올랐는데 개소리들리길래 진짜 뭔 소린가 했네'}, {'user': 'ㅇㅇ#81071525', 'comment': '각등이가 벌써 나와?'}, {'user': '현붕이', 'comment': '점마들은 오픈한지 얼마나 됐다고 벌써 각등이가 나와'}, {'user': 'ㅇㅇ#98127272', 'comment': '중국어 시발 ㅋㅋㅋㅋㅋㅋ'}]",https://arca.live/b/counterside/39968482,2021-12-08 22:47:11,121,0,7
39967685,비질란테,타오린을 죽이는 확실한 방법 ㄷㄷ,각등이 전진출격 ㄷㄷ,"[{'user': '블루아카이브', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/39967685,2021-12-08 22:37:21,43,1,1
39957271,Nanoha,스포) 코핀 컴퍼니 신입사원 매뉴얼 해설,https://arca.live/b/counterside/39936530헷갈리거나 애매한거 있어서 해설 씀1번: 미안..하다..를 말한다면 힐데에게 신입사원 슬레이어를 맞고 사망 (노멀힐데 궁 드래곤 슬레이어)2. 은발중에 미친년들 많으니 알아서 사원 목록 외우고 피해다녀라. 4번 5번과 연계. 대충 이 정도만 봐도 미친년들 많음3. 유미나가 탕비실 탈탈 털고있으니까 내보내라.탕비실 털던 거 신입사원한테 걸렸다면 쪽팔려서 전력으로 맞서겠어 울브즈베인 엔딩불렀는데 안 나갔으면 그 안에서 뭔가 일어났으니 이수연한테 닥등이가 탕비실 턴다고 알려줘라.사용요금은 6지역인가 각등이출시때인가 짧스토리인가에서 나온 얘기인걸로 기억함.4. 지식을 모르면 알게 될 것 (지식의 호수에 들어가면 안다고 ㄹㅇㅋㅋ)에델 짓임을 알 수 있는 힌트는 '저희들'2번과 연계: 지식의 파편에게 쫓기다가 정장입어서 에델인지 모르는 사원에게 도와달라 했다가는..死번: 불길한 숫자5. 매주 목요일은 가으니가 관남충 따먹으러 오는 날 (카운터케이스 참조)섹스중인 얀데레를 방해하면 이케 이그니스!2번과 연계: 총알 날아오는데 정장으로 갈아입어서 가은인지 모르는 사원에게 도와달라 했다가는..6. 사내에서 불족 처먹지 마라고 관남충이 씀부분탕의 주주주인이 오시시신다7. 아이리한테는 아이스크림으로 호감작 해둬라 부르면 나타나서 도와주니까 니 여분 목숨줄이다.종신대사 부르면 나타난다 아이리님~7번: 행운의 78. 하늘이 그림자로 뒤덮였다 (스카이 능력 폭주해서 찾을 수 없음) = 찾을 수 있는 사람한테 연락해줘라9. 난방기 자리에 각우 있어도 신경 꺼라.각우 종신대사에서 관남충은 분탕자매 버스/난방용으로 각우를 사용한 적이 있음.10. 아인츠바이 자매는 1부터 10까지 10명인데 0번이나 11번이 나타났다면..루시드한테 연락해줘라. 장난이거나 혹은..11. 자는 이디스 깨우지 마라 좆된다12. 진짜 탱크랑 전투기 맞다. 사장실에서 연봉협상중인데 시그마 홀로그램이라고 주작치는거겜 초창기때 탱크랑 협상하니 뭐니 그 짤이 소재13. 에델 조심해라 - 에델: 아닌뒈4번과 연계13: 불길한 숫자14. 진짜 침식체 맞으니까 연락해라. 카운터도 아닌데 이터니움 안 가진 놈들이 침식파 맞으면 어떻게 되는지 카붕이는 다 안다.돌 색 바래는건 이터니움 소모를 말함. 다 떨어지면 효과 없음. 이건 페넥폭스 기록에서.15. 유나가 카운터에 있으면 메뉴에 민초가 도배될 것이니 런쳐라아무도 숫자 4 7 13 눈치 못 챈 것 같아서 좀 아쉽네나중에 소재 생각나면 더 써봄,"[{'user': '으으윽', 'comment': '에델만 혼자 번호 몇 개를 먹노 ㅋㅋㅋ'}, {'user': '대적자리이헤븐즈사인민혁', 'comment': '(emoticon)'}, {'user': '페소라붕카린이', 'comment': '(emoticon)'}, {'user': '응애슌', 'comment': '(emoticon)'}, {'user': '메리스', 'comment': '(emoticon)'}, {'user': '마에스트로', 'comment': 'ㅋㅋㅋㅋ해석잇으니까나는 더좋다'}]",https://arca.live/b/counterside/39957271,2021-12-08 20:20:53,712,19,6
39938792,고망호,샤오린 최대단점이 자르기가 너무쉬운거엿는데,강소영으로 치던 팬드로 죽이던 각등이 출격기로 조지던방법은 많았는데 그 단점을 커버하니까 그냥 좆사기,"[{'user': '미나링', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/39938792,2021-12-08 15:55:52,90,0,1
39938421,펭귄1호,타워디펜스 10주차 통계,"덱종류니가와덱: 40명러쉬덱: 22명(타워를 깔은) 킹덱: 17명퀸덱: 9명(타워를 깔은) 이볼브원덱: 7명1밴 각호덱: 3명각힐덱: 1명몰루 깡통킹: 1명많이 쓰인 유닛슈발리에(업): 98명밀리아: 77명릴리: 66명타오린: 60명이노(업): 48명베로니카: 37명마리아: 36명오버플로: 28명이유미: 26명시그마: 24명이프리트: 23명공익: 21명강소영: 19명킹, 류크레시아: 18명세라펠, 젊유빈(업): 15명 옌싱: 14명구관검: 13명양하림, 케오린: 12명구관총: 10명퀸, 미니스트라: 9명기계수집가, 이볼브원: 8명치나츠, 글리치: 7명가은, 각수연: 5명미카스타, 스패로우, 에리어스: 4명각호라(1밴), 각힐, 라라예거, 비숍, 이유리, 스카이: 3명각등이, 각유나, 강민우, 나이엘: 2명메이, 하랍, 론리, 주시영, 각서윤, 재무장 미나, 나이트, 린시엔, 모네, 요하나, 아르티, 도마, 드라코, 레지나: 1명덱당 타워수0타워: 39명1타워: 21명2타워: 17명3타워: 23명함선마타: 30명레이크: 27명몰루: 20명뉴오하: 7명카미, 뉴디트: 6명엔터: 3명알비온: 1명자세히마타 니가와: 29명레이크 니가와: 8명뉴오하 니가와: 2명몰루 니가와: 1명레이크 러쉬: 7명뉴오하 러쉬: 5명마타 러쉬: 4명뉴디트 러쉬: 3명카미 러쉬: 2명알비온 러쉬: 1명엔터깡: 3명레이크깡: 2명몰루깡: 1명마타깡: 1명오퍼레이터세리나: 51명시그마: 27명박정자: 11명김하나: 7명이수연: 3명레이첼: 1명세리나 니가와: 31명시그마 니가와: 6명김하나 니가와: 2명박정자 니가와: 1명세리나 킹: 10명시그마 킹: 4명김하나 킹: 2명박정자 킹: 1명시그마 러쉬: 8명세리나 러쉬: 7명김하나 러쉬: 3명박정자 러쉬: 1명박정자 퀸: 7명시그마 퀸: 2명","[{'user': 'temprun', 'comment': '(emoticon)'}, {'user': 'ㅇㅇ#87218383', 'comment': '슈발 채용률 엄청 높네'}, {'user': '나도줘#28169842', 'comment': '(emoticon)'}, {'user': 'Paka', 'comment': '밀리아 너프먹어도 사긴가보네'}, {'user': '펭귄1호', 'comment': '예전처럼 4코가 정가취급은 아닌데 아직도 3코레인저 중 가장 밸류높은듯'}, {'user': 'ㅇㅇ#85245304', 'comment': '마타도르가 없으면 몰라도 마타도르가 있어서'}, {'user': '시그마꼴리더라#96486884', 'comment': '생존성이 넘 좆사기라'}, {'user': '핵융합건전지', 'comment': '각서윤보단 업핑챙이지'}, {'user': 'ㅇㅇ#85245304', 'comment': '밀리아 77명 ㅋㅋㄹㅋㅋ'}, {'user': '나유빈', 'comment': '에스텔 ㄹㅇ 떡상했네'}, {'user': '아라비#86128420', 'comment': '썸네일 어디갔어'}, {'user': '펭귄1호', 'comment': '?'}, {'user': 'E50M', 'comment': '정보추'}, {'user': '랑편#60846748', 'comment': 'ㅋㅋㅋㅋ'}, {'user': 'ㅇㅇ#36099854', 'comment': '다음주 풀파워 킹 나오겠네 ㅋㅋ'}]",https://arca.live/b/counterside/39938421,2021-12-08 15:48:29,1035,35,15
39921665,비질란테,난 초반에 덕 좀 봤으면 존나 키워주는데,각등이 110까지 찍어주고 좀 만만해 보이는 맵에는 무조건 데려가는데,"[{'user': '꼬리를문뱀#24619419', 'comment': '첫유닛은 아무래도 애착이 가지(에스타롯사)'}, {'user': '피해제한탱커좀', 'comment': '아무렴 초반유닛은 뭔가 있음(핑챙)'}, {'user': '검은깃털갈까마귀', 'comment': '초반유닛 자주 쓰지(나이트'}]",https://arca.live/b/counterside/39921665,2021-12-08 10:37:57,77,0,3
39913927,충혹마,역대 카사 밸패 정리,"상향/하향인지만 적긴했는데 상향폭이 큰놈도있고 작은놈도있고 잘몰?루겠는것도잇음그냥 스비가 얘네를 마지막으로 건든게 언젠지 이런거 보는 느낌으로 보셈11/30상향각성 호라이즌11/23상향오르카 젊수연 젊유빈 핑챙 주시영 알렉스 나이엘조정조호진너프밀리아8/24상향젊수연 핑챙 각등이 샤오린 도마 치나츠 케이시 제인도우 토미와떨거지들 마타도르7/20상향카린 스카이 킹 나이트 리타 알렉스 뉴오하조정 엔터(이거너프임버프임?)너프 에이미3/31상향핑챙 타이탄 가은 치후유 주시영 오르카 제인도우 나유빈각힐도미닉스홀(최피제,유효타흡수) 링컨 닥등이 힐데 유진 리브앨런 버자드 무반동포병 다연장로켓 발리스타3/16상향하랍 세라펠2/9상향각홍어11/12상향유나10/15상향신지아 카일 가은 존메 이진 오새롬 심소미 터미네이터 시그마조정베네딕트(이거너프임버프임?)9/24상향이프리트 타라스크 에스타크 카미 레이크",,https://arca.live/b/counterside/39913927,2021-12-08 03:20:56,94,0,0
39912348,밤비,각등이는 어디까지 통하냐?,조커픽이라고는 하는데 힐데도 조커픽임어디까지 통하는지 진심으로 궁금하다,"[{'user': '젖은항상옳다', 'comment': '지금 각등이 출격기 끝나자마자 칼퇴할거같은데 ㅋㅋ 딜은 디펜이 다 흡수하고'}, {'user': '밤비', 'comment': '좆망캐 다됐네'}, {'user': '젖은항상옳다', 'comment': '디펜더 + 재무장 샤오린 두마리 때문에 힘쓰기 힘들듯'}, {'user': '학점대폭발', 'comment': '각등이는 안 만나봐서 모르겠는데 힐데는 플레선에서 컷 아닌가'}, {'user': '밤비', 'comment': '각등이는 못만난거면 그 아래컷이라는건가?'}, {'user': '충혹마', 'comment': '러쉬에서 쓰는사람 봄'}, {'user': '밤비', 'comment': '이거 브실골플다마그마챌까지 통하는거지?'}, {'user': '충혹마', 'comment': '마패질은 어디서든 가능하지'}, {'user': '밤비', 'comment': '마패 자유이용권이냐고ㅋㅋㅋ'}, {'user': '충혹마', 'comment': '각등이는 마패가 아니라 함선딸피처리용이라고 ㅋㅋ'}, {'user': '우지다', 'comment': '에이미 그랩 깔끔하게 모인뒤 각등이 출격기+특수기 정리하는그림 나오면\n\n쾌감오지고지리고레릿고 나올듯?'}, {'user': '밤비', 'comment': '리더 박으면 11코 보통 둘다 안박으니까 12코??? 업등이 붐은 온다'}, {'user': '우지다', 'comment': '빽도나 러쉬&막타용 출격은 본듯'}, {'user': '밤비', 'comment': '그건 어느 티어에나 있으니 챌까지 먹히는거지?'}, {'user': '우지다', 'comment': '(emoticon)'}, {'user': '우지다', 'comment': '각등이가 지금 에이미처럼 조커카드라보는데\n\n에이미는 그랩+적후열라인 땡겨서 개판만드는 능력이라도있지\n\n각등인 그게불가능하고 라인전을 유리하게 끌고가야 꺼낼수있는 픽이라 좋다고는 할수없을듯?'}, {'user': '우지다', 'comment': '다~그마 구간라인전 팽팽하게 끌고갈수있으면 써먹을순있을듯'}, {'user': '밤비', 'comment': '6코 모을동안 팽팽했으면 안될거 같은데 유리할때도 잘못 내면 6코 반납이라 님 말대로 에이미 같으면 좋았을텐데'}, {'user': '늒네#86893131', 'comment': '저번에 건 돌리다 한번 보긴 했는데 딱히 위협은 안됐음 한 5초만에 쳐맞고 퇴갤한듯'}, {'user': '밤비', 'comment': '5초나 버틴거냐?'}, {'user': '늒네#86893131', 'comment': '(emoticon)'}, {'user': '밤비', 'comment': '(emoticon)'}, {'user': '내장탕', 'comment': '안티 타워로 줄 도배한 뒤에 뉴 디트나 뉴 오하타면\n타워린은 지울 수 있으려나?'}, {'user': '밤비', 'comment': '실험해""줘""'}, {'user': '내장탕', 'comment': '각등이, 뉴디트, 안티타워 없음'}, {'user': '밤비', 'comment': '실험 해 줘'}, {'user': '내장탕', 'comment': '실험 해 줘'}, {'user': '밤비', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/39912348,2021-12-08 02:26:13,129,0,28
39912179,우주전사히맨#85188497,다음에 필수적으로 챙겨야 하는 각성 있음?,지금 각서윤 각등 미니 유나 호라이즌 있는데 이거 다음에 꼭 있어야 하는 각성 있음?지금 각시윤 형아 너무 꼴리는데 이거 뽑아도 되지?,"[{'user': '젖은항상옳다', 'comment': '각시윤 잘 써먹음 있으면 편함'}, {'user': '젖은항상옳다', 'comment': 'Pvp는 좀 애매할텐데'}, {'user': '물룽이', 'comment': '다 쓰임새가 달라서 필수로 챙길건 없긴함'}, {'user': '러브스토리', 'comment': '시윤이나 퀸'}, {'user': 'ㅇ반고닉ㅇ', 'comment': '킹'}, {'user': '늒네#86893131', 'comment': '난 각시윤 건 전당 챌린지 존나 잘 썼음 pve는 각시윤이 1티어는 됨'}, {'user': '늒네#86893131', 'comment': '꼭 있어야 하는 캐릭은 킹 정도 각디펜 하나는 있는게 좋아서'}]",https://arca.live/b/counterside/39912179,2021-12-08 02:21:27,110,0,7
