index,user,title,content,comment,link,date,view,rate,comment_count
34248009,windy,각시윤 베스트템이 허메골골이라고 결론 난거 같은데,아니 허밍 꼴랑 두개밖에 없는거 쓰는애가 왤케많음??,"[{'user': 'eca', 'comment': '그래서 쩔수없이 메메골골 쓰잖음'}, {'user': 'PJ#91561166', 'comment': '그니까 나나하라 스토리 풀면서 골디랑 같이 좀 풀어야함'}]",https://arca.live/b/counterside/34248009,2021-09-18 00:45:21,17,0,2
34247944,Cabala,각시윤 종신 존나 스윗하네...,이게 각성캐고 주인공이지 ㅠㅠ미나는 나가있어미나는 주인공 아냐 이제 주인공은 시윤이야,"[{'user': 'diqkf운터', 'comment': '미나링은 주인공보다는 그거같음 관찰자시점에서의 관찰자'}, {'user': 'Cabala', 'comment': '미나링은 주인공 아냐...\n그냥 쩌리야'}]",https://arca.live/b/counterside/34247944,2021-09-18 00:44:27,22,0,2
34246234,주시윤,각시윤 청문회는,아직 나온지 얼마 안돼서 검증이 안돼서 안하는건가?,"[{'user': 'diqkf운터', 'comment': 'ㅇㅇ 한 2주쯤~ 지나면 할듯?'}, {'user': '주시윤', 'comment': '(emoticon)'}, {'user': 'ㅇㅇ, 175.121', 'comment': '커리지 시즌지나야되지않음??'}]",https://arca.live/b/counterside/34246234,2021-09-18 00:15:33,73,0,3
34245994,kioo#50913037,리세계 이거 어떰?,각서윤 + 미니스트라 + 각성천장(픽업각성캐 바로 확정 획득가능) + 펜릴각성선택권 ( 9955쿼츠 + 212채용권 + 11310태포 )천장은 각시윤 보고 시작한거라 각시윤 뽑고시포 이륙 가능?대적자도 있대,"[{'user': '수상한샤샤', 'comment': '얼만데'}, {'user': 'kioo#50913037', 'comment': '8이래'}, {'user': '4G5G', 'comment': '괜찮은데'}, {'user': 'diqkf운터', 'comment': '(emoticon)'}, {'user': '메이드기사노엘#63915047', 'comment': '얼마짜린데 왤케 좋음?'}, {'user': '현붕이', 'comment': '얼만데?'}, {'user': 'kioo#50913037', 'comment': '8이래오'}, {'user': '늒네#86893131', 'comment': '밀리아 없는거 빼면 좋은데 얼마임'}, {'user': 'kioo#50913037', 'comment': '8이래오'}, {'user': '늒네#86893131', 'comment': '밀리아 포함 4각이 8인데 밀리아 없이 8은 음...'}, {'user': 'kioo#50913037', 'comment': '밀리아에 별 미련 없으면 나쁘진 않음 재화도 많고'}, {'user': '늒네#86893131', 'comment': '밀리아에 별 미련 없으면 나쁘진 않음 재화도 많고'}, {'user': 'kioo#50913037', 'comment': '그럼 더 찾아보고올게!'}, {'user': '나란남자넌알까', 'comment': '무난한듯?'}]",https://arca.live/b/counterside/34245994,2021-09-18 00:11:35,114,0,14
34245684,너구리#94675411,고인물들아 교환소 말고 허밍버드나 메이즈 템 뿌린적이 있었어?,허메골골 탱커용으로 2개만드니 더 이상 허밍버드나 메이즈 고르디를 구할 방법이 더 이상 없는것 같은데 각시윤 때문이라도 나중에 구할수 있으면 구하고 싶은데혹 카사에서 교환소 이전에 허밍이나 메이즈나 고르디 구하는 이벤트나 교환이 있었을까?,"[{'user': '주블', 'comment': '허밍은 격전포인트가 끝\n메이즈랑 골디는 챌린지 보상으로 있음\n예전에 메이즈 이벤트 할 때 메이즈템 뿌린적 있음'}, {'user': 'ㅈㅇㅈㅎ#19865107', 'comment': '허밍은 2개가 끝\n고르디 명중 5개 회피3개 끝'}]",https://arca.live/b/counterside/34245684,2021-09-18 00:07:07,48,0,2
34245658,"ㅇㅇ, 112.154",각시윤 전당5 일찐이던데,스킬 다 씹고 존나 잘패더라 ㅋㅋ,"[{'user': 'diqkf운터', 'comment': '스봉4초 (쿨5~6초)'}, {'user': 'Ligeia', 'comment': '각시윤 반격덕에 안정성은 좋은데 클리어 속도는 각유나가 빨랐음.\n그림자들이 워낙 체력 돼지들이라 각유나 체력% 도트뎀 딜량이 어마어마했던거같음.'}]",https://arca.live/b/counterside/34245658,2021-09-18 00:06:44,54,0,2
34245527,우쭈쭈우쭈쮸,각시윤 각유나급임??,"정확하게는 각유나처럼 만능느낌임??지금 기밀채용에 각시윤, 킹, 퀸 있는데누구 뽑을까여 질문하는 뉴비들한테 솔직히 각시윤 추천해주고 싶지 않음퀸 뽑으라고 하고 싶음 아니면 각유나 or 미니 존버하던가계속 써보고는 있는데 먼가 계속 애매하네공중판정이 아예 없어서 그런가아니면 오히려 이게 정상 밸런스인건가??","[{'user': 'eca', 'comment': '글쎄 일단 공중을 못때려서..'}, {'user': 'Clink', 'comment': '고인물용 캐릭임'}, {'user': 'ㅇㅇ#12002627', 'comment': '퀸말고 킹은 안댐?'}, {'user': '우쭈쭈우쭈쮸', 'comment': '킹은 탱키한 탱커가 아니라서 그런가 먼가 각성 디펜더로 킹 먼저 뽑기엔 같은 각성디펜더에 공익이나 힐데가 있어서 킹 뽑아놓고 공익/힐데 뽑는거랑 퀸 뽑아놓고 공익/힐데 뽑는거랑 생각해보니까 후자가 낫겠다 싶더라고'}, {'user': 'ㄹㅇㄹㄷㅍㄹㄴㅅ', 'comment': '써보니까 이거 전천후도 아닌데다 이래저래 세팅도 까다롭고 뒷받쳐줄 캐릭도 필요해서 뉴비들이 쓸 캐릭 아닌 거 맞음 ㅇㅇ 잘 맞는 맵이나 기믹에서 진짜 불도저인데 유나처럼 무지성 어지간해선 다 좋다가 절대 아니라'}, {'user': '네임닉네임#21520770', 'comment': '근데 퀸도 전열 부실하면 너무 잘녹아 차라리 킹이 낫지'}, {'user': '우쭈쭈우쭈쮸', 'comment': '난 퀸이랑 아이리, 신디, 린시엔 내놓으면 괜찮던데...'}]",https://arca.live/b/counterside/34245527,2021-09-18 00:04:39,115,0,7
34245376,모스모,각시윤 특수기말이야,스충 감소 50프로면 노템상태일때는 오히려 -50되어서 쿨 늘어나는거임??,"[{'user': 'Eizen', 'comment': '쿨타임 2배되는거랑 같음'}, {'user': '모스모', 'comment': 'ㄹㅇ 공속보단 스충이 낫겠네 강평있는것도아니구'}, {'user': 'xile#17342824', 'comment': '강평 비스므리한 반격있긴 하지'}, {'user': '모스모', 'comment': '그거 6초마다 한번씩밖에 못쓰는거아니야??'}, {'user': 'xile#17342824', 'comment': '4초마다 한번이고 쿨6초 줄여주는거'}, {'user': '고망호', 'comment': '그럴걸'}, {'user': '모스모', 'comment': '(emoticon)'}, {'user': '암왕제군', 'comment': 'ㅇㅇ 쿨 늘어나는거랑 같음'}, {'user': '모스모', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/34245376,2021-09-18 00:02:20,92,0,9
34245324,"ㅇㅇ, 120.50",5코 캐릭 머머지?,미니도 5코고각수연도 5콘데퀸도 5코고각시윤 6코?????????,"[{'user': '달고나좋아', 'comment': '(emoticon)'}, {'user': '군고래', 'comment': '퀸'}, {'user': 'ㅇㅇ, 120.50', 'comment': 'ㅁㅈㅁㅈ'}, {'user': '달고나좋아', 'comment': '애는 노각이니 인정'}, {'user': 'ㅇㅇ, 120.50', 'comment': '애는 노각이니 인정'}]",https://arca.live/b/counterside/34245324,2021-09-18 00:01:36,39,0,5
34245185,"ㅇㅇ, 120.50",각시윤은 5코가 딱이다,지금 1밴으로 쓰는 기분이야,"[{'user': 'xile#17342824', 'comment': '리더줘야함'}, {'user': 'xile#17342824', 'comment': '솔직히 얘가 리더4코면 바로 패드립 나올듯ㅋㅋㅋㅋ'}, {'user': 'diqkf운터', 'comment': 'ㄹㅇ 주시윤이 너무 갓캐라서 1밴인데도 나오는 그런 상황같음'}, {'user': '주블', 'comment': '나이엘 3코로 내리자는 소리 같음\n지금이 황밸인듯'}, {'user': '수상한샤샤', 'comment': '각성캐아무도 양심이없지만 혼자 양심을 챙겨야지'}, {'user': 'ㅇㅇ, 120.50', 'comment': '각성은 다 사기캐니 같이 사기가되자'}, {'user': 'TLCrow', 'comment': '이볼브원보다 10%정도 약한느낌이던데 그러면 황밸아닌가'}, {'user': '암왕제군', 'comment': '5코면 바로 ㅈ사기라인 들어감'}, {'user': '4G5G', 'comment': '아직도 미니는 왜 5코인지 모르겠다 ㅋㅋ'}]",https://arca.live/b/counterside/34245185,2021-09-17 23:59:29,85,0,9
34244918,너구리#94675411,각시윤은 pve도 무지성 플레이 어려운편인가?,pvp는 몰라도 pve는 대부분 무지성으로 오토 돌리는 편이잖아?거기다 각성은 pve는 오토돌리기 좋은편이라 자주 나는 고레벨 레벨링 무지성 플레이하고 있었는데아직 템을 안맞쳐 줬다지만 다른 각성에 비해 각시윤은 속도가 느리거나 금방 뻗는것 같은데템을 제대로 맞쳐주기 전까지는 제대로 운영하기 힘든 편이야?,"[{'user': 'diqkf운터', 'comment': '허메골골 체체 스충20% 갖추고 돌아와야지'}, {'user': '크리스피크림', 'comment': '공속이나 스충 맞춰놓고 반격만 써도 충분히 1인분함'}, {'user': '주블', 'comment': 'pve에서 활약하는 각성캐들은 대부중 전천후임\n얘 공중 타격 못해서 무지성으로 쓰긴 힘들 걸'}, {'user': '박하온', 'comment': '템컷이 좀 높은거같던데'}, {'user': 'xile#17342824', 'comment': '그냥 힐서폿을 붙여주던지 서브탱커 붙여주던지 하면 그냥 던져놔도 알아서 다함'}, {'user': 'xile#17342824', 'comment': '대신 공중잡을놈은 있어야하고'}, {'user': 'ㅇㅇ, 120.50', 'comment': '공중몹 몰려나오는 맵은 어려워'}, {'user': '4G5G', 'comment': '앞에 탱킹해줄 놈 하나 필요함. 각유나 같이 혼자 딜탱 다 해먹는 애는 아니라. 반격 찰 때마다 터질만큼 상대가 알맞은 공격을 해주냐도 문제고'}, {'user': '4G5G', 'comment': '반격딜이 진짜 뒤지게 쎄서 계수가 4.2랬던가. 아무튼 반격 잘 안 터지는 애들한텐 생각보다 딜이 안나오는데 반격 잘 터지는 애들한텐 딜량이 유나 씹어먹고 각등이보다 조금 낮은 정도까진 감'}, {'user': 'ㅇㅇ#87218383', 'comment': 'pve는 반격 때문에 맵을 좀 타는 거 같음'}]",https://arca.live/b/counterside/34244918,2021-09-17 23:55:10,98,0,10
34244908,고다리나리리#12653489,각시윤은 쓰면서도 모르겠네,어떤판은 혼자서 다 썰어버리고 함선까지 부셔버리는데 어떤판은 참피마냥 죽어버리네,"[{'user': '수상한샤샤', 'comment': '6코짜리 나이엘이야 템도 까다로움'}, {'user': '고다리나리리#12653489', 'comment': '뭔가 어렵네 ㄷㄷ'}, {'user': 'xile#17342824', 'comment': '근데 덱 굴리다보면 그냥 타이밍캐릭같음. 상대덱따라 상대법 다 다른것도 있고'}]",https://arca.live/b/counterside/34244908,2021-09-17 23:55:04,45,0,3
