index,user,title,content,comment,link,date,view,rate,comment_count
39938421,펭귄1호,타워디펜스 10주차 통계,"덱종류니가와덱: 40명러쉬덱: 22명(타워를 깔은) 킹덱: 17명퀸덱: 9명(타워를 깔은) 이볼브원덱: 7명1밴 각호덱: 3명각힐덱: 1명몰루 깡통킹: 1명많이 쓰인 유닛슈발리에(업): 98명밀리아: 77명릴리: 66명타오린: 60명이노(업): 48명베로니카: 37명마리아: 36명오버플로: 28명이유미: 26명시그마: 24명이프리트: 23명공익: 21명강소영: 19명킹, 류크레시아: 18명세라펠, 젊유빈(업): 15명 옌싱: 14명구관검: 13명양하림, 케오린: 12명구관총: 10명퀸, 미니스트라: 9명기계수집가, 이볼브원: 8명치나츠, 글리치: 7명가은, 각수연: 5명미카스타, 스패로우, 에리어스: 4명각호라(1밴), 각힐, 라라예거, 비숍, 이유리, 스카이: 3명각등이, 각유나, 강민우, 나이엘: 2명메이, 하랍, 론리, 주시영, 각서윤, 재무장 미나, 나이트, 린시엔, 모네, 요하나, 아르티, 도마, 드라코, 레지나: 1명덱당 타워수0타워: 39명1타워: 21명2타워: 17명3타워: 23명함선마타: 30명레이크: 27명몰루: 20명뉴오하: 7명카미, 뉴디트: 6명엔터: 3명알비온: 1명자세히마타 니가와: 29명레이크 니가와: 8명뉴오하 니가와: 2명몰루 니가와: 1명레이크 러쉬: 7명뉴오하 러쉬: 5명마타 러쉬: 4명뉴디트 러쉬: 3명카미 러쉬: 2명알비온 러쉬: 1명엔터깡: 3명레이크깡: 2명몰루깡: 1명마타깡: 1명오퍼레이터세리나: 51명시그마: 27명박정자: 11명김하나: 7명이수연: 3명레이첼: 1명세리나 니가와: 31명시그마 니가와: 6명김하나 니가와: 2명박정자 니가와: 1명세리나 킹: 10명시그마 킹: 4명김하나 킹: 2명박정자 킹: 1명시그마 러쉬: 8명세리나 러쉬: 7명김하나 러쉬: 3명박정자 러쉬: 1명박정자 퀸: 7명시그마 퀸: 2명","[{'user': 'temprun', 'comment': '(emoticon)'}, {'user': 'ㅇㅇ#87218383', 'comment': '슈발 채용률 엄청 높네'}, {'user': '나도줘#28169842', 'comment': '(emoticon)'}, {'user': 'Paka', 'comment': '밀리아 너프먹어도 사긴가보네'}, {'user': '펭귄1호', 'comment': '예전처럼 4코가 정가취급은 아닌데 아직도 3코레인저 중 가장 밸류높은듯'}, {'user': 'ㅇㅇ#85245304', 'comment': '마타도르가 없으면 몰라도 마타도르가 있어서'}, {'user': '시그마꼴리더라#96486884', 'comment': '생존성이 넘 좆사기라'}, {'user': '핵융합건전지', 'comment': '각서윤보단 업핑챙이지'}, {'user': 'ㅇㅇ#85245304', 'comment': '밀리아 77명 ㅋㅋㄹㅋㅋ'}, {'user': '나유빈', 'comment': '에스텔 ㄹㅇ 떡상했네'}, {'user': '아라비#86128420', 'comment': '썸네일 어디갔어'}, {'user': '펭귄1호', 'comment': '?'}, {'user': 'E50M', 'comment': '정보추'}, {'user': '랑편#60846748', 'comment': 'ㅋㅋㅋㅋ'}]",https://arca.live/b/counterside/39938421,2021-12-08 15:48:29,598,29,14
39932636,ㅇㅇ#66825526,각힐 어쩌다보면 적 뚫고 적 함선 앞까지 혼자 꼴아박던데,조건이 머임 이거?,"[{'user': '나유빈', 'comment': '대부분은 버그입니다'}]",https://arca.live/b/counterside/39932636,2021-12-08 14:02:26,48,0,1
39926473,ㅇㅇ#52172593,와 타이탄 넣고 오토덱으로 네르비에 깼음,각힐 - 각후 - 이수연 - 로자 - 코누스 - 치나츠 - 타이탄 - 신지아 순기억이 안남 맞나 모르겠다개잡템 둘둘 말고 갔는데시간도 30초정도 남고코스트도 썩어도는걸로 봐서는 템 더 병신같아도 괜찮을듯,"[{'user': '새벽비', 'comment': '타이탄이 한게 있음?'}, {'user': 'ㅇㅇ#52172593', 'comment': '다른거 넣으니까 바로 터지던데 아마 미사일로 잡몹 빠르게 치우고 딜도 막아준듯'}, {'user': 'TLCrow', 'comment': '딜도맞아주는 타이탄... ㅗㅜㅑ'}, {'user': '아카라이브아카녹화엌ㅋㅋ', 'comment': '게이야'}, {'user': '블루아카이브', 'comment': '(emoticon)'}, {'user': 'ㅇㅇ#38117770', 'comment': '저거 타이탄 빼고 2~3코 좋은탱커 넣었으면 점수 더나왔을걸'}, {'user': 'ㅇㅇ#52172593', 'comment': '3코 탱이나 스커 넣어봤는데 바로 터졌음 나는\n퓨쳐앳워 버프가 존나큰거같던데'}, {'user': 'ㅇㅇ#38117770', 'comment': '신기하네 난 탱이라곤 2코 분탕만 넣고 1100점 나오던데 함선을 몰루로 바까보셈'}, {'user': 'ㅇㅇ#52172593', 'comment': '몰루는 나이트때 써야돼서 킵해놓음\n몰루킹덱 쓰려고'}, {'user': '아카라이브아카녹화엌ㅋㅋ', 'comment': '오...'}]",https://arca.live/b/counterside/39926473,2021-12-08 12:22:56,122,5,10
39921613,4G5G,격전 나이트 저스펙 풀오토 [킹 X],"지상명중 -90퍼는 좀 심한 거 아니냐.이거 때문에 원래 나이트가 그런 편이긴 한데 꼬이는 경우가 다수 발생함. 이후 추가 설명.>> 얘 좀 높게 껴주고 갔는데 평소에 걍 대적자 끼워두던거 별 생각없이 그대로 출발해서 그럼.잡스충도 충분함. 각힐 - 체체각서윤 - 잡공속에블린/김소빈/이수연 - 잡스충옌싱 - 안티스나 >> 만약 불렛 스나피/지피가 있으면 그거 껴주면 더 좋음. 스나피지피 불렛 + 안티스나 이렇게 조합해도 되고.오퍼 - 아무거나 + 부옵 1렙 치피. 딜 꼬일 상황 나올 수도 있으니 위 순서 기준으로 오퍼 스킬 발동이 되는 애는 피하자.옌싱 궁 타이밍이 꽤 길다는 점 + 총학생회 버프라는 걸 이용한 빌드시작 상황. 별 변수 없음.약간의 변수라면 에블린 특수기에 적 디펜더가 반응해서 밀쳐내는데 이게 각서윤만 튕겨나갈 때가 있고 각힐만 튕겨나올 때가 있음. 뭔 차인지는 모르겠지만 큰 상관없음.이대로 쭉 밀고 나가면 김소빈이 먼저 궁을 쏜다. 윗스샷은 가려져서 잘 안 보이는데 여기선 자세히 보면 가운데쯤에 옌싱이 궁 자세 들어간 게 보임.전부 다 밀쳐내고 옌싱 혼자 궁을 쓰면서 딜을 넣음. 여기서 상황따라 약간씩 변수가 있는데, 일단 이렇게 되면 성공. 궁딜 + 이후 특수기 딜까지 넣으면 풀리고 특수기까지 안 풀렸을 경우 평타 두대 정도 칠 시간 나오는데 그 평타가 나이트한테 들어가면 배리어 해제가 된다. 그리고 출격창 보면 알겠지만, 이 타이밍에 정확히 각수연 출격딜도 들어감. 옌싱 궁만 정확히 풀히트 했다면 옌싱 궁 딜 + 각수연 출격딜로 배리어 해제될 때도 있다.이렇게.그런데 여기서 변수가 꽤 다수 발생함.윗스샷이랑 비교했을 때 옌싱 위치가 약간 더 왼쪽에 치우쳐있음.이러면 궁딜이 제대로 안 들어가는 것도 있는데 그다음에 특수기를..왼쪽에 쓴다. 이러면 절대 해제 불가능. 옌싱이 무조건 나이트 앞에 제대로 서있어야됨.나이트가 쫄 + 자체 넉백도 있어서 옌싱 위치가 무조건 딱 붙어있지 않음. 실험해본 결과 대략 3판 중 1판 꼴로 뒤에 있거나 앞에 있었음. 일단 해제 성공한 걸 기반으로 설명함.여기서 성공하면 옌싱이 뒤지는데 신경 쓰지 마라. 어차피 딱 이거 하나 하려고 넣은 캐릭터니까. 정 불편하면 에블린 재출격 해주면 됨. 아래에서 설명하겠지만 다음 패턴에서 구관총 뒤진다.이후 배리어패턴을 보고 나면 여기서 김소빈이 궁을 쏘는데 얘 궁 횟수가 중요함.여기서 1회 쓰고 나서 이후 넉백 패턴이 나올 때까지 만약 김소빈이 또 궁을 쏜다. 그럼 쫄한테 꼬였건 타겟팅이 잘못 됐건 딜이 모자랐다는 거.무조건 얘는 궁을 1번만 쏘고 그다음 넉백 패턴이 나와야 함.위에서 말한, 구관총이 뒤지는 상황. 쟤 죽건 말건 신경 꺼도 된다. 원래 이게 넉백패턴 피통이 만족되면 궁을 안 쏘는데 그게 아니라면 딜이 모자랐다는 거.저스펙이라 이건 그냥 우직하게 맞으면서 한다. 다른 애들은 버티지만 만약 구관총 외에 다른 애들이 죽었다 해도 큰 신경 쓸 필요는 없다.각서윤은 무조건 살아있을 테니 각서윤이 넉백패턴까지 피통 까길 기도하자.일단 넉백 패턴까지 진행했다고 가정하면넉백되자마자 블브 2스가 떨어진다. 오퍼 따라 조금씩 타이밍 차이는 있겠지만 대략 이때쯤에 다시 2스가 떨어지는데스샷 타이밍을 제대로 못 잡아서 그림판으로 대체.김소빈 궁 지금 쏘고 있는 거임. 더불어 각수연 궁도 같이 나감. 공중 토템이랑 앞라인 순식간에 정리 가능.위에서 말한, 두번째 넉백 패턴 이전에 김소빈 궁이 두번 나오면 안된다고 했던 이유. 여기서 나와야 한다. 오히려 여기서 좀 더 늦게 쏠 때도 있는데 그건 상관이 없음. 그러면 토템이 아니라 나이트 배리어를 빠르게 부술 수 있으니.여기까지 다 진행하면 대략 나이트 피통이 45퍼~50퍼 사이에 30초 남는데 시간 조금 남았다고 걱정 안해도 됨.여기서부턴 쫄도 거의 안 나오고 추가 패턴도 없어서 이대로 프리딜하면..둘 중 하나가 된다.풀오토긴 하지만 1트만에 성공은 힘들 수도 있음. 쫄이 나오는 애들은 워낙 변수가 많아서 이대로 안 갈 때도 많음.특히 템이 바뀌면 더 심해지는데... 사실 템 하나하나마다 1~2초씩 차이가 나게 되는 부분이 있어서 이건 딱 이거대로 진행해야 정확히 간다.대체에 대해 설명하자면각힐 >> 공익되긴 하는데 공익이 각힐보다 약간 더 딜에 치중되어 있어서 옌싱 궁 타이밍이 어긋나더라.공익이 죽을 때도 많고. 이러면 오퍼를 부옵에 피감 있는 걸로 달아주니 알맞게 돌아갔음.각수연 >> 강한 딜러(퀸, 미니, 에이미 등)으로 대체 가능하긴 함.다만 각수연 출격기로 첫 배리어에 딜을 약간 더 넣어주는 형태라 얘 빠지면 리트 확률 좀 더 올라감.구관총 >> 2코 딜러 아무거나코스트 맞추려고 2코 아무거나 넣었던 건데 얘 딜량 존나 별거 없음.그냥 2코 미나토건 에디건 아무나 넣어도 적당히 돌아감.첫 배리어 패턴 때 제대로 클리어가 안되고 리트변수만 계속 터지면 위에 설명했던 대로, 옌싱 궁이 늦게 나오는지 빨리 나오는지를 보고만약 옌싱 궁이 늦다 >> 에디 같은 버퍼로옌싱 궁이 빠르다 >> 어썰트처럼 구관총보다 약간 딜량 낮은애로 바꿔주면 된다.이 외에는 내가 대체할 수 있는 애를 못 찾겠다.킹 쓰면 더 쉬우니 킹 있는 사람들 리플킹 풀오토 공략 보고 해.리플킹 풀오토 공략은 자주 나와서 일부러 킹 없는 걸로 만들었음.","[{'user': '학점대폭발', 'comment': '(emoticon)'}, {'user': '갤쁘리', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/39921613,2021-12-08 10:36:25,292,6,2
39914174,쿵쿵홍,50점 깎이고 바로 끔,"각힐 미니에 핑챙, 이노 뺑뺑이 2연속 2분40초랑 3분꽉겜 했는데 짐 시발 ","[{'user': '늒네#86893131', 'comment': '(emoticon)'}, {'user': '빡돈', 'comment': '(emoticon)'}, {'user': '갤쁘리', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/39914174,2021-12-08 03:32:22,88,0,3
39913927,충혹마,역대 카사 밸패 정리,"상향/하향인지만 적긴했는데 상향폭이 큰놈도있고 작은놈도있고 잘몰?루겠는것도잇음그냥 스비가 얘네를 마지막으로 건든게 언젠지 이런거 보는 느낌으로 보셈11/30상향각성 호라이즌11/23상향오르카 젊수연 젊유빈 핑챙 주시영 알렉스 나이엘조정조호진너프밀리아8/24상향젊수연 핑챙 각등이 샤오린 도마 치나츠 케이시 제인도우 토미와떨거지들 마타도르7/20상향카린 스카이 킹 나이트 리타 알렉스 뉴오하조정 엔터(이거너프임버프임?)너프 에이미3/31상향핑챙 타이탄 가은 치후유 주시영 오르카 제인도우 나유빈각힐도미닉스홀(최피제,유효타흡수) 링컨 닥등이 힐데 유진 리브앨런 버자드 무반동포병 다연장로켓 발리스타3/16상향하랍 세라펠2/9상향각홍어11/12상향유나10/15상향신지아 카일 가은 존메 이진 오새롬 심소미 터미네이터 시그마조정베네딕트(이거너프임버프임?)9/24상향이프리트 타라스크 에스타크 카미 레이크",,https://arca.live/b/counterside/39913927,2021-12-08 03:20:56,93,0,0
39910728,"ㅇㅇ, 211.49",전당 5 보스 방에서 쓰면 좋은 탱 누구누구 있냐,코스트 제한에 각성 금지라서 각힐 못 쓰는거 좀 꼽다 젊수연 ㅈㄴ 아프네,"[{'user': '늒네#86893131', 'comment': '난 치후유랑 분탕 넣엇던거 같음'}, {'user': '응애#61977261', 'comment': '이유미 치후유'}, {'user': 'E50M', 'comment': '오토에선 유미 치후유 분탕씀'}, {'user': 'windy', 'comment': '이유미'}, {'user': '은루', 'comment': '윾미'}, {'user': '잉딩', 'comment': '이유미 치후유 분탕'}]",https://arca.live/b/counterside/39910728,2021-12-08 01:45:11,66,0,6
39906163,"ㅇㅇ, 211.215",뉴비 각선권 추천 부탁드립니다,남은게 각힐 각등이 킹 퀸 에이미인데 이중 우선순위가 어떻게 될까요?? ,"[{'user': '충혹마', 'comment': '왕의 앞에 서지 마라'}, {'user': '페미니스트김유식', 'comment': '킹'}, {'user': 'hanbom#34971809', 'comment': '힐,각등이 거르고 갖고싶은거 하면 될것같은뎅'}, {'user': 'ㅇㅇ, 211.215', 'comment': '다들 감사합니다!'}]",https://arca.live/b/counterside/39906163,2021-12-08 00:22:46,63,0,4
39904212,머스크암초가추천하는코인,공익이랑 각힐이랑 둘다 탱이지?,둘 중에서 뭐 먼저 뽑는게 좋음? ,"[{'user': '독호메', 'comment': '공익'}, {'user': '머스크암초가추천하는코인', 'comment': '공익이 더 좋나보네'}, {'user': '늒네#86893131', 'comment': '각힐은 엄밀히 말해서 뽑아도 거의 쓸데가 없음'}, {'user': '독호메', 'comment': '딱 한군데 심층다이브 오토덱은 코어픽'}]",https://arca.live/b/counterside/39904212,2021-12-07 23:54:33,67,0,4
39896638,ㅇㅇ#76661222,각힐+미니 저스펙응애 모듈챌 풀오토,힐데-미니-양하림-치나츠-에델 까지는 고정양하림을 먼저내면 헬리콥터에 맞아죽으니 저순서는 꼭 지키줘야함1번. 에델낼때 쯤 힐데가 죽을랑말랑 >> 클로디아이후 딜러 둘2번. 에델낼때 힐데가 쌩쌩함 >> 딜러 셋1번이랑 2번이랑 비슷비슷하게 끝나는데 2번이 고점이 높음각유나-가으응-샤오린 3딜러 냈을때클로디아이후 딜러 냈을때응애 힐데 스펙허메골골 맞추는 중이라 약함미니 대적자스충양하림 전장+잡스충치나츠 잡체에델 잡공공공략 찾아봐도 전부 각시윤쓰는덱이라 이것저것 넣고 쿼츠씹으면서 돌려봄. 가끔 힐데가 돌연사하면 1분 초반대까지 클탐 늦어지는 경우도 있었고 전복한적은 없지만 전복할수?도??,,https://arca.live/b/counterside/39896638,2021-12-07 22:06:05,252,0,0
