index,user,title,content,comment,link,date,view,rate,comment_count
42880181,윙수스,제이크가 디펜이면 뭘 달고 나오려나,힐데정도의 성능이면 망할텐데아니지 망하는게 아니라 상향해서 각우처럼 될려나..킹깡공급은 돼야 각성 디펜더라고 할 수 있지디펜더가 주도하는 카운터사이드,"[{'user': '유동탄압할때만로그인함', 'comment': '호라이즌상위로 나올듯'}, {'user': '윙수스', 'comment': '밀어내면서 전열붕괴도 괜찮을듯'}, {'user': '뭐요왜요', 'comment': '힐데도 디펜층에선 개단단한거임 레인저가 ㅈㄴ쌘거지'}]",https://arca.live/b/counterside/42880181,2022-01-21 17:15:16,23,0,3
42879560,"ㅇㅇ, 222.105",2주년 스킨 저거 각성서윤이였구나 ,난 왜 힐데로알았지 ,"[{'user': '타워그켬하는사람#78739980', 'comment': '힐데랑 미드가 다른데?'}, {'user': 'ㅇㅇ, 222.105', 'comment': '아 그러네 ㅋㅋ'}]",https://arca.live/b/counterside/42879560,2022-01-21 17:05:04,61,0,2
42879552,반갑노,배신 안하는 힐데,용병대장 제이크처녀 가은천재 이지수근첩 릴리미슐랭 셰프 레지나,,https://arca.live/b/counterside/42879552,2022-01-21 17:04:51,28,0,0
42879530,상점누나가좋아#52539577,망상글 힐데 최악의 시나리오,  힐데는 브릔힐트라는 발키리의 이름 따온거라는 카첸글 있음그리고  브륀힐트 이야기는 두 남자영웅과의 치정글임에피소드7보면 나유빈은 전남친같이 배신자 이러면서 촌데레 거리면서 힐데랑 같이 다님 힐데는 주시윤 구하러 난리남완전히 구남친과 현남친꼴임치정극 찍을수도있음,"[{'user': '솔라스', 'comment': '어찌됐든 개좆데인건 똑같은거네'}]",https://arca.live/b/counterside/42879530,2022-01-21 17:04:28,49,0,1
42879491,temprun,카사에서 상상이 안 되는 것들,배신하지 않는 힐데배신자 주시윤똑똑한 계장님거짓말을 하지 않는 서윤노출 없는 옷을 입은 회장님백인,"[{'user': '턱턱툭탁', 'comment': '(emoticon)'}, {'user': '당끼사장님', 'comment': '백인ㅋㅋㅋㅋㅋㅋㅋ'}, {'user': 'kimjino#87804663', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/42879491,2022-01-21 17:03:50,59,1,3
42879286,퀸덤,근데 접고 다시온사이에 힐데 평이 왜케좋아짐? 어이없네 ㅋㅋ ,여신님,"[{'user': '반갑노', 'comment': '(emoticon)'}, {'user': '퀸덤', 'comment': '(emoticon)'}, {'user': '당끼사장님', 'comment': '(emoticon)'}, {'user': '퀸덤', 'comment': '(emoticon)'}, {'user': 'Artcore', 'comment': '(emoticon)'}, {'user': '퀸덤', 'comment': '(emoticon)'}, {'user': 'ㅇㅇ#67770628', 'comment': '(emoticon)'}, {'user': '퀸덤', 'comment': '(emoticon)'}, {'user': '사용자가이미있어124', 'comment': '(emoticon)'}, {'user': '퀸덤', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/42879286,2022-01-21 17:00:28,89,0,10
42879262,당끼사장님,근데 진짜 힐데는 배신자 아니었으면,걍 합법로리바바 은발인 주인공집단1일 듯반박시 힐데단,,https://arca.live/b/counterside/42879262,2022-01-21 17:00:05,31,0,0
42879210,상점누나가좋아#52539577,힐데는 배신자가 아니야,  발키리가 발키리답게 행동한거야,"[{'user': '오조오벅번째카붕#17295083', 'comment': '힐데는....훈이야....'}]",https://arca.live/b/counterside/42879210,2022-01-21 16:59:17,38,0,1
42879111,촤드,배신 안하는 힐데는 힐데가 아니야!!,배신은 이미 힐데와 한몸이 되었다고!!배신 안하는 힐데를과연 힐데라 부를수 있냐 말이야!!캬루도 배신이 캐릭터화가 되서인기가 있는거지페코린느 명치에 영거리 그림버스트 안쐈어도과연 지금처럼 모든 씹덕들이 알아보는유명캐가 되었을까??힐데단들은  자신이 좋아하는 캐릭터를무지성으로 여신님이라고 옹호할게 아니라진정으로  힐데를 애낀다면 배신행적을널리 퍼트려서 캬루처럼 배신의 대명사로만드는게 낫다는걸 깨달아야함대충 알아들었지?자 따라해보세요배신자,"[{'user': '당끼사장님', 'comment': '배신자'}, {'user': 'kimjino#87804663', 'comment': '배신님'}, {'user': 'ngcn', 'comment': '여신님'}, {'user': '촤드', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/42879111,2022-01-21 16:57:34,23,2,4
42878870,누소,실례가 되도 야스콘좀 만들어주십쇼,밑에 힐데 위에 나유빈밑에 마사키 위에 킹밑에 유미나 위에 각홍어밑에 베로롱 위에 릴리해줘,"[{'user': 'kimjino#87804663', 'comment': '(emoticon)'}, {'user': '부식되는세계', 'comment': '아 꾀꼬리가 껴있노 시팔ㅋㅋㅋㅋ'}, {'user': '겨울동화샤오린#99311481', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/42878870,2022-01-21 16:53:32,47,0,3
