index,user,title,content,comment,link,date,view,rate,comment_count
33746836,콘칩#60835121,생각해보니 격전에서 일반주시윤 각성주시윤같이쓰면 ,무지성반격도 가능하겠네 나중에해봐야지 ㅋㅋ ,,https://arca.live/b/counterside/33746836,2021-09-10 18:35:06,17,0,0
33743594,ㅅㅁ#11492408,맞다이) 2코에 진심인편,"대회 재밌어보여서 하나해봤다가 어디까지되나 함 여러개 해봄첫빠따 부동걍 될거같더라,, 저격수는 움직이지않는다2코총병 둘 구관은 당연히 될거같아서 뺌 유탄은 안되더라,,리코링 됨전통적 가성비 미아의외로 겁나 빡세게 깸 리트엄청하면서,,  미스가 너무 많이뜸  특수기랑 궁쿨도 조절하느라 엄청힘들었음.마찬가지로 가성비 초원이얘도 좀 리트박음 미아만큼은 아닌데,,그리고 또다른 뉴비의 친구 캐시레인저라 긴가민가했는데 좀 쉽게 되더라그리고 대망의 오새롬킥승리샷은 실수로 못찍음얘도 리트 격전급으로 박으면서 깼다,, 진짜 겁나 힘들더라,,,,,,올린애들 말고도 시도해본 애들은 많은데 걍 딜자체가 가망이 없거나 경직때문에 못깨는 애들도 많았음리트몇번씩해도 될거같은데?? 하면서 안됨의외로 신디나 분탕이 안됨보미나 노말유나 조호진 이런애들은 걍 딜이 안댐,,제시카랑 민우 스충줘서 지뢰로 어캐 해볼라했는데 안대더라,,여튼 간만에 카사에서 재밌는 컨텐츠로 좀 즐겼다즐카사 그리고 고생해준 우리 구관방,, 미안하다,,",,https://arca.live/b/counterside/33743594,2021-09-10 17:51:29,29,0,0
33741998,LILY,근데 킹이 ㄹㅇ pve 만능인듯,격전부터 다이브까지 개좋은듯,"[{'user': 'eca', 'comment': '(emoticon)'}, {'user': '레아코코', 'comment': '다이브 46~50층까지 킹 쏠쏠하게 잘 써먹음'}, {'user': 'LILY', 'comment': '리만 깰 때 뒤에서 깔짝거리는 스나 고로시 할 때 개시원함'}]",https://arca.live/b/counterside/33741998,2021-09-10 17:24:50,60,0,3
33738805,기사,[개발자노트 29편] 9월 주요 업데이트 안내,"https://forum.nexon.com/counterside/board_view?thread=1567608&stickyBoard=1🥇홍보부2021.09.10 16:300안녕하세요. 사장님! 개발자노트 29편이 도착하였습니다.이번 개발자노트에서는 9월 업데이트에 대한 소식이 담겨있습니다.  자세한 내용은 아래에서 확인을 부탁드립니다.   안녕하세요. 카운터사이드 개발 디렉터 박상연입니다.무더위도 한풀 꺾이고, 때때로 찾아오는 가을비 소식에 계절이 바뀐 것이 조금씩 실감됩니다.카운터사이드는 많은 사장님들의 성원에 힘입어 1.5주년 이벤트와 여름 이벤트를 무사히 마치고, 연말과 2주년 업데이트를 위해 계속해서 나아가고 있습니다.▣ EP.7 업데이트메인스트림 EP.7 업데이트가 바로 다음 주로 다가왔습니다.이번 에피소드는 시즌 2의 전개에 해당하며, 주시윤을 중심으로 구원기사단과의 새로운 이야기가 본격적으로 시작됩니다. 펜릴 소대 3인방 중 마지막 순서로 각성하게 된 주시윤의 각성 명은 ‘아라한’ 으로, 여러 사건들을 겪으며 크게 성장한 주시윤의 모습을 감상하실 수 있습니다.여러 이미지와 영상을 공개하며 더 멋지게 소개해 드리고 싶지만, 아쉽게도 공개 일정상 개발자 노트를 통해 보여 드리기는 어려울 것 같습니다. 9/14 업데이트 전까지 관련된 이미지와 영상이 하나하나 공개될 예정이니 조금만 더 기다려 주시면 감사하겠습니다.▣ 기숙사 기능 개선1.5주년에 업데이트된 기숙사를 많은 분들이 이용해 주고 계십니다. 다소 부족한 마무리로 인해 버그 수정 및 시스템 개선 의견을 받고 있는데요. 이번 앱 업데이트에 아래의 개선 내용을 담았습니다. 1) 가구 겹침 현상 수정 2) 랜덤 방문 오류 수정 3) 가구 아이템의 설명 팝업에 환경 점수와 사이즈 표시 추가 4) 기숙사 환경 점수 표시 정책 개선 5) 가구 배치를 통해 환경 등급이 변경될 경우, 유닛 재배치 없이 자동으로 변경된 등급으로 시간 재계산하도록 수정 6) 테라 브레인 연출 보강 7) 자막 활성화 시 사옥 대사에도 반영 8) 기타 버그 수정 및 개선사항 적용이 외에도 진행 예정인 여러 개선 안들이 남아 있으며, 우선순위가 높은 이슈들을 먼저 해소하고자 하였습니다.앞으로도 기능 개선과 함께 더 예쁘고 새로운 가구들로 꾸미고 지켜보는 재미가 있는 콘텐츠로 만들어나가겠습니다.▣ 유닛 평가 게시판 종료유닛 평가 게시판은 게임 외적인 요소에 기대지 않고 유닛에 대한 평가나 활용 가이드를 얻는 시스템이 되기를 기대했습니다. 문장을 남기는 이상 어느 정도 관리가 필요한 점은 예상하였으나, 자체 필터와 추천 기능을 통한 자정 작용으로 부드럽게 운영되기를 바랬는데요.저희 의도와는 달리 각종 심의와 필터를 넘어선 언행이 노출되고, 대부분의 경우 유닛에 대한 평가나 가이드로써 기대한 기능을 하지 못하며 오픈 초기부터 꾸준하게 관련된 신고와 관리 소홀에 대한 지적이 있었습니다.필터링을 회피한 표현을 거르기에는 모두 한계가 있어 미봉책으로 개별 코멘트 감추기 기능을 지원하게 되었습니다.하지만 여전히 첫 노출을 막을 수는 없기에 관련 신고와 항의가 잇따르고, 저희도 이에 대한 뚜렷한 답을 드리지 못하였는데요. 오랜 시간 여러 방안을 검토하였으나, 정말 죄송하게도 해당 시스템은 제외하기로 최종 결정하였습니다.별점과 평가는 흥미롭고 재밌는 순기능도 있지만, 자칫 불쾌한 경험을 줄 수 있는 어두운 부분도 있습니다. 저희의 부족함으로 관련된 기능을 사용해 오신 분들께 불편함을 드려 죄송하다는 말씀드리며, 향후에는 관리적인 측면에서 더욱 깊이 고민하도록 하겠습니다. 게임 내 유닛 평가 게시판은 제외되지만, 공식 커뮤니티의 사원 도감 형태로 일부 기능을 이전하여 제공드릴 예정이니 참고 부탁드립니다.▣ 소대 정책 개편서비스 초기보다 전역의 비중이 계속해서 낮아지고, 각 스테이지 별 고유 소대를 이용하는 시스템의 비중이 높아지며 소대 관리 경험에 많은 차이가 생겼습니다.특히 신규 스테이지에서 계속 새로 편성해야 하는 번거로움에 대한 개선 요청도 꾸준히 있었고, 기기를 바꾸거나 모바일과 PC를 오갈 경우 편성 정보가 리셋되는 것에 대한 지적도 많았습니다.현재 카운터사이드는 모의작전처럼 별개의 소대를 갖고 있는 콘텐츠도 있지만, 그 외 대부분의 단일 전투 스테이지는 각 스테이지 별로 새로 소대를 구성해서 진행하도록 되어 있습니다.이는 전역에서 사용되는 소대와 단일 전투에서 사용되는 소대의 성격이 다름에도 하나의 편성 시스템으로 묶여 있기 때문에 발생한 것으로, 동일한 유닛이 여러 소대에 편성될 수 없는 전역 시스템의 제약이 전투에도 강요되고 이로 인해 전투 스테이지에 따른 유닛 편성을 할 때 마다 다른 소대의 편성에 영향을 끼치며 편성이 무너지는 것이 핵심 문제였습니다.이를 해결하기 위해, 차주 업데이트부터 소대의 성격이 [전투 소대/전역 소대] 2가지로 구분됩니다.전투 소대는 기존 모의작전 편성처럼 특정 소대의 편성 내용이 다른 소대에 영향을 주지 않으며, 같은 유닛을 여러 소대에 편성할 수 있습니다.  앞으로 특별한 유닛 편성 제약이 없는 ‘단일 전투 스테이지’ 는 전투 소대를 이용해서 플레이하도록 바뀌어 나갈 예정입니다. 기존에 스테이지별로 편성 정보를 저장하신 분들께는 불편함을 드려 죄송하지만, 기존에 PC와 모바일, 또는 각 기기 전환 시 편성 정보가 저장되지 않는 부분이 개선되므로 장기적으로 훨씬 나아질 것으로 기대합니다.전역 소대 정책은 기존과 동일하며, 노멀 챌린지나 그림자 전당처럼 특정한 유닛 편성 제약이 있거나 격전지원처럼 특수한 공략 여건이 있는 콘텐츠는 기존처럼 유지됩니다.간단히 요약하면 [전투 소대는 모의작전 소대의 기능을 단일 전투까지 확장한 것이며, 전역이나 특수 덱들은 기존과 동일] 하다고 할 수 있으며, 표로 정리하면 다음과 같습니다.- 기존과 동일 : 건틀렛, 레이드, 협력전, 격전 지원, 게스트나 편성 제약이 있는 전투 콘텐츠▣ 전용장비 챌린지와 카운터케이스최근 업데이트된 전용 장비 챌린지를 플레이하신 분들 중, 전용 장비 챌린지가 카운터케이스를 대체하려는 게 아니냐는 문의를 보내 주신 분이 계셔서 자세한 설명을 드리고자 합니다.전용 장비 챌린지는 전용 장비를 중복해서 얻을 수 있는 수단으로 제작되었으며, 카운터케이스만으로 제한되어 있던 제약을 풀기 위해서 개발되었습니다. 이유는 크게 2가지로, 전용 장비의 획득 수량 1회를 해제해 세트 바이너리의 본래 취지대로 반복 파밍과 옵션 변경 양쪽의 선택지를 열어주는 것. 그리고 카운터케이스의 업데이트 빈도를 높이기 위해 분량과 보상 단계가 고정되지 않아도 되도록, 전용 장비의 별도 획득처를 만든 것입니다. 따라서 기존에 카운터케이스로 전용 장비를 획득할 수 있었던 장비들도 파밍 대상이 될 수 있으며, 카운터케이스의 분량이나 개발 취지에 따라 보상 구성이 각자 개별적으로 지정되게 됩니다. 실제 다음 전용 장비 챌린지로 알트 소대를 준비하고 있고, 카운터케이스 중 일부는 5단계로 이루어져 있지 않거나 보상 정책이 다른 것들도 있습니다.전용장비 챌린지의 제작 비용이 상대적으로 높은 것은, 현존하는 최고 티어와 등급인 T6 SSR 장비를 확정적으로 획득하는 점을 고려해 책정되었습니다. 추가로 전용장비 뿐 아니라 크레딧, 장비 소재 등 다양한 재화와 아이템을 부스팅 할 수 있는 이벤트 챌린지를 로테이션 형태로 운영할 계획입니다.카운터케이스는 로드맵에 공개한 대로 10종 이상의 캐릭터를 업데이트하기 위해 계속해서 개발 중에 있으며, 현재 약 50%의 스토리 제작 작업이 완료되어 있습니다.▣ 업데이트 일정 변경에 대한 사과 말씀위의 내용에 대한 설명에 이어, 하반기 로드맵 일정 중 일부가 연기되었음을 알리고 이에 대한 사과 말씀드리고자 합니다.위에서 말씀드린 카운터케이스는 스트레가로, 스토리 제작은 예전에 완료 되었지만 정작 시스템과 리소스 제작 일정에 차질이 생겨 10월 중순 이후로 연기가 불가피하게 되었습니다.또한 부사장의 휴가 이벤트와 메인스트림 EP.7을 제작하며 일정을 다시 검토하게 되었으며, 당초 12월로 계획된 EP.8의 업데이트가 현실적으로 어렵다는 결론을 내렸습니다. 앞선 콘텐츠의 퀄리티를 높이며 예상보다 많은 시간이 소요됨에 따라, 이후 개발 일정에 다소 차질이 생기게 되었습니다.현재 조정된 계획으로 메인스트림 EP.8은 2주년 이벤트에 맞춰 진행하고자 합니다. 약속을 지키지 못한 점 개발 디렉터로서 진심으로 다시 한번 사과 말씀드립니다. 메인스트림 EP.7 이후 연말에 계획된 이벤트 에피소드 2종은 계획대로 업데이트할 예정입니다. 이와 별개로 호라이즌 에피소드는 착실히 준비 중이며, 그다음에 계획된 이벤트 에피소드는 나나하라로 결정되어 개발 진행 중입니다.이것으로 개발자노트 29편을 마칩니다.서비스 2주년을 앞두고 있음에도 많은 과제들이 남아 있고, 아직 개발팀이 보여드리고 싶은 것들도 굉장히 많이 남아 있습니다. 더 재미있고 좋은 것을 꾸준히 보여 드리기 위해, 개발팀은 서비스 이후에도 꾸준히 인력을 충원하며 현재는 오픈 당시 보다 거의 2배에 달하는 인원이 되었습니다. 카운터사이드는 강점인 스토리와 캐릭터를 중심으로 다양한 콘텐츠를 쌓아 나가며, 꾸준히 플레이 할 수 있는 게임을 목표로 하고 있으며, 모든 것은 플레이해 주시는 사장님들과 즐거운 추억을 만들기 위해서입니다.앞으로도 카운터사이드에 많은 관심과 응원 부탁드립니다.감사합니다.","[{'user': 'MBT', 'comment': '건밸런스도 좀 언급 해주지'}, {'user': 'ㅇㅇ, 125.130', 'comment': '평가창 들어가면 한남충이나 비틱들 밖에 없고 몇몇 무언가가 떠오르는 캐릭들이면 죄다 통베로 도배되서 의미 없었는데 그냥 지워버리네'}, {'user': 'flaw', 'comment': '(emoticon)'}, {'user': '나이트바라기#72477025', 'comment': '(emoticon)'}, {'user': 'ㅇㅇ#10271370', 'comment': '전투소대 전역소대 왤케 분탕패치맛이나지'}, {'user': 'ㅇㅇ#85245304', 'comment': '오 나나하라'}, {'user': 'ㅇㅇ, 58.239', 'comment': '전장 파밍이 카케 대체해서 내는게 아니라니 다행이긴 한데 필요재화나 기간한정은 이대로 가겠다는거같아 좀 그러네 그런식이면 학생회랑 알파트릭스 애들 전장은 카케를 내서 확정획득하게 해줘야하는거 아닌가 얘네는 현재 파밍온리인데 나중에 카케를 내주려나 다들'}, {'user': '나이트바라기#72477025', 'comment': ""실험데이터 축적하려나보지.\n여긴 '테섭'이니까""}]",https://arca.live/b/counterside/33738805,2021-09-10 16:32:16,2651,75,58
33731458,이히힝#28957736,오퍼는 다양하게 뽑는게 괜찮을지도,원래는 박정자몰빵하느라 김하나고 이수연이고 뽑지도못햇는데모든오퍼다 8렙이럴거아니면 몰빵말고 다양하게뽑는게 나은거같음시그마같은건 고렙이랑차이크다는데 두마리밖에업어서 몰루겟고내 박정자맨날 격전에서 노는거보면 슬퍼나도 소드에서 맨마써보고 이수연이랑 스커덱쓰고싶어,"[{'user': '오징어다리를오물거리는오르카', 'comment': 'ㅇㅇ 나 오펴 종류별로 다뽑는중'}, {'user': '이히힝#28957736', 'comment': '몰빵하면 건에서는 좋을지몰라도 평소에 존나재미업음 도감빈거도짜증나 광피감업으면 많이뽑아도 열만받더라'}, {'user': '오징어다리를오물거리는오르카', 'comment': '도감채우기용으로 머머리도 정가쳤다\n오퍼 여러개뽑는게 컨셉덱하기도 좋고 애들 목소리도 다양하게 듣고 잼씀 ㅋㅅㅋ'}, {'user': '이히힝#28957736', 'comment': '시그마 픽업오면 좀 뽑아놓으려햇는데 세리나나오고 욕구가 확식네'}, {'user': '암왕제군', 'comment': '하나씩은 있는 게 조음 몰빵해봤자 세리나 같은 걸로 뒤통수 맞을 뿐'}, {'user': '이히힝#28957736', 'comment': '(emoticon)'}, {'user': 'ㄹㅇㄹㄷㅍㄹㄴㅅ', 'comment': '그러게 난 pve 만 해서 레나랑 딸에 올인했는데 어차피 스킬 못쓰다보니 발동이 말도 안되게 쉬운 하나가 대세픽임 최근엔 ㅋㅋ'}, {'user': '이히힝#28957736', 'comment': '발동조건까다로우면 오퍼렙이높아도 쓸모가업더라. 스나 서포터가 발동조건에 잇으니 pve에서는 박정자 쓰기가너무힘듬'}]",https://arca.live/b/counterside/33731458,2021-09-10 14:21:21,64,0,8
33729435,MBT,님들 그거암?,사실 격전 브금 두개임,"[{'user': 'ㅇㅇ#34535044', 'comment': '(emoticon)'}, {'user': '하랍픽업좀', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/33729435,2021-09-10 13:44:17,62,0,2
33729355,ㅇㅇ#34535044,소신발언)격전브금 짱조음,나는 격공이 아니기때문,"[{'user': 'ㅣlㅣlㅣlㅣ', 'comment': '격한공감'}, {'user': '카붕가붕이#67881991', 'comment': '격공은 수십번듣는브금'}, {'user': '박하온', 'comment': '(emoticon)'}, {'user': 'ㅇㅇ#87218383', 'comment': '(emoticon)'}, {'user': '반갑노', 'comment': '크아악'}]",https://arca.live/b/counterside/33729355,2021-09-10 13:42:46,63,0,5
33705359,flaw,격전 2주로 롤백해줘,귀찮아,"[{'user': '밥은먹고다니냐', 'comment': 'ㄹㅇㅋㅋ'}, {'user': '카운터사이드는서비스종료다', 'comment': '저 아직 메이즈 바꿔먹어야해오'}, {'user': '푸별', 'comment': '포인트 줄어서 먹는기간 동일'}, {'user': 'Nyx#34512140', 'comment': '숙제 기간 짧아져서 불편'}]",https://arca.live/b/counterside/33705359,2021-09-10 00:39:26,42,0,4
33705295,ㅇㄷㄴ#69699297,다음 격전은 뭐일까,네르비에 + @ 일거같긴함단순하게 보면 소드가 한번 더 올거같다,,https://arca.live/b/counterside/33705295,2021-09-10 00:38:19,26,0,0
33704275,rhyme,근데 다음 격전 타입은 뭐 예상함?,그 짭미니스트라 나올려나 본지 좀 된거같은데,"[{'user': '모건빵', 'comment': '카운터 고로시패널티 솔리'}]",https://arca.live/b/counterside/33704275,2021-09-10 00:22:46,33,0,1
