index,user,title,content,comment,link,date,view,rate,comment_count
39823068,로바나,일본 셰도우 오브 메모리는 기계음이네,보컬로이드 썼음대체 왜,"[{'user': '잉딩', 'comment': '대체 왜지'}, {'user': '아카라이브아카녹화엌ㅋㅋ', 'comment': '돈 없나보지'}, {'user': '비질란테', 'comment': '그거 콘테스트 홍보곡이야'}, {'user': '로바나', 'comment': '이걸로 반년뒤에 하츠네 미쿠 콜라보 나올듯'}, {'user': '킹헤일로', 'comment': '저거 보컬커버 컨테스트용 가이드임'}, {'user': '로바나', 'comment': 'ㅋㅋㅋㅋㅋㅋㅋㅋ'}, {'user': '소나기나기', 'comment': '그거 불러보았다 이벤트 가이드라는데'}, {'user': '배가아픈레후', 'comment': 'ㄹㅇ 아쉬움'}]",https://arca.live/b/counterside/39823068,2021-12-06 21:19:39,80,0,8
39821717,철덩이,타이탄 원본 상상이 안감,"주먹쓰는 거대한 기계,, 이건 좀 귀하군요","[{'user': '꼬리를문뱀#24619419', 'comment': '그거 재무장 감이군!'}]",https://arca.live/b/counterside/39821717,2021-12-06 21:02:42,43,0,1
39820100,베버,페그오 공기계돌리면서 카사하니깐,내가 막 병신같고인생이 없는거같고,"[{'user': '던붕이', 'comment': '돈도많다'}, {'user': '베버', 'comment': '페그오는 복귀하고 스토리 보고있음\n아직은 안질렀다'}, {'user': '아카라이브아카녹화엌ㅋㅋ', 'comment': '잘 아노 게이야!'}, {'user': '아카라이브아카녹화엌ㅋㅋ', 'comment': '병신겜 더블이면 완전 상병신 아니노'}, {'user': '베버', 'comment': '카사 하나도 충분히 병신이야 ㅋㅋ'}, {'user': '아카라이브아카녹화엌ㅋㅋ', 'comment': '(emoticon)'}, {'user': '고졸무직백수', 'comment': '너는 마스터와 관리자의 인생을 살고있단다'}, {'user': '가자미', 'comment': '(emoticon)'}, {'user': '학점대폭발', 'comment': '돈도 많다'}, {'user': '베버', 'comment': '없다...'}, {'user': 'lemonade', 'comment': '룰렛은 못참지'}, {'user': '판타지카', 'comment': '돈많네'}, {'user': '베버', 'comment': '그와중에 댄스도 질럿네 돈 개많네'}, {'user': '판타지카', 'comment': '그와중에 댄스도 질럿네 돈 개많네'}, {'user': '베버', 'comment': '(emoticon)'}, {'user': 'ㅇㅇ#13949898', 'comment': '한달 없벤이었는데 룰렛은 해야지 ㅋㅋ'}, {'user': '촤드', 'comment': '페...그...오??'}, {'user': '모닝빵우유', 'comment': '우리에겐 폰옴닉이 있어'}]",https://arca.live/b/counterside/39820100,2021-12-06 20:42:12,106,0,18
39809849,샷건,"""시그마, 너는 내 딸이 아니야.""","아빠!  무슨소리야! 내가 아빠 딸이지 무슨 소리를 하는거야!다시한번 얘기 해주마, 너는 동화책을 읽고...아이 참!! 또 바보같은 소리한다!또 장난치려는거야? 그러지 말고 나랑 놀자~~.....아...  아빠??시그마.... 지금부터 너의 진정한 정체를 알려주마.....치..  내 진정한 정체같은게 어딨어?내가 아빠 딸이라는게 진정한 정체지!..... 너는 한 때 기계들의 정의로운 리더였었다.그러다 모종의 사건으로 어두운 마음을 품게 되고, 기계들을 파괴하다가 강력한 개체에 의해서 봉인되었지.내가 다른 기계들을 괴롭힌다니 대체 아빤 무슨 소리를 하는거야?내가 악당이라도 된다는거야?나 화낼거야!시그마,넌 니 자신에 대해서 어떻게 그렇게 확신할 수 있는거냐?넌 머신이야.너가 가지고 있는 잠재력을 애써 무시하지 말거라.그럼.. 아빠는 내가 악당이였으니까 내가 미워졌다는거야?미안해...  내가 뭘했는지는 모르지만 미안해....무슨소리야?버릴거였으면 그동안 내가 왜 널 거두고 함께 지냈겠니?난 그런 말을 하려 너의 과거를 말한게 아니란다.그럼... 아빠 나 버리는거 아니지?당연하지..  난 널 진정한 모습으로 각성시키기 전에 널 적응시키기 위해 과거사를 얘기 해준거란다.""각성?"" 왜 갑자기 날 각성시키려는 거야?그건 이 녀석 때문이란다.밴도 안되는 깡통녀석이 건틀렛 이곳저곳에서 행패를 부리고 있어.이녀석은 4종 침식체, 아니 그 이상의 힘을 가지고 있을지도 모르는 녀석이라함부로 잡으려 했다간 소중한 사원들이 다칠 수 있단다.하지만 시그마, 너의 ""진정한 힘"" 에 비하면.....저건 너에게 하찮은 고철더미에 지나지 않단다.즉, 깡통을 잡는데 너가 특화됐다는 말이지.너가 과거에 무슨 짓을 했는지는 이제 중요하지 않아.너의 마음이 구관리국의 월등한 기술력으로 선하게 변화되었기 때문이지.네 안에 있던 '그 바이러스'도 완전히 제거되었단다.바이러스?너의 잠재된 힘은 그대로면서수많은 개선과 조정을 통해 너의 마음은 인류의 편으로 개심되었단 뜻이지.뭐 자세한건 각성 후에 스스로 깨우칠 거란다.세상의 평화에 이바지할 준비가 되었니??응 아빠!!난 준비됐어!좋다 시작하자!!우우웅...(기대돼...)(각성된다면 이런 모습이려나....? 후훗...)철커덕위이잉....오옷....오오오오오옷!!정말 대단해.... 역시 시그마...오오오오오오오오!!!!!!!!!!《기동 준비 완료.》준비는 됐니???""네.""""그 깡통은....""""더 이상 진화하지 못할 것입니다.""그래, 당연하지.너는 이레귤러 헌터의 리더.사상 최강의 레플리로이드......《 Σ 시그마 》니까.","[{'user': '중국몽죄인', 'comment': '(emoticon)'}, {'user': '메리스', 'comment': 'ㅈ같노 ㅋㅋ'}, {'user': '동성회직계69대회장아스나', 'comment': '(emoticon)'}, {'user': 'Artcore', 'comment': '(emoticon)'}, {'user': 'ㅇㅇ#79729761', 'comment': '(emoticon)'}, {'user': '김빠진스프라이트', 'comment': '(emoticon)'}, {'user': '유리인', 'comment': '그아아아아아악'}, {'user': '아루룽', 'comment': '(emoticon)'}, {'user': '비질란테', 'comment': '(emoticon)'}, {'user': '샌디치크스', 'comment': '(emoticon)'}, {'user': '카챈용계정', 'comment': '저 시그마 일러 공식일러레가 그린거임? 첨보네'}, {'user': '샷건', 'comment': '모름 걍 구글에서 줏음ㅋㅋ'}, {'user': '푸이잉#89900638', 'comment': '(emoticon)'}, {'user': 'TLCrow', 'comment': '(emoticon)'}, {'user': '뭐함#81204268', 'comment': '(emoticon)'}, {'user': '중졸딸배십장', 'comment': '(emoticon)'}, {'user': 'bfbeaver', 'comment': '-틀-'}, {'user': '미야', 'comment': '(emoticon)'}, {'user': '촤드', 'comment': '(emoticon)'}, {'user': '신선한라임', 'comment': '양눈 다뜬 시그마 ㄷㄷ'}, {'user': 'ㅇㅇ#83721190', 'comment': '빌드업 시발럼아'}, {'user': 'Gunvolt', 'comment': '앗.'}, {'user': 'ㅇㅇ#86198898', 'comment': '(emoticon)'}, {'user': 'spu', 'comment': '이제 제로랑 엑스한테 썰릴 운명'}, {'user': 'Nanoha', 'comment': '(emoticon)'}, {'user': '태양권', 'comment': '결말 싀벌'}, {'user': 'Edge#74084078', 'comment': '(emoticon)'}, {'user': '핵융합건전지', 'comment': '(emoticon)'}, {'user': '새벽비', 'comment': '왜 사이버넷 아님?'}, {'user': '람네', 'comment': '(emoticon)'}, {'user': '구관조리병', 'comment': '지나치게 강해진 스카이넷 ㅇㄷ?'}, {'user': 'ㅇㅇ#87654583', 'comment': '(emoticon)'}, {'user': '은청초', 'comment': '(emoticon)'}, {'user': '은청초', 'comment': '(emoticon)'}, {'user': '랑편#60846748', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/39809849,2021-12-06 18:05:25,1229,64,35
39808181,ㅇㅇ#83721190,딸래미한스푼) 중섭 매출을.araboza,구글 매출은 어떻게 되어있는지는 모르겠는데 앱스토어 기준 매출 최고점은 51위까지는 가봤고 100위 언저리에서 노는 분위기임인기순위는 앱스토어 차트에서 안보여!그래도 진짜 완전 좆박은 수준은 아닌듯저기에서 100위권 해도 우리에서 100위권 하는거랑은 차원이 다를듯 매출이ㅋㅋ,"[{'user': '방연#60601907', 'comment': '얼마인지는 모르나'}, {'user': 'ㅇㅇ#83721190', 'comment': '그건 스비랑 즈롱만 알걸'}, {'user': '독호메', 'comment': '중섭은 구글 없을거임 비리비리 텐텐 이런곳'}, {'user': '소림이애호해줘', 'comment': '구글 스토어 있음 다만 안드로이드 로컬 스토어 자체가 워낙 많아서 구글만으로는 집계가 제대로 안됨'}, {'user': '카린웡', 'comment': '(emoticon)'}, {'user': '간결한닉네임', 'comment': '중섭 100위권이여도 매출 한섭 수준일듯'}, {'user': 'ㅇㅇ#83721190', 'comment': '한국도 구글 기준 100위권인걸ㅋㅋㅋ'}, {'user': '간결한닉네임', 'comment': '한섭에 미래전까지 얹혀도 중섭못이길듯'}, {'user': '스튜비급강하폭격기', 'comment': '(emoticon)'}, {'user': '김빠진스프라이트', 'comment': '(emoticon)'}, {'user': 'sico12', 'comment': '일섭매출 200위대가 한국섭 30 40위급임 중섭이면 뭐 ㅋㅋ'}]",https://arca.live/b/counterside/39808181,2021-12-06 17:37:15,1413,35,11
39803842,flawless,기계는 기계일뿐임,흑인이 미백한다고 백인되나자길 딸이라 착각하는 미친기계는 고물상으로,"[{'user': '샨', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/39803842,2021-12-06 16:23:33,48,0,1
39794917,뉴비는애기야#36482885,기순이 일러좀 바꿔주면 안되나,이거 나왔을때 진짜 기대좀했는데 실망함,"[{'user': '극한의가능충', 'comment': '(emoticon)'}, {'user': '뉴비는애기야#36482885', 'comment': '(emoticon)'}, {'user': 'E50M', 'comment': '보다보면 매력있어'}, {'user': '뉴비는애기야#36482885', 'comment': '맞긴해 근데 저일러가 너무 이쁨'}, {'user': 'E50M', 'comment': '특수효과와 배경이 합쳐진 주도닝'}]",https://arca.live/b/counterside/39794917,2021-12-06 13:39:49,85,0,5
39794262,아내,내 친구 꼬셔서 같이 카사하는데,사장이 깡통로봇이란거 알고 충격받더라김하나는 어떻게 깡통로봇보고 훤칠하다는 소리를 하냐고기계박이 아니면 가능충으로 보고 있음,"[{'user': '건공', 'comment': '본체는 깡통뒤에서 조종하고있잖아\n근데 고졸비서는 사장 본체 모를텐데 진짜 깡통박이인가 싶긴해'}, {'user': 'ham_human', 'comment': '그래서 1-1더빙하면서 앞부분에 비서가 본체 처 자는거 보는 컷신 추가한듯'}, {'user': '건공', 'comment': '묘사만 안했지 알고있었구나..'}, {'user': 'SDAKAJUXIM', 'comment': '그친구 니한테 뭐 잘못한거잇슴??'}, {'user': '아내', 'comment': '없는데...'}, {'user': 'SDAKAJUXIM', 'comment': '(emoticon)'}, {'user': '극한의가능충', 'comment': '친구가 무슨 잘못함?'}, {'user': '독호메', 'comment': '일있으면 말로 해결해'}, {'user': '뉴비는애기야#36482885', 'comment': '악마노..'}]",https://arca.live/b/counterside/39794262,2021-12-06 13:28:18,185,0,9
39790559,별빛하늘#45138686,카사 이거 깔았는데 생각보다 재밋내,몬가 생각한거랑 다르게 할만하다원래 목적이 소설 소재 찾을려고 시작한건데몬가...몬가.. 생각이 바뀜아 그리고 창작 탭에 소설 올려봤는데쌍욕 달릴줄 알았는데 반응이 정반대라 당황스러움 라오 챈에서 소설 글을 많이 봤던지라나도 소설 좀 써보고 싶다! 이런 마인드였거든그림 그리는 사람은 많은데글쟁이는 거의 없던것도 나한테 영향이 컸던듯어... 왜 이게 념글에 갔는진 모르겠는데이왕 올라간거 하고 싶은 말이나 더 함시그마 라는 캐릭에 대해서 챈에 물어봤다가이런 저런 답변을 들었거든?근데 기계를 사람처럼 대할건지그저 기계로 대할건지 생각이 좀 들더라챈이야 뭐 자유롭게 말하는 곳이니깡통이다 치매다 놀리곤 하던데나는 마음이 묘해지더라 설정 같은거 찾아보니호라이즌.시그마 같은 애들 보니까어떤 점에선 사람보다 더 사람 같단 생각이 들더라옛날에 만화였나 게임이던가 본 것중에기계도 영혼이 있다 생각하는 추상적인 주장이 있었거든 갑자기 그게 시그마랑 호라이즌 보니까 생각나더라,"[{'user': '나에엥', 'comment': '(emoticon)'}, {'user': '두트리오', 'comment': '(emoticon)'}, {'user': '젖은항상옳다', 'comment': '컨소는 캬루'}, {'user': '별빛하늘#45138686', 'comment': '컨소가 길드 같은거 같던데 그냥 혼자 할려고 나는'}, {'user': 'OmO', 'comment': '(emoticon)'}, {'user': '젖은항상옳다', 'comment': '보상…많은데..'}, {'user': '메리스', 'comment': '1주일 셋바 3개가 ㅈ으로 보이더나!!'}, {'user': 'SDAKAJUXIM', 'comment': '(emoticon)'}, {'user': '동성회직계69대회장아스나', 'comment': 'ㄹㅇ 은근할만함 게임이'}, {'user': '비질란테', 'comment': '(emoticon)'}, {'user': 'ㅇㅇ#79729761', 'comment': '(emoticon)'}, {'user': 'ㅇㅇ#81071525', 'comment': '(emoticon)'}, {'user': 'ㅇㅇ#92550425', 'comment': '(emoticon)'}, {'user': '독호메', 'comment': '(emoticon)'}, {'user': '송도지킴이#91131838', 'comment': '게임 자체는 할만하고 괜찮음.'}, {'user': '송도지킴이#91131838', 'comment': '게임 자체는 할만하고 괜찮음.'}, {'user': '김빠진스프라이트', 'comment': '(emoticon)'}, {'user': '베버', 'comment': '(emoticon)'}, {'user': 'ㅇㅇ#85245304', 'comment': '(emoticon)'}, {'user': '던붕이', 'comment': '우리 창작자 우대는 라오 다음으로 좋은편이야'}, {'user': '별빛하늘#45138686', 'comment': '원래 라오 챈 가서 소설 쓸까 했는데 죄다 여캐만 나오는 겜이고 아포칼립스 세계관이라 어렵드라고'}, {'user': '던붕이', 'comment': '게임 할만해 좋은 글들 많이 써줘'}, {'user': '별빛하늘#45138686', 'comment': '그래가지고 여기 정착 할려고'}, {'user': '던붕이', 'comment': '근데 뭔 쓰는 글마다 사람들이 친절하게 반응해줘서 당황스럽긴 했슴'}, {'user': '별빛하늘#45138686', 'comment': '근데 뭔 쓰는 글마다 사람들이 친절하게 반응해줘서 당황스럽긴 했슴'}, {'user': '갓겜충아님', 'comment': '(emoticon)'}, {'user': '방연#60601907', 'comment': '침식체가 뉴비코스프레하는줄 알았는데 아니었네'}, {'user': '별빛하늘#45138686', 'comment': '오늘 시작 했슴'}, {'user': 'TLCrow', 'comment': '기계는 개섹스한 섹스야 섹스라고 기계만큼 꼴리는건 빈유 핑크머리 여성외에 존재하지 않아'}, {'user': 'OmO', 'comment': '(emoticon)'}, {'user': 'Ozymandias', 'comment': '앞에건 인정'}, {'user': '아카콘쓰러옴', 'comment': '(emoticon)'}, {'user': '그냥막만든아이디#22831543', 'comment': '(emoticon)'}, {'user': 'ㅇㅇ#22198827', 'comment': '(emoticon)'}, {'user': '비염싫어', 'comment': '바이럴임?'}, {'user': '별빛하늘#45138686', 'comment': '아 혹시 공지 위반임?'}, {'user': '비염싫어', 'comment': 'ㄴㄴ 드립임'}, {'user': '카사뉴비임#40212358', 'comment': '(emoticon)'}, {'user': 'Ispin#67670762', 'comment': '(emoticon)'}, {'user': '페소라붕카린이', 'comment': '(emoticon)'}, {'user': 'Artcore', 'comment': '(emoticon)'}, {'user': 'Ozymandias', 'comment': '창작일뿐이니 철학적인 의문들은 그냥 웃어넘기자구'}, {'user': 'FumikaP', 'comment': '(emoticon)'}, {'user': '하나둘삼삼#58795639', 'comment': '컨소는 뷰댕이, 위에 보니까 선생님은 길드 같은거라고 착각하고 계시는데 한달에 1500쿼츠 그 이상을 주는 파밍처입니다. 웰컴 뷰댕이\n\n심지어 뭐 어렵지도 않고 1주일 5회만 돌면 되는 개꿀 컨텐츠임'}, {'user': '도스분충우지챠', 'comment': '(emoticon)'}, {'user': 'AllesKlar', 'comment': '뭐 이 겜도 로봇 인공지능에 영혼같은 무언가가 있는 것처럼 나오긴함'}]",https://arca.live/b/counterside/39790559,2021-12-06 12:28:51,1466,84,46
39784714,별빛하늘#45138686,소설.스포)시그마에 대해 어떻게 생각해? 1,"""음... 뭐?""""말 그대로야 시그마에 대해 어떻게 생각해?""멍하니 서류더미랑 눈싸움 하고 있으려니 들려오는 질문이었다. 어떻게 생각하냐라... 첫 만남이 어땠더라? 아 그래. 생각났다!""어... 이게 그 녀석 맞지?""""그래 황금동상 성애자 양반 니 지시대로 가져왔어.""""근데 이게 그렇게 소중한거야?""""그런 거금까지 줘가면서 사오라고 할줄이야...""""그래. 나한텐 정말 소중한 친구야 5천만 크레딧이건 1억 크레딧이건 얼마를 부르건 데려올려고 했으니까""""그래서 최근엔 동상을 안 만들었던거냐? 사장 나으리?""""그래. 그래. 이 망할 기계공학자 놈아""""거 공돌이 서럽게 하시네 아무튼 작동 시킨다?""""좋아! 시작해! 이제 친구를 오랜만에 만나겠어!""그렇게 나의 옛 친구를 다시 만날 생각에 들떠있었다. 테라브레인을 정상적으로 작동 시켰다. 근데...""오 안녕 친구? 내가 누군지 기억나?"""".....아빠""""응? 뭐라고? 잘 안 들려.""""안녕! 아빠!""""오오 이제부터 아빠랑 같이 노는거야? 재밌겠다!""""어... 공돌이야 애가 나보고 아빠라고 한거 맞지?""그래... 너 보고 아빠라고 한거 같은디?""""그... 사장님 이 아이. 혹시 숨겨둔 자식이여?""아니 무슨 소리야! 난 미혼이라고 그럴리가 없잖아""""애나 너나 둘다 붉은 눈깔을 하고 있는디... 뭐 상관 없으려나? 뭐 아무렴 어때. 예이~ 예이~ 나는 이제 할일 다 했으니 간당께~""""아니 잠시만! 나 혼자 어쩌라고?"" ""뭐 아빠라고 하는걸 보니 잘 따를거 같은디?""""거기 이쁘게 생긴 아가씨는 이름이 뭐에유?""""시그마야!"" / ""워매 이쁜 이름이네유""""헤헤 고마워! 아저씨는 누구야?""""아. 나? 거 그냥 까라면 까고 기라면 기는 불운한 기계공학자 라고 한다네 아가씨. 나를 공돌이 아저씨 라고 불러주면 고맙겠수다"" / ""공돌이 아저씨!""""그려 그려 시그마라고 했제? 느그 아빠 저깄으니까 삶아먹던지 구워먹든지 니 끌릴대로 해. 그럼 나는 퇴근한다~ 퇴근이 제일 좋아~!""""거 아빠랑 딸내미 답게 오붓한 시간 보내랑께요~""""야! 야! 잠깐만! 저 망할 공돌이...역시 맘에 안 들어"" / ""다 들린당께요?"" / ""퇴근하세요..""/ ""예이~""그렇게 기계공학자는 퇴근을 했고 나랑 시그마 둘만 사장실에 남아 있던거 같은데... 그렇게 그 아이와 나는 어색하게 대화를 나눴던거 같다정확히는 나 혼자만 어색했다.""아빠 여긴 동화책 없어?"" / ""어... 동화책?""""음... 어디보자. 여기있다! 시그마 여기 동화책""""우와 이거 책에서 아빠 냄새가 나!"" ""누가 들으면 오해 하겠는데?""""아빠! 이 물건은 뭐야? / ""그거? 무서운 서류뭉치"" 그렇게 기계공학자가 던진 질문에 처음부터 이야기를 하다가 기억이 바로 바로 안 나서 이야길 잠시 멈췄다.""음... 그 이후는 기억이 가물가물 하네""""거 벌써 치매가 온거여? 사장 나으리?""""으아! 몰라 이 서류더미 부터 처리하고 생각할래!""""쓰러지던 말던 내가 참견할건 아닌디 쓰러질것 같으면 내 월급은 10년 치는 땡겨주고 쓰러지슈""""우와 신이시여 여기 사탄이 있습니다""""틈만 나면 공돌이 갈구는 네가 할 소리여?""악! 1200자 넘게 쓰려니 손가락 아프다!다음 편에 마저 써올게 손가락 아프다아무튼 구린 소설 써서 미안해...대사는 나무위키에 있는 시그마 대사랑다른 카붕이들 시그마 문학에 쓰던 말투좀 참고함아 그리고 여기선 이수연 대신 공돌이를 대신 쓸려고 함고든 프리맨이랑 스타2 스완.아바투르.카락스  이런 공돌이 특징 캐릭들 한번 써보고 싶었어아 그리고 1 크레딧 = 1달러 정도로 생각해주삼","[{'user': '오뎅식당부대찌개', 'comment': '창작이면 창작탭으로가자'}, {'user': '별빛하늘#45138686', 'comment': '바꿨는데 내가 봐도 너무 글이 구린데 사람들이 돌 던지는거 아닐까?'}, {'user': '꼬리를문뱀#24619419', 'comment': ""창작은 그자체로 가치가 있음\n그러니까 '써와'""}, {'user': '마에스트로', 'comment': 'ㅋㅋㅋ스 2 스완 호감캐지 ㅋㅋㅋㅋ어이 촌놈!'}, {'user': '별빛하늘#45138686', 'comment': '아 근데 사람들이 돌멩이 던질거 같아서 무섭네'}, {'user': '마에스트로', 'comment': '원래 창작물을 남한테 보인다는거 자체가 굉장히 큰 용기가필요한거라 겁나긴할거임.. 근데 난 이 글이랑은 비교도 안되게 못쓴글도 뻔뻔하게 올렸었어 너무 불안해하지않아도됨ㅋㅋㅋㅋ'}, {'user': '카챈용계정', 'comment': '(emoticon)'}, {'user': '아루엘', 'comment': '가벼운 관남충 ㄷㄷㄷㄷㄷㄷ 색다르구만'}, {'user': '별빛하늘#45138686', 'comment': '아 혹시 이상해?'}, {'user': '아루엘', 'comment': 'ㄴㄴ 이상할건 없음 캐릭터 해석을 어떻게 하든지 그건 쓰는 사람 마음이지 캐릭터 성격을 묘사로 뒷받침해주기만 하면 됨'}, {'user': '별빛하늘#45138686', 'comment': '몬가 죄다 무거운 분위기로 하길래 나는 좀 다르게 해보고 싶드라고 아무튼 읽어줘서 고맙'}, {'user': '샌디치크스', 'comment': '(emoticon)'}, {'user': 'Aluminium', 'comment': '(emoticon)'}, {'user': 'Jin#18888698', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/39784714,2021-12-06 10:38:25,596,17,14
