index,user,title,content,comment,link,date,view,rate,comment_count
39739953,엿이나처무라#99513101,솔저들 물량공세가 실패했다고?? 그럼 각성 솔저 출시하겠지,내가 봤을땐 루시드 이벤에서초중반까지 등장했던 핸들이 각성솔저 냄새남핸들은 남자고 일단 위험에 빠진 여동생을 구하러 가야돼는 내용이 있음핸들은 뭔가 이런 느낌으로 나올 가능성이 아주 큼무에서 유를 창조하여 기관총과 무한 탄환을 생성그것이 각성 솔저 핸들이 됄 것 이다,"[{'user': '야고#66742541', 'comment': '(emoticon)'}, {'user': '밀리에밀리', 'comment': '우리는 이걸 카운터라고 부르기로 했어요'}, {'user': 'Onedaymore', 'comment': '각성 솔저 = 카운터'}]",https://arca.live/b/counterside/39739953,2021-12-05 16:53:42,134,-1,3
39690471,꿀때지,"카나데 성능 ""루시드"" 해버렷다고요?? ",아직 안얻어서 몰루겟는,"[{'user': '눈꽃1', 'comment': '공중제비 도는 모습 웃긴거 말고는 장점이 없는거같아요'}, {'user': '꿀때지', 'comment': '(emoticon)'}, {'user': '극한의가능충', 'comment': '유부녀라는 장점이 있는데요'}, {'user': '눈꽃1', 'comment': '(emoticon)'}, {'user': '반갑노', 'comment': '600주화로 당장 get'}, {'user': '꿀때지', 'comment': '(emoticon)'}, {'user': '아카라이브아카녹화엌ㅋㅋ', 'comment': '솔직히 지금 느낌이 루시드 보는 느낌임 재앙도우나 쓰고 말지'}, {'user': '꿀때지', 'comment': '(emoticon)'}, {'user': '대적자리이헤븐즈사인민혁', 'comment': '(emoticon)'}, {'user': '메카덱에다살덩이좀넣지마', 'comment': '루시드는 박을수라도 있지'}, {'user': 'Nanoha', 'comment': '장점 이쁨 꼴림'}]",https://arca.live/b/counterside/39690471,2021-12-04 21:06:23,234,0,11
39669506,엿이나처무라#99513101,그래서 루시드 3코면 씀??,루시드 3코면 좀 괜찮나??아니면 모든게 다 문제인것인가,"[{'user': '늒네#86893131', 'comment': '업 받을 때 많이 쓰더라 3코면 쓸듯'}, {'user': '제주삼다수군통제사', 'comment': '3코면 고민해볼만함'}, {'user': '엿이나처무라#99513101', 'comment': '3코면 진짜 자주 쓰일듯'}, {'user': '네모네모', 'comment': '3코면 사기지'}, {'user': '라아슈아', 'comment': '3코면 쓸듯'}, {'user': '게테라토스', 'comment': '3코면 평타'}, {'user': '비질란테', 'comment': '3코면 개사기인데ㅋㅋㅋ\n루시드 1코 침식체듀오 각각 1코 엌ㅋㅋㅋ'}, {'user': '렘딘', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/39669506,2021-12-04 15:41:38,118,0,8
39663624,엿이나처무라#99513101,다들 각성 솔저를 원하는가보군 -역대급 스포주의-,내가 봤을땐 루시드 이벤에서초중반까지 등장했던 핸들이 각성솔저 냄새남핸들은 남자고 일단 위험에 빠진 여동생을 구하러 가야돼는 내용이 있음핸들은 뭔가 이런 느낌으로 나올 가능성이 아주 큼무에서 유를 창조하여 기관총과 무한 탄환을 생성그것이 각성 솔저 핸들이 됄 것 이다,"[{'user': '클러스트', 'comment': '그래서 짤 누구임'}, {'user': '아루엘', 'comment': '토비 맥과이어 아님?'}, {'user': 'ㅇㅇ#87218383', 'comment': '무에서 유를 만드는 순간 그건 카운터 같은데 ㅋㅋ'}, {'user': 'ㅇㅇ#40443957', 'comment': '그거 그냥 카운터....'}, {'user': '불타는백두산', 'comment': '카운턴데'}, {'user': '시그마져아', 'comment': '아니 카운터잖아 ㅋㅋ'}]",https://arca.live/b/counterside/39663624,2021-12-04 13:43:00,183,0,6
39634904,DButton,한섭 기준 프로필 프레임 획득 경로 정리,"1. 건틀렛 시즌 포인트 구매 프레임 : 펜릴울브즈베인을 본따 만든 프레임. 프로필에서 장착하여 회사의 저력을 증명할 수 있습니다.건틀렛 시즌 포인트로 구매할 수 있습니다.프레임 : 지크프리트버스터 코어를 본따 만든 프레임. 프로필에서 장착하여 회사의 저력을 증명할 수 있습니다.건틀렛 시즌 포인트로 구매할 수 있습니다.프레임 : 에이스 오브 윙즈아스널 윙을 본따 만든 프레임. 프로필에서 장착하여 회사의 저력을 증명할 수 있습니다.건틀렛 시즌 포인트로 구매할 수 있습니다.프레임 : 솔라 코덱스고대의 마도서를 본따 만든 프레임. 프로필에서 장착하여 회사의 저력을 증명할 수 있습니다.건틀렛 시즌 포인트로 구매할 수 있습니다.2. 주화 구매프레임 : 크리스마스크리스마스를 테마로 한 프레임. 프로필에서 장착하여 회사의 저력을 증명할 수 있습니다.한번에 여러 개를 보유 할 수 없습니다.2020년 크리스마스 특별 패키지3. 이벤트 프레임 : 레코드테라브레인을 본따 만든 프레임. 프로필에서 장착하여 회사의 저력을 증명할 수 있습니다.이벤트 : 홀로 남겨진 것프레임 : 크로스로드크로스로드를 테마로 한 프레임. 프로필에서 장착하여 회사의 저력을 증명할 수 있습니다.이벤트 : 크로스로드 리메이크프레임 : 할로윈할로윈을 테마로 한 프레임. 프로필에서 장착하여 회사의 저력을 증명할 수 있습니다.2020년 할로윈 미션 [할로윈 프로젝트] 이벤트프레임 : 인플루언서빼빼로데이에 함께 해 준 사장님에게 지급되는 프레임. 프로필에서 장착하여 회사의 저력을 증명할 수 있습니다.한번에 여러 개를 보유 할 수 없습니다.2020년 빼빼로데이 기념 출근체크프레임 : 벚꽃벚꽃 향기가 가득한 프레임. 프로필에서 장착하여 회사의 저력을 증명할 수 있습니다.이벤트 : 신학기 조회 - 마지막 벚꽃이 피는 교정프레임: T.O.T할로윈을 테마로 한 프레임. 프로필에서 장착하여 회사의 저력을 증명할 수 있습니다.2021년 할로윈 미션 [유나의 오싹한 축제] 이벤트4. 패스 구매프레임: 노랑 새싹꽃을 좋아하게 될 것만 같은 프레임. 프로필에서 장착하여 회사의 저력을 증명할 수 있습니다.카운터 패스 - 케이시 빈즈프레임: 실험 대상광기 어린 과학자의 타깃이 될 것 같은 프레임. 프로필에서 장착하여 회사의 저력을 증명할 수 있습니다.카운터 패스 - 론 리프레임: 사상공존꿈을 응시하고 기억을 청취하는 조종자의 프레임. 프로필에서 장착하여 회사의 저력을 증명할 수 있습니다.카운터 패스 - 루시드프레임: 무결점완벽하도록 만들어졌고, 그 완벽함 때문에 완성되지 못한 설계도의 프레임.  프로필에서 장착하여 회사의 저력을 증명할 수 있습니다.카운터 패스 - 호라이즌프레임: 여우가면눈에 보이지 않는 실들을 보이게 하는 여우가면 프레임. 프로필에서 장착하여 회사의 저력을 증명할 수 있습니다.카운터 패스 - 하야미 카나데5. 건틀렛 리그전 티어 보상5-1. 커리지 시즌   프레임: 커리지 다이아몬드    프레임: 커리지 마스터    프레임: 커리지 그랜드 마스터    프레임: 커리지 챌린저 5-2. 신시어 시즌(진행 중)  프레임: 신시어 다이아몬드  프레임: 신시어 마스터  프레임: 신시어 그랜드 마스터  프레임: 신시어 챌린저 6. 콜라보 이벤트프레임 : 아웃레이지 Mk. 2아웃레이지 Mk. 2를 본따 만든 프레임. 프로필에서 장착하여 회사의 저력을 증명할 수 있습니다.콜라보 : 길티기어 -STRIVE- ","[{'user': 'ㅇㅇ#87218383', 'comment': '챌린지 프레임 볼 수 있는 날이 올까 ㅋㅋ'}, {'user': 'DButton', 'comment': '리그전 대호황은 안온다'}, {'user': '네모네모', 'comment': '하트프레임좀 줘 ㅜㅜ'}, {'user': 'Nanoha', 'comment': '과거프레임은 못구하나보네'}]",https://arca.live/b/counterside/39634904,2021-12-03 23:14:25,146,3,4
39614790,무야홍어,내 대가리가 깨진이유,본인 루시드 패스 사놓고 막날 몰아받으려가가 잠들었음그래도 안접엇다,"[{'user': '대적자리이헤븐즈사인민혁', 'comment': '(emoticon)'}, {'user': '난정말몰라요#90018563', 'comment': '(emoticon)'}, {'user': '김빠진스프라이트', 'comment': '(emoticon)'}, {'user': '푸별', 'comment': '(emoticon)'}, {'user': 'ㅇㅇ#63088349', 'comment': '와.....'}, {'user': '류드남친', 'comment': '(emoticon)'}, {'user': 'Nanoha', 'comment': '(emoticon)'}, {'user': 'bakaro', 'comment': '대박...'}, {'user': '치나츠', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/39614790,2021-12-03 18:55:47,87,3,9
39603489,Vergil,결혼은 가은이랑,바람은 유미나 힐데 서윤 유진 샤오린 김소빈 오르카 클로디아 에이미 아키 린시엔 실비아 주시영 카린 에스테로사 피오네 리브 유나 잉그리드 에블린  엘리자베스 신지아 김초원 이진 니나 캐시 아이리 이수연 구관검 알렉스 류드밀라 최이나 미야 루미 보미 제인도우 강소영 이유미 치후유 치나츠 사나에 카나데 로자리아 에델 리벳 레지나 이지수 옌싱 이디스 미카스타 베로니카 리코리스 릴리 이유리 하랍 세라펠 시그마 루시드 퀸 나이트 비숍 리타 대시 호라이즌 스피라 미니스트라 나이엘 밀리아 램리썰 기계수집가 루크레시아 레이첼 김하나랑,"[{'user': '당끼사장님', 'comment': '마지막엔 에델 간식'}, {'user': 'ㅇㅇ#79729761', 'comment': '(emoticon)'}, {'user': '블루아카이브', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/39603489,2021-12-03 15:51:08,228,1,3
39597648,현붕이,사실 카사 세계관도,"좆간이 존나 많음윌버 없었으면 미니 스피라 없고 제프티도 안만들어져서 루시드 아인 츠바이가 행복하게 살수도 있었음사요 없었음 꾀꼬리 아버지, 하야미 엄마도 죽을 일 없었음엠버 소장한테 압력 넣는 년들 없었음 건틀렛을 파괴하는 깡통 같은건 존재하지도 않았음리타 마피아 조직 배신자 없었으면 리타 아부지 죽지도 않음그리고 마지막으로 힐데 없었으면 이 세계의 대적자인 나유빈이 성장하지 않아서 이 세계 진작 멸망함 그저 여신님!","[{'user': '밀리에밀리', 'comment': '디스토피아 특)우리편이 제일 무서움'}, {'user': '폭풍의왕', 'comment': '근대 월버 없으면 아인만 있을텐데'}, {'user': '현붕이', 'comment': '코로네'}, {'user': '나비보벳따우', 'comment': '(emoticon)'}, {'user': 'djdojo', 'comment': '엠버 소장한테 압력 넣는 년들 없었음 건틀렛을 파괴하는 깡통 같은건 존재하지도 않았음\n= 어차피 타이탄 만든 사람은 더더욱 괴랄한걸 만들어서 괴롭히고도 남았을 것'}, {'user': 'DOGE76', 'comment': '마피아?'}, {'user': '로하림', 'comment': '리타애비 배신한애 없었으면 댕시는 자기 애미애비한테 학대당하다 뒤졌을텐데'}]",https://arca.live/b/counterside/39597648,2021-12-03 14:10:38,194,0,7
39596265,Rozwel,머임 루시드 다시보기 어디감,삭제됨?,,https://arca.live/b/counterside/39596265,2021-12-03 13:46:46,67,0,0
39531337,꿀때지,"루시드 뮤탈, 저글링 <~~~~ 생각보다 존나셈 ",딜그래프 보면 깜짝깜짝 놀람문젠 루시드가 5코라서 뽑을 엄두가 안나는거뿐반대로 생각하면 오토로 3코짜리 뮤탈 저글링 뽑아서 총 11코짜리를 낸다고 생각하면 될지도?아마 스비도 그런식으로 뮤탈 저글링 가치를 높게 잡아서루시드를 5코로 책정한게 아닌가싶은,"[{'user': '여린', 'comment': '소환수 스펙이 ㄱㅊ나보네'}, {'user': '시그마져아', 'comment': '업때 공익하고 나와서 박정자 트리거로 다들 쓰더라...'}, {'user': '110등', 'comment': '업루시드 생각해보면 국밥캐이긴한데 코스트가 문제지'}, {'user': '각유빈먹으면닉바꿈', 'comment': '스나이퍼 특유의 느려터짐'}]",https://arca.live/b/counterside/39531337,2021-12-02 15:07:26,110,0,4
