index,user,title,content,comment,link,date,view,rate,comment_count
33005672,SS급경장딜포이,근데 세리나가 제채용권착정해감,드라코 씹사기로나오면 난모름,"[{'user': 'diqkf운터', 'comment': '채용권 내면 대주는 세리나 좀 꼴리네요'}, {'user': 'SS급경장딜포이', 'comment': '300개부었는데 한번대주던데요'}]",https://arca.live/b/counterside/33005672,2021-08-30 16:57:36,47,0,2
33005622,Irosis,오늘 모네애미 오퍼나오냐????,안돼 나 오늘새벽에 태포로 세리나 정가쳤단말이야,"[{'user': 'ㅈㅇㅈㅎ#19865107', 'comment': '세리나 얼마전에 나와서 아닐듯'}]",https://arca.live/b/counterside/33005622,2021-08-30 16:56:38,44,0,1
33003240,므우루,안녕..하세요..세리나 씨 심부름으로 왔..는데..,각성 주시윤 씨는..다음 패스 보상...이라고  하시네요..그럼..안녕히..,"[{'user': '싱클레어', 'comment': 'ㅋㅋ 석봉게이야..'}, {'user': '둔까쓰킹', 'comment': '(emoticon)'}, {'user': '슽헤잌흐#83177257', 'comment': '오 얘 오랜만에 보네'}, {'user': 'knsM_', 'comment': '어어 이새끼 어케살았노'}, {'user': '비질란테', 'comment': '내 기채 씨발'}, {'user': '꿀때지', 'comment': '석봉아....'}, {'user': 'Fiction', 'comment': '와 존나 오랜만에 보네ㅋㅋㅋㅋㅋㅋㅋ'}, {'user': 'ㅇㅇ#87218383', 'comment': '(emoticon)'}, {'user': '금은동태', 'comment': '(emoticon)'}, {'user': '눈꽃1', 'comment': '(emoticon)'}, {'user': '보리스#63017734', 'comment': '석봉게이 살아있었노'}, {'user': '침식체는쥬긴다#29425225', 'comment': '누군데 시발'}, {'user': '시그마꼴리더라#96486884', 'comment': '금태겜 클로저스 npc'}, {'user': '침식체는쥬긴다#29425225', 'comment': '(emoticon)'}, {'user': '졸린곰', 'comment': '임마 살아있었네'}, {'user': '하랍픽업좀', 'comment': '편붕이어서오고'}, {'user': '라최지', 'comment': '블리치 6번대인가 그 존나 얼타는쉑 걘줄알았는데 금태겜출신이었노'}, {'user': '새벽비', 'comment': 'd'}, {'user': '새벽비', 'comment': '와 석봉아'}, {'user': '라이트유저', 'comment': '석봉이 어서오고'}, {'user': 'ㅇㅇ, 203.255', 'comment': '좀 꼴리네'}, {'user': 'ㅌㅈ', 'comment': 'ㅈㄴ 올만에보네ㅋㅋㅋㅋㅋ'}, {'user': '콸#63912321', 'comment': '석봉게이 올만에 보네ㅋㅋㅋㅋㅋ'}, {'user': '레아코코', 'comment': '왜 여기까지 왔노 석봉아...'}, {'user': '우리유나귀엽죠', 'comment': '누구세요..'}]",https://arca.live/b/counterside/33003240,2021-08-30 16:17:30,891,35,25
33000765,Misheyia,테포로 세리나뽑으면되나?,이수연시그마레나있음ㅇㅇ,"[{'user': '피해제한탱커좀', 'comment': '세리나 만족할만한 성능'}]",https://arca.live/b/counterside/33000765,2021-08-30 15:36:00,25,0,1
32984824,노드왕,카사 세리나 풀돌찍기 vs 라이덴눈나 풀돌찍기,둘중 하나만 가능한데 어쩌지,"[{'user': '베버', 'comment': '다음달 땡겨써\n코코미 성능도 안좋다는데'}, {'user': '라이트닝카운터', 'comment': 'ㄹㅇ?'}, {'user': '베버', 'comment': '유출로는 물치치라더만'}, {'user': '열상', 'comment': '물치치면 병신 아니노...'}, {'user': '라이트닝카운터', 'comment': '내가본유출로는 체퍼누렁이하고 dps준수한 감전딜러엿는데 머지'}, {'user': '노드왕', 'comment': '그럼 찌찌참마도에 돈써야겠다 걍 굳'}, {'user': '하랍픽업좀', 'comment': '세리나 각시윤이 카운터 친다던데'}, {'user': 'xile#17342824', 'comment': '그냥 테포로 찍으면 되지'}, {'user': 'FumikaP', 'comment': '라이덴 ㄱ'}, {'user': '전기톱추적자', 'comment': '닥후지 어딜 비비노 ㅋㅋㅋ'}, {'user': '엘빅이', 'comment': '곧 감우 복각인데 성능구린 쪽빠리년에 쓸 돈이 잇노?'}, {'user': '노드왕', 'comment': '감우 4돌이라 안뽑음'}, {'user': '엘빅이', 'comment': '(emoticon)'}, {'user': 'ㅇㅇ#55901284', 'comment': '라이덴 발도술에는 감동이 있다'}]",https://arca.live/b/counterside/32984824,2021-08-30 10:55:08,109,0,14
32984148,"ㅇㅇ, 58.236",이제 러쉬 아닌 힘싸움버전 공익도 시그마 인가,세리나보다아르티 리더로 했을때 공익이 7번8번 잡혔을때 리스크가 커진게 더 짜증남오늘 5연속 8번공익 겪으니 멘탈 나가더라,,https://arca.live/b/counterside/32984148,2021-08-30 10:40:18,24,0,0
32983069,잉딩,킹덱 안쓰니까 점수 오르네 ㅋㅋ,세리나 이 씨발련아!!!!!!!,"[{'user': '하랍픽업좀', 'comment': '서비스나갑니다~'}, {'user': '하랍픽업좀', 'comment': '서비스나갑니다~'}, {'user': '잉딩', 'comment': '(emoticon)'}, {'user': '레드라이더', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/32983069,2021-08-30 10:13:14,51,0,4
32982990,Ludovicus,세리나만 켜지면 제 킹이 고장나는데,좀 고쳐주세요,"[{'user': '메론빵#23632297', 'comment': '(emoticon)'}, {'user': 'zkamcc', 'comment': '그게 정상성능입니다'}, {'user': '하랍픽업좀', 'comment': '(emoticon)'}, {'user': 'Ozymandias', 'comment': '대놓고 저격으로 나왔으니 맞으면서 욕이나 하자'}, {'user': '잉딩', 'comment': '아 ㅋㅋ'}]",https://arca.live/b/counterside/32982990,2021-08-30 10:11:31,58,0,5
32982954,묘갤러,광피감 세리나ㅋㅋㅋㅋㅋㅋ,,"[{'user': '메론빵#23632297', 'comment': '(emoticon)'}, {'user': 'LastChance', 'comment': '(emoticon)'}, {'user': '레드라이더', 'comment': '(emoticon)'}, {'user': 'ㅇㅇ#87218383', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/32982954,2021-08-30 10:10:36,94,5,4
32982761,문총통,세리나광피감비틱 아니면 타격없음 ㅅㄱ,이미 템비틱따위에는 내성생김 ㅅㄱ,"[{'user': '불타는백두산', 'comment': 'ㄱㄷ'}, {'user': '잉딩', 'comment': 'ㄱㄷ'}, {'user': 'ㅎㅈ', 'comment': 'ㄱㄷ'}, {'user': '불면증환자', 'comment': '뽑아옴 ㄱㄷ'}, {'user': 'Ozymandias', 'comment': '진짜?'}, {'user': '카린웡', 'comment': '(emoticon)'}, {'user': '하랍픽업좀', 'comment': 'ㄱㄷ'}, {'user': 'Q3#30023774', 'comment': 'ㄱㄷ'}, {'user': 'ㅇㅇ#87218383', 'comment': 'ㄱㄷ'}, {'user': 'ㅇㅇ#68922826', 'comment': 'ㄱㄷ'}]",https://arca.live/b/counterside/32982761,2021-08-30 10:04:28,120,0,10
