index,user,title,content,comment,link,date,view,rate,comment_count
33167668,4nk,시그마오퍼 실드도 세리나한테 벗겨짐?,안벗겨지면 또 이상한거같은데벗겨짐?ㅇㅇㅇㅇㅇ,"[{'user': '극한의가능충', 'comment': '안벗겨짐 관남충 딸인데 으딜 편순이 따위가'}, {'user': '4nk', 'comment': '(emoticon)'}, {'user': '소나기나기', 'comment': '안벗겨짐'}, {'user': '소나기나기', 'comment': '해제불가 베리어'}, {'user': '4nk', 'comment': '(emoticon)'}, {'user': '하랍픽업좀', 'comment': 'ㄴㄴ그거 절대해제불가배리어임'}, {'user': '하랍픽업좀', 'comment': '각힐배리어랑 딱 두개 못벗길걸 세리아가'}, {'user': '4nk', 'comment': '(emoticon)'}, {'user': '더듬어민주당', 'comment': '각힐 시그마는 해제불가라 못 벗김\n뜬금 떡상함'}, {'user': '4nk', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/33167668,2021-09-01 22:23:56,58,0,10
33164796,오뎅식당부대찌개,빙글빙글빙글빙글,모네인줄아셨습니까?아쉽게도  빙글빙글 도는건 시그마였습니다,"[{'user': '극한의가능충', 'comment': '깡통새끼 또 나대노'}, {'user': '소나기나기', 'comment': '(emoticon)'}, {'user': 'ㅇㄷㄴ#69699297', 'comment': '(emoticon)'}, {'user': 'ㅇㅇ#88582690', 'comment': '(emoticon)'}, {'user': 'ㅇㅇ#43504868', 'comment': '(emoticon)'}, {'user': 'Ninomiya', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/33164796,2021-09-01 21:46:07,52,0,6
33161677,ㅇㅇ#43504868,100일뒤에 섹스당하는 시그마,아빠 그런거 봐?,,https://arca.live/b/counterside/33161677,2021-09-01 21:04:21,65,1,0
33160042,Zinma,얼! 드립 무슨뜻인가오??,이벤트에 시그마가 얼! 그러던데 뭔말이지?? 오타인가? 그랬더니 댓글에 얼! 이러는 얘들도 있네 이거 무슨드립이에오?,"[{'user': '소나기나기', 'comment': '해적들 말버릇? 그런거같은데'}, {'user': 'ㅇㅇ#34925052', 'comment': 'errr'}, {'user': '에트리안#99131387', 'comment': '외국에서 해적표현할때 얼 막 그러고 그러던데'}, {'user': 'diqkf운터', 'comment': '해적들이 발음을 길게 꼬는걸 패러디한거임'}, {'user': '반갑노', 'comment': '이얼싼'}, {'user': '시그마꼴리더라#96486884', 'comment': '스폰지밥에서도 뚱이가 그러자너'}, {'user': 'Handaress#77832622', 'comment': '옛날 클리셰 해적만화 보면 해적들이 얼 거리는거 패러디한거일걸'}, {'user': '메에', 'comment': 'https://youtu.be/VfES6YWDhOw\n난이거보고배움'}, {'user': '백합덕후#78782383', 'comment': '롤의 갱플랭크 혀어어어업상!\n이 저거임'}]",https://arca.live/b/counterside/33160042,2021-09-01 20:44:58,85,0,9
33159681,마우,시그마 오퍼는 부옵 뭐야해?,ㅈㄱㄴ,"[{'user': '엘빅이', 'comment': '광피감'}, {'user': 'ㅇㄷㄴ#69699297', 'comment': '광피감이 젤 좋고 근피감도 좋은편'}]",https://arca.live/b/counterside/33159681,2021-09-01 20:40:24,48,0,2
33158316,김케디,미리보는 시그마 피규어 6일차,물론 더 칠할 예정,"[{'user': 'xile#17342824', 'comment': '(emoticon)'}, {'user': '님얼굴비매너', 'comment': '(emoticon)'}, {'user': 'ㅇㅇ#43504868', 'comment': '(emoticon)'}, {'user': '천공분열', 'comment': '(emoticon)'}, {'user': '아이사타#51014657', 'comment': '왤케왤케임?'}, {'user': '프레이마이어', 'comment': '(emoticon)'}, {'user': 'TAGname', 'comment': '바예호추'}]",https://arca.live/b/counterside/33158316,2021-09-01 20:22:04,85,5,7
33155344,스트로베리샤베트,소드에 시그마랑 베로니카가 빠졌다,이제 저 둘 없이 모더레이터 뚝배기를 깨야 한다가능한가...?,,https://arca.live/b/counterside/33155344,2021-09-01 19:42:44,33,0,0
33155237,극한의가능충,현재 오퍼 세리나 광피감이 제일 좋은가,그담 박정자 광피감시그마 광피감인가,"[{'user': 'ㅇㅇ#75577912', 'comment': '박정자는 세리나가 죽였어...'}, {'user': '극한의가능충', 'comment': '교수 보다 강한 임시 편순이'}, {'user': '종말#38406147', 'comment': '세리나, 시그마 투툴이지'}]",https://arca.live/b/counterside/33155237,2021-09-01 19:41:23,57,0,3
33153522,냥냐오,숙제 검사좀 해주실분구합니다,현재 한것은메인 5스테이지 까지 밀기저번 이벤트 상점 모두 털고 현재 이벤트  반복해서 상점 털고 있습니다ssr 선택권은 오늘 받아서 엔터 프라이즈 받는게 좋다 해서 받앗고 재료가 부족해서 저상태입니다블루브릿지 재료는 모으고 있는데 반정도 모여있습니다오퍼레이터는 선택권으로 시그마 세리나 올리비에 이렇게 받으라 해서 3개 선택하였고장비는 미니스트라 대적자 세트아이리 노셋옵 단테나유빈 공속 단테이렇게 껴져있고 나머지는 없습니다ssr 단테 선택권이 한세트 있습니다 제가 앞으로 어떡하면 좋을까요 현재 공지에 있는 대부분의 글을 읽어서 컨텐츠 이름이나 장비이름을 이야기 해주시면 알아보도록하겠습니다.개인적으론 함선이 가장급해보여 함선재료를 모으고싶으나 다이브가 40층대로 오니 너무 어렵습니다,"[{'user': '꿀때지', 'comment': '함선은 ssr 블루브릿지 만드시고 글레입니르는 육성하지마세요'}, {'user': '냥냐오', 'comment': '엔터 프라이즈 레벨업과 블루브릿지 제작중 뭐가 먼저일까요'}, {'user': '꿀때지', 'comment': '함선 레벨업 = 출격코스트 증가 라는 핵심적인 성능업이기때문에 ssr함선은 100렙까지 무조건 올린다고 보시면돼요'}, {'user': '우치하루피', 'comment': '엔터 렙업부터 ㄲ'}, {'user': '꿀때지', 'comment': '또 블루브릿지와 엔터프라이즈는 강습함과 중갑함이라서 함종재료가 다르고 겹치는 재료중 부족한건 고급함선소재(파란색 톱니바퀴) 인데 이건 다이브 상점에서 허수코어로 구매하시면 됩니다'}, {'user': '냥냐오', 'comment': '감사합니다!'}, {'user': '냥냐오', 'comment': '그럼 현재로선 이벤트맵 모으면서 다이브 뚫는게 정답이겠군요'}, {'user': '꿀때지', 'comment': '이터니움은 이벤트 교환상점 터는걸 중점적으로 하면서 플레이하시고 장비는 전략전, 랭킹전 (져도 상관없음) 건틀렛 포인트 모으셔서 장비 교환과 상점 교환하시면서 모으시고 그다음 그림자전당을 목표로 차근차근 나아가세요!'}, {'user': '람네', 'comment': '챌린지 깨서 도전자 세트랑 메이즈 세트 모으는거 목표로 하면 됨'}, {'user': 'diqkf운터', 'comment': '아니 엔터 받으라 한 놈 누구야'}, {'user': '냥냐오', 'comment': '엔터랑 블루브릿지가 무조건 있어야한다해서 엔터를 받았는데 그렇게하면안되는거엿나보군요....'}, {'user': 'diqkf운터', 'comment': '엔터프라이즈가 정말 좋지만, 나중에 중급 경영학에서 엔터 제작 재료를 퍼줘서 선택권은 뉴오하나 뉴디트 받는게 나음'}, {'user': '냥냐오', 'comment': '이런....아쉽게되었네요 그럼 1.5주년 함선 확정건조 패키지는 별로인가요?'}, {'user': '꿀때지', 'comment': '2021-07-17\n\n■ 기초 핵심 팁------- https://arca.live/b/counterside/24550341\n\n■ 자주하는 질문10 ---  https://arca.live/b/counterside/20306886\n\n■ 추천 캐릭 (뉴비용) -- https://arca.live/b/counterside/25378349\n\n■ 뉴비인데 이터 어따써요 -  https://arca.live/b/counterside/24557366\n\n■ 과금 ------------ https://arca.live/b/counterside/24552340\n\n■ 상점 ------------ https://arca.live/b/counterside/24553126\n\n■ 사원 ( R / N )  ----- https://arca.live/b/counterside/26046982\n\n■ 편성 (기초, 중급) --- https://arca.live/b/counterside/26505993\n\n■ 함선 ------------ https://arca.live/b/counterside/30167598\n\n■ 지부 ------------ https://arca.live/b/counterside/25431069\n\n■ 장비 ------------ https://arca.live/b/counterside/25632803\n\n■ 장비 ( 종결 ) ------  https://arca.live/b/counterside/26091140\n\n■ 컨소시엄 협력전 ---- https://arca.live/b/counterside/24617789'}, {'user': '꿀때지', 'comment': '종결장비 예시는 해당 링크중에 있고 장비파밍은 장비 글에 포함되어있어요 그림자전당은 공지에 공략모음에 가시면 팔레스 별로 있는데 노템공략도 있고 각성캐 쓰는공략 쓰시면 더 쉽게 하실수잇을거에요!'}, {'user': '꿀때지', 'comment': '캐릭풀이 상당히 좋기때문에 스킬작에 건틀렛장비 좀 껴주면 금방 전당1 정돈 돌파간으할거같아요!'}, {'user': '냥냐오', 'comment': '감사합니다 ㅠㅠ'}]",https://arca.live/b/counterside/33153522,2021-09-01 19:18:23,85,1,17
33152774,결왕,시그마 수영복 스킨은 진짜 역대급인듯,꼴린다거나 그런게 아니라터치 모션이나걍 앉아있는게 진짜 딸래미같아,"[{'user': '갤쁘리', 'comment': '(emoticon)'}, {'user': '결왕', 'comment': '(emoticon)'}, {'user': '엘빅이', 'comment': '꼴림'}, {'user': '엿이나처무라#99513101', 'comment': '왜 꼴리는걸 숨기노\n역시 페도'}, {'user': 'TLCrow', 'comment': '개꼴리는데'}, {'user': '마에스트로', 'comment': '손하트 너뮤귀여워 웃는거랑'}, {'user': '결왕', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/33152774,2021-09-01 19:09:08,71,1,7
