index,user,title,content,comment,link,date,view,rate,comment_count
34190146,,(권한 없음),,,,,0,0,0
34167002,밥은먹고다니냐,주시윤브금 공식 기다리다가 그냥 언팩버전 듣는데,진짜 개지리네무한반복 돌린다,"[{'user': '독호메', 'comment': '그거 언팩버전은 아니고 로그인화면에서 흘러나오는거 녹음한거임'}]",https://arca.live/b/counterside/34167002,2021-09-16 21:01:33,49,1,1
34149984,베버,근데 사건사고 이상한것도 많아서 걸러봐야함,전당 3은 유저끼리 뇌피셜 싸움난거고 스비는 아무것도 안했음수시채용 카운트 삭제도 결과적으론 크게 달라진거 없고 저기항목엔 아직도 3중채용 이야기 적혀있더라언팩도 공식에선 하지말라고 할수밖에 없지유저친화적이라는 라오도 대놓고 올리진 못하는데원신은 회사가 챈 대문도 신고해서 내렸음그밖에도 뭐 설레발 치던게 많은데 아씨발 법인카드 보니깐 또 화나네 씹새끼들 진짜,"[{'user': '독호메', 'comment': '인게임 스트립트 변경 사건도 메갈로 번지는 단계부턴 억까였고'}, {'user': 'temprun', 'comment': '4월 저거는 0413이랑 건 서버 외에는 논란이랄게 없네'}]",https://arca.live/b/counterside/34149984,2021-09-16 17:20:45,58,2,2
34148224,"ㅇㅇ, 14.63",언팩) 마왕복장 일러,헉 유동은 이미지 첨부가 안되잖아??,"[{'user': 'ㅇㅇ#53055306', 'comment': '(emoticon)'}, {'user': '클러스트', 'comment': '(emoticon)'}, {'user': '힝힝', 'comment': '(emoticon)'}, {'user': 'flaw', 'comment': '이새끼썰어'}, {'user': '고다리나리리#12653489', 'comment': '(emoticon)'}, {'user': 'ㅇㄴㅇㄱㅁㅇ', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/34148224,2021-09-16 16:56:19,297,-22,6
34144247,MBT,루크레시아 보스전 브금 올렸음,원곡4분 연장곡브금 연장하는거 처음 해봤는데연장한 브금은 듣기 먼가 이상하면 말해주셈 이상하게 들리면 다시 손봄하나는 썸네일 저렇게 해놨는데 나머지 하나는 설정이 안되네내일 해야게씀언팩해서 브금 올려준 게이 고맙다 ,"[{'user': '잉딩', 'comment': '요게 그 전멸기 쓸때 나오던 노래였나'}, {'user': 'MBT', 'comment': 'ㅇㅇ 길이가 너무 짧아서 연장 해봤음'}, {'user': '잉딩', 'comment': '(emoticon)'}, {'user': '님얼굴비매너', 'comment': '(emoticon)'}, {'user': 'ㅇㅇ#87218383', 'comment': '(emoticon)'}, {'user': '나이트바라기#72477025', 'comment': '(emoticon)'}, {'user': '세포', 'comment': '(emoticon)'}, {'user': '망가에용', 'comment': '뭔가 그림자전당 느낌도 난다'}]",https://arca.live/b/counterside/34144247,2021-09-16 15:55:54,1071,25,8
34141079,설빙할아버지지팡이도둑페페,언팩올리면 고소당함?,,"[{'user': '쥬브나일#15601290', 'comment': '언팩 하는법 알려주고가'}, {'user': '암왕제군', 'comment': '챈에서 언팩하는 게이들은 상도 잘 지켜서 내던데'}, {'user': 'ㅇㅇ#87218383', 'comment': '요즘 넥슨이 별말 없던데'}, {'user': 'ㅇㅇ#10098248', 'comment': '알려주고가 브금 고화질로 듣고싶어'}, {'user': '도어누커', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/34141079,2021-09-16 15:02:52,118,0,5
34137733,finpk#81505387,샤오린 이거 합성임?,아니면 언팩했는데 이런거임?,"[{'user': 'flaw', 'comment': '언팩일걸'}, {'user': 'finpk#81505387', 'comment': '샤오린 완전 빗치년이였네'}, {'user': '프레하', 'comment': '언팩'}, {'user': 'ㅇㅇ#87218383', 'comment': '언팩해서 치마 지운 거 같은데'}]",https://arca.live/b/counterside/34137733,2021-09-16 14:07:42,114,0,4
34137346,flaw,니네 이거봄?,https://arca.live/b/counterside/33991471누가 클로디아 언팩으로 벗겨놨더라,,https://arca.live/b/counterside/34137346,2021-09-16 14:01:57,38,0,0
34093348,ㅇㅇ#94801077,언팩재탕-미리보는 다음 건틀렛 시즌들,1. 로얄출격비용 회복 속도 20% 상승무기장비 1옵: 카운터/솔저/메카닉 피해 증가2.디보션모든 유닛 체력 30% 감소방어구장비 1옵: 카운터/솔저/메카닉 피해 감소3. 신시어모든 유닛 받는 광역 피해 30% 감소회피 보조 장비장비 1옵: 카운터/솔저/메카닉 피해 감소,"[{'user': '극한의가능충', 'comment': '실제로 나올까'}, {'user': '쥬브나일#15601290', 'comment': '(emoticon)'}, {'user': '00000#82591124', 'comment': '0떄면 될듯'}]",https://arca.live/b/counterside/34093348,2021-09-15 20:24:17,88,3,3
34085387,"ㅇㅇ, 14.35",신규브금들 언팩 구글드라이브좀 ,제발요,"[{'user': '힝힝', 'comment': 'https://arca.live/b/counterside/34085387'}, {'user': 'ㅇㅇ#78441027', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/34085387,2021-09-15 18:31:35,91,0,2
34062445,IRR,이거는 뭐 언팩해서 가져간거냐?,얼탱이가 없네ㅋㅋ,"[{'user': '도계자#18450510', 'comment': '그 나라 혐오수치 MAX'}, {'user': '응애나추룡아가', 'comment': '이나눈나가 서있네'}, {'user': '나이트바라기#72477025', 'comment': '유료 재화만 없으면 스비도 가만있을꺼가튼데'}]",https://arca.live/b/counterside/34062445,2021-09-15 12:12:58,118,0,3
34054529,아이사타#51014657,세라펠 안대벗긴거 언팩 있지않음?,답지않게 개 순하게 생겨서 뭔가 뭔가였는데,"[{'user': 'diqkf운터', 'comment': '그래서 더 꼴림'}, {'user': 'diqkf운터', 'comment': 'https://arca.live/b/counterside/26207354'}]",https://arca.live/b/counterside/34054529,2021-09-15 09:24:11,68,0,2
34032905,"ㅇㅇ, 211.250",제발 브금 언팩좀,너무 좋은데  들을수가없다,,https://arca.live/b/counterside/34032905,2021-09-14 22:30:05,14,0,0
34028292,독호메,복장 저거 이상한게,언팩에선 리소스 자체가 없다고 하는데표면적으론 오류로 안뜬다고 하고 일주일동안 덜 된거 마무리작업 하고 다음주에 업뎃하는거 아님?,,https://arca.live/b/counterside/34028292,2021-09-14 21:29:02,37,0,0
34016385,"ㅇㅇ, 211.178",브금 언팩 좀 해줘 보스전떄 나오는거 ,젭알 젭알 ,"[{'user': '안녕생선#45032948', 'comment': '유우튜버에 있어'}, {'user': 'ㅇㅇ, 211.178', 'comment': '하나 더 있는데 아직 안올라옴 ㅋㅋ'}, {'user': '안녕생선#45032948', 'comment': 'https://youtu.be/Gt1fSFCFBeo 이거 아닌??'}]",https://arca.live/b/counterside/34016385,2021-09-14 18:54:52,38,0,3
34010407,MBT,이번에 새로운 브금 여러개 나왔더라,루크레시아 궁쓰니까 브금도 변하던데 누가 브금 언팩 좀 해줘귀찮아,"[{'user': '세인트케인', 'comment': 'ㄹㅇ'}, {'user': '학점대폭발', 'comment': '(emoticon)'}, {'user': 'xile#17342824', 'comment': '브금좀 많은거같긴하던데'}, {'user': 'ㅇㅇ#87218383', 'comment': '브금 3개 들어왔을걸 주시윤 메인 테마 the way the decision 하고 보스 전투 음악 1개 + 어레인지 버전'}, {'user': 'MBT', 'comment': '언팩 파일 있으면 편한데 귀찮다\n근데 보스 전투 음악이 그건가 기사단장 처음 나올때 브금'}, {'user': 'ㅇㅇ#98061899', 'comment': '듣고시포'}]",https://arca.live/b/counterside/34010407,2021-09-14 17:26:05,112,1,6
34009874,ALYAC,뭔데 업데이트가 112mb나 차지함,용량 엄청나다...혹시 루크레시아 언팩살포시 넣어놨나 ㅎㅎ,,https://arca.live/b/counterside/34009874,2021-09-14 17:18:07,19,0,0
34008910,ㅇㅇㅇ#78472433,언팩 짤 이거 진짜 존나 섹스하네...,카우보이 비밥 그런 느낌 ㅋㅋㅋㅋ,"[{'user': '극한의가능충', 'comment': '게이게이게이게이게이게이게이게이게이야..........'}, {'user': 'ㅇㅇ#76942557', 'comment': '(emoticon)'}, {'user': '마에스트로', 'comment': '이게 이제야나오네 ㅋㅋㅋ엄청오래전에 본 컷신인데 캬'}, {'user': 'ㅇㅇㅇ#78472433', 'comment': '원시주도니의 투박한 터치 ㅋㅋㅋㅋ'}, {'user': '마에스트로', 'comment': 'ㅋㅋㅋ원도니 ㅋㅋㅋㅋㅋㅋㅋㅋ'}, {'user': 'ㅇㅇ#53674895', 'comment': '이거 Pv에서 나온 장면인데 드디어 쓰네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'}, {'user': '꼬리를문뱀#24619419', 'comment': '일말의 망설임도 없이 용인 쏴버리는 그란\n크으으으으'}, {'user': '카붕쿤', 'comment': '구려'}]",https://arca.live/b/counterside/34008910,2021-09-14 17:04:29,207,5,8
34005768,꿀때지,언팩 cg 보고 만들어본거... ,언팩) 메인스트림 7챕터 구원 컷신 모음 & NPC - 카운터사이드 채널 (arca.live) ,"[{'user': 'Ludovicus', 'comment': '(emoticon)'}, {'user': '보노본호', 'comment': '이거 그 로아 연출중에 주변 배경바뀌는 그거같은데'}, {'user': '꿀때지', 'comment': '그럼 방향 반대로하지 ㅋㅋ 로아 오른쪽에서 왼쪽으로 스으윽 가자너ㅋㅋㅋ'}, {'user': '샷건', 'comment': '그럼 방향 반대로하지 ㅋㅋ 로아 오른쪽에서 왼쪽으로 스으윽 가자너ㅋㅋㅋ'}, {'user': '꿀때지', 'comment': '(emoticon)'}, {'user': 'Nyx#34512140', 'comment': '(emoticon)'}, {'user': '네모네모', 'comment': '나중에 이런연출도 나오면 좋긴하겠다'}, {'user': 'ㅇㅇ#87218383', 'comment': '(emoticon)'}, {'user': 'Ozymandias', 'comment': '리얼리티 스톤 쓰는 능력자 ㅎㄷㄷ'}, {'user': '카붕가붕이#67881991', 'comment': '아브렐슈드 ㄷㄷ'}]",https://arca.live/b/counterside/34005768,2021-09-14 16:19:03,1785,39,10
34001231,ㅇㅇ#87218383,언팩) 메인스트림 7챕터 구원 컷신 모음 & NPC,처음 나온 에피 기준으로 적어두겠음언팩 데이터이기에 인게임 비율하고는 살짝 다를 수 있음Act1. 프롤로그 7-1Act2. 인터루드 7-5Act2. 2-4 틀어진 예정 Act3. 인터루드 7-6Act3. 인터루드 7-8Act3. 인터루드 7-9Act4. 4-2 다 풀지 못한 한Act4. 4-10 인터루드 7-10 Act4. 4-4 번뇌의 끝Act4. 에필로그 7-122. 신규 신 배경3. NPC- 클라레스 엘 아르카데나1. 기본2. 진지3. 실망4. 웃음5. 놀람6. 짜증7. 자신만만- 기사- 기사,"[{'user': '찹쌀콩찰떡', 'comment': '(emoticon)'}, {'user': '프랑쟝', 'comment': '지금 봣는데 시윤마망(진) 찌찌 개크네'}, {'user': 'ㅇㅇ#18037352', 'comment': '클라레스 스탠딩 보니 플레이어블 나오겠네'}, {'user': '지무유', 'comment': '마망통 봐 시발'}, {'user': 'JeremyJr', 'comment': '뭔 기사가 쯔꾸르 겜 같이 생겼네'}, {'user': '카붕쿤', 'comment': '헤으응 시윤쿤.. 족쇄'}, {'user': 'ㅇㅇ#21535962', 'comment': '레이 깜장옷 파일 있긴함?'}, {'user': 'ㅇㅇ#87218383', 'comment': '없음 아마 아직 다 리소스를 못 만든 거 같음'}]",https://arca.live/b/counterside/34001231,2021-09-14 15:00:28,1888,26,8
34000972,ㅇㅇ#30044977,언팩 하는거 어렵냐 ,ㅇㅇ?,"[{'user': 'OmO', 'comment': '꽁꽁 얼려야함'}, {'user': 'OmO', 'comment': '이쒸'}, {'user': 'ㅇㅇ#30044977', 'comment': '이쒸'}, {'user': 'OmO', 'comment': '나는 김씨~'}, {'user': 'OmO', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/34000972,2021-09-14 14:56:26,33,0,5
33993042,사무라이칼,언팩에 팬티가 왜 있나했더니,미쳐버린거냐고!,,https://arca.live/b/counterside/33993042,2021-09-14 12:36:42,100,2,0
33990379,Misheyia,옛날에 분위기 안좋을땐 언팩금지라고 공지도 띄우고그랬는데,이젠 아니구나 굳,"[{'user': 'diqkf운터', 'comment': '행복'}, {'user': '암왕제군', 'comment': '언팩하는 애들이 상도 지켜서 올리던데'}, {'user': 'ㅇㅇ#21535962', 'comment': '해외응디 땜에 그거 못 막아서 요즘은 그냥 클라이언트에 야예 안 올리는걸로 하나벼'}, {'user': 'xile#17342824', 'comment': '금지는 지금도 마찬가진데 이젠 그냥 미리 안올리는듯'}]",https://arca.live/b/counterside/33990379,2021-09-14 11:53:07,116,0,4
33990306,ㅇㅇ#95194341,와시비ㅡㄹ클로디아 스킨 퀄개좋노,언팩보니 라투디 개쩌네 ㅅㅂ,"[{'user': 'ㅇㅇ, 121.148', 'comment': '?? 얘가 넬슨이라고? 십자가든 걔 맞음?'}, {'user': 'rhyme', 'comment': 'ㅇㅇ'}, {'user': 'ㅇㅇ, 121.148', 'comment': '미쳤네 제목보고 알아봤다'}]",https://arca.live/b/counterside/33990306,2021-09-14 11:51:54,134,0,3
33990155,rhyme,에블린도 이번에 인겜 스킨 ㅆㅅㅌㅊ네,언팩보니깐,"[{'user': 'nareun', 'comment': '나도보여줘요'}, {'user': 'rhyme', 'comment': '인기글확인'}, {'user': '렘딘', 'comment': '검스 개꼴림'}]",https://arca.live/b/counterside/33990155,2021-09-14 11:48:49,84,0,3
33990111,ㅇㅇ#87218383,언팩&데이터) 상설 스킨 클로디아 넬슨 일러 & 컷인,1. 기본귀하의 브라우저는 html5 video를 지원하지 않습니다.2. 진지3. 실망4. 웃음5. 놀람6. 짜증7. 자신만만8. 터치귀하의 브라우저는 html5 video를 지원하지 않습니다.컷인뒤에 민들레 홀씨 같은 거 날라다니는데 흰바탕이라 안 보임귀하의 브라우저는 html5 video를 지원하지 않습니다.,"[{'user': 'moonu', 'comment': '(emoticon)'}, {'user': '신선한라임', 'comment': '이게 쿼츠 성녀..?'}, {'user': '네토라레마조빌런', 'comment': '개꼴림 근데 치마 펄럭이는거 묘하게 웃기다'}, {'user': 'ㅇㅇ#36099854', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/33990111,2021-09-14 11:47:50,2437,54,54
33989577,ㅇㅇ#94698401,아직 넬슨스킨 언팩이 안올라왔구나,이따 올라오면 치마 지운버전 올려봄,"[{'user': 'Substantial', 'comment': '(emoticon)'}, {'user': '힐데치#72033985', 'comment': '너무나 감사합니다'}, {'user': '힐데치#72033985', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/33989577,2021-09-14 11:36:21,128,0,3
33989500,"ㅇㅇ, 211.250",신규 브금은 언팩 없음??,녹화하면 음질 너무 떨어지던데 아깝다,"[{'user': 'NaNi#52381415', 'comment': 'https://www.youtube.com/watch?v=20S4sVQafx8'}, {'user': 'ㅇㅇ, 211.250', 'comment': '이게 영상으로 인코딩한거들은 음질 손실이 나서 눈물나더라..'}]",https://arca.live/b/counterside/33989500,2021-09-14 11:34:54,65,0,2
33989234,ㅇㅇ#87218383,언팩&데이터) 상설 스킨 에블린 켈러 일러 표정 모음 & 컷인,1. 기본귀하의 브라우저는 html5 video를 지원하지 않습니다.2. 진지3. 실망4. 웃음5. 놀람6. 짜증7. 자신만만8. 터치귀하의 브라우저는 html5 video를 지원하지 않습니다.귀하의 브라우저는 html5 video를 지원하지 않습니다.,"[{'user': 'ㅇㅇ#81071525', 'comment': '누나 눈나! 눈나!!'}, {'user': '고기먹고싶다', 'comment': '고급스킨이... 아니야...?'}, {'user': 'ㅇㅁㅇ#97291063', 'comment': '어제 패노에 희귀스킨이라 나왔었음'}, {'user': '사무라이칼', 'comment': '오,,,'}, {'user': '금은동태', 'comment': '헤으응'}, {'user': '00000#82591124', 'comment': '누님 ...'}, {'user': '숲토끼', 'comment': '(emoticon)'}, {'user': '촤드', 'comment': '와 씹  에블린 왤케 꼴려'}, {'user': '폴리네시아', 'comment': '시발 라투디 진국이네 ㅋㅋㅋ'}, {'user': '독호메', 'comment': '(emoticon)'}, {'user': '왕소라', 'comment': '에블린 옷이 드디어 나오네'}, {'user': '응애나추룡아가', 'comment': '안 사면 고자'}, {'user': '레이브', 'comment': '섹스 마렵네...'}, {'user': 'John13ull', 'comment': '류금태의 미시론'}, {'user': 'xile#17342824', 'comment': '라투디 이쁘게 뽑혔네'}, {'user': '로아노크', 'comment': '검스 시발 개꼴려'}, {'user': '반갑노', 'comment': '이쁘네'}, {'user': '유리인', 'comment': '홀리 쉬불'}, {'user': '렘딘', 'comment': '존나이쁘네'}, {'user': '늒네조무사', 'comment': '컷신도 바뀌는거면 상시인데 주화로 사는건가?'}, {'user': '돼지#79685408', 'comment': 'ㅇㅇ 히기스킨이였음'}, {'user': '판타지카', 'comment': '(emoticon)'}, {'user': '돼지#79685408', 'comment': '진짜 개이쁘다 ㄹㅇ'}, {'user': '카린웡', 'comment': '(emoticon)'}, {'user': 'temprun', 'comment': '(emoticon)'}, {'user': 'Such', 'comment': '진자 미칠거같다 바로산다 ㄷㄷ'}, {'user': 'ㅇㅇ, 218.234', 'comment': '실망 표정 대꼴이네'}, {'user': '불족아가', 'comment': '눈나... 헤으응'}, {'user': '대딸방', 'comment': '오'}, {'user': '보르챠', 'comment': '류드밀라 그린 사람인가 느낌 비슷하네'}, {'user': 'ddalddal', 'comment': '검스 츄르릅'}, {'user': 'ㅇㅇ#92947072', 'comment': '눈나!!눈나!!눈나!!눈나!!눈나!!눈나!!눈나!!눈나!!눈나!!눈나!!눈나!!눈나!!눈나!!눈나!!눈나!!눈나!!눈나!!눈나!!눈나!!눈나!!눈나!!'}, {'user': 'ㅇㅇ#32252808', 'comment': '에스프레소만 부었는데 컵 절반 차는거 불편하거든요..'}, {'user': '비질란테', 'comment': '허박지에 턱 비비고 싶다'}, {'user': 'copo#63984080', 'comment': '디졌다 ㄹㅇ..'}, {'user': '엘빅이', 'comment': '게이야 근데 구캐릭들도 이렇게 컷씬이라도 올려볼 생각 없냐 풀려있는 짤들은 화질이 너무 구려'}, {'user': '무적그랜저', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/33989234,2021-09-14 11:29:03,2098,48,37
33989128,ㅇㅇ#94698401,언팩) 클로디아 스킨의 치맛속에는....,빤쓰가있어요인게임에도있어요,"[{'user': '서묘', 'comment': '(emoticon)'}, {'user': 'ㅇㅇㅇ#83679857', 'comment': '팬티는 입어야지'}, {'user': 'ㅇㅇ#68347964', 'comment': '(emoticon)'}, {'user': '카린웡', 'comment': '(emoticon)'}, {'user': '스튜비급강하폭격기', 'comment': '(emoticon)'}, {'user': '폴리네시아', 'comment': '존나야하다 이게 쿼츠스킨?'}, {'user': '시니즈', 'comment': '오'}, {'user': '메사이어', 'comment': '빤스에 진심인놈들'}, {'user': '레이브', 'comment': '바로 팬티 내리고'}, {'user': 'ydk#17706997', 'comment': '(emoticon)'}, {'user': '위풍당당달덩이', 'comment': '빤스에 혼모노인 놈들'}, {'user': '바닷방울', 'comment': '팬티에 진심인 게임 ㄷㄷ'}, {'user': '사무라이칼', 'comment': '머임 진자임?'}, {'user': '사무라이칼', 'comment': '리본달린 흰팬티 십존나야하네'}, {'user': '마싯는감자칩', 'comment': '(emoticon)'}, {'user': '레드라이더', 'comment': '(emoticon)'}, {'user': 'ㅐㄴ', 'comment': '아 이걸 입었네'}, {'user': 'ㅇㅇ#94356841', 'comment': '(emoticon)'}, {'user': '숲토끼', 'comment': '(emoticon)'}, {'user': '마술붓', 'comment': '크르르...씨발련...'}, {'user': '힐데치#72033985', 'comment': '첫짤 풀샷 제발 플리즈'}, {'user': 'ㅇㅇ#94698401', 'comment': '(emoticon)'}, {'user': '힐데치#72033985', 'comment': '(emoticon)'}, {'user': '님얼굴비매너', 'comment': '말도안돼...노팬인거 내가 봤는데!'}, {'user': 'Edge#74084078', 'comment': '이게.. 수녀?'}, {'user': 'diqkf운터', 'comment': '(emoticon)'}, {'user': 'ㅇㅇ#51908701', 'comment': '저 팬티하단에 가로재봉선이 ㄹㅇ 미치게만드네 ㅅㅂ'}, {'user': 'Bizarre', 'comment': '(emoticon)'}, {'user': '하랍픽업좀', 'comment': '고맙습니다!!!!!!!!!'}, {'user': '콸#63912321', 'comment': '(emoticon)'}, {'user': 'TLCrow', 'comment': '섻'}, {'user': 'moonu', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/33989128,2021-09-14 11:26:42,2290,60,32
