index,user,title,content,comment,link,date,view,rate,comment_count
40348863,더워죽겠어,또 천장이야,이씨발 오로치인지 뭔지 씨발뱀년 가슴찢어버리고싶네씨발년이,,https://arca.live/b/counterside/40348863,2021-12-14 19:03:31,16,0,0
40348829,2Side,오로치 보고 겜 깔았음,이쁘다,"[{'user': 'ㅇㅇdb', 'comment': '짤머임 ㄷㄷ'}, {'user': 'ㅇㅇ#81020245', 'comment': '(emoticon)'}, {'user': '킹헤일로', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/40348829,2021-12-14 19:03:09,34,2,3
40347802,dwsss,오로치 시발련,게시발련,,https://arca.live/b/counterside/40347802,2021-12-14 18:51:32,27,0,0
40347647,탄산수#58646015,오로치 딜량 4코렌져하고 비교하면 어떠냐,소빈이 로자 팬드에비교하면 딜량 어떠냐,"[{'user': 'ngcn', 'comment': '로자에겐 못비빔'}, {'user': 'ㅇㅇ, 219.240', 'comment': '궁쓰면 강하다는데 궁쓰기 까지 문제라 결국은 구리다는거같음'}]",https://arca.live/b/counterside/40347647,2021-12-14 18:49:52,65,0,2
40347547,후라이드#37476013,오로치 뽑을만함? 어떰?,PVE 성능충임,"[{'user': '세상이나쁜거야#84755905', 'comment': '(emoticon)'}, {'user': 'ㅇㅇ#52339695', 'comment': '맘마통 참노 ㅋㅋ'}, {'user': '나그거없는데', 'comment': '딜은 나쁘진 않은데 아직 몰?르겠음. 협전 닫혀서 다음시즌 열릴때 딜 봐야할거같은데'}]",https://arca.live/b/counterside/40347547,2021-12-14 18:48:53,91,0,3
40347462,으으,소빈 vs 오로치는 오로치가 더 쌤?,건은 물건너 갔다고 하니 유틸 집어 치우고 순수 딜량으로만,"[{'user': 'ngcn', 'comment': '메카상대로는 소빈이 딜량 못따라올듯'}, {'user': 'Poca', 'comment': '소빈이가 더 쌔지않을까'}]",https://arca.live/b/counterside/40347462,2021-12-14 18:47:51,76,0,2
40347189,힝힝,오로치 기대 많이했는데 좀 스레기같음;;,좀 사기로좀 내주지,"[{'user': '카늒네', 'comment': '이쁜 스래기'}]",https://arca.live/b/counterside/40347189,2021-12-14 18:44:42,56,0,1
40347182,탄산수#58646015,오로치가 에델하고 붙으면 이길수있을까,그래도 같은마왕인데 비?빌수는 있지않을?까,"[{'user': 'ngcn', 'comment': '그런데 마왕 맞음?'}]",https://arca.live/b/counterside/40347182,2021-12-14 18:44:36,37,0,1
40347090,불량바다#86446617,개꼴리는 오로치 마망 해야됨 레지나 해야됨?,뭐 뽑아?,"[{'user': '밀리에밀리', 'comment': '쫌만기달려보셈 레지나 챌린지 파츠긴 한데 공략이 또 나올 수도 있으니깐'}, {'user': '밀리에밀리', 'comment': '애가 이쁘긴 한데 그거 말고 취직처가 없는 걸로 알고 있음'}, {'user': '불량바다#86446617', 'comment': '오로치라고? ㅇㅋ ㄱㅅ'}, {'user': '밀리에밀리', 'comment': '(emoticon)'}, {'user': 'ㅇㅇ#81020245', 'comment': '오로치마망 성능은 몰루겟는대\n레지나는 안티메카닉 기믹이 필요한 특정 스테이지 외에는 거의 안 쓰임'}]",https://arca.live/b/counterside/40347090,2021-12-14 18:43:26,33,0,5
40346259,Konzept,그래서 오로치 성능 어떰,찌찌고 나발이고 난 성능이 중요해,"[{'user': '금태링다메다메', 'comment': '(emoticon)'}, {'user': 'Konzept', 'comment': '(emoticon)'}, {'user': '근로카운터#35660546', 'comment': '타워여야 할 얘가 레인저로 억지로 쳐나온 느낌'}, {'user': '나그거없는데', 'comment': '강철챌에서 케오린이랑 오로치랑 DPS 비슷하던데 협전나와서 비교해봐야할듯. PVP는 몰?루'}]",https://arca.live/b/counterside/40346259,2021-12-14 18:32:51,74,0,4
