index,user,title,content,comment,link,date,view,rate,comment_count
39839753,ㅇㅇ#48311710,퀸 원래 이렇게 물몸이야??,이볼브원 가은궁같은거 쏘는거 몇번맞으니까 사라짐,"[{'user': '건공', 'comment': 'ㅇㅇ당연히 물몸이지 그나마 각성이라 스나치고 좀 더 튼튼한거임'}, {'user': '늒네#86893131', 'comment': '스나라서 딜은 쎈데 개물몸'}, {'user': 'zkamcc', 'comment': '보통 이볼브원 궁은 누가 맞아도 사라지긴 함... 그리고 퀸이 물몸인거도 맞음'}, {'user': '진실의문#23527495', 'comment': '스나이퍼니 당연히 물몸임'}, {'user': 'ㅇㅇ#23184099', 'comment': '사람은 핵을 맞으면 죽어'}, {'user': '견로', 'comment': '개가 물몸인거도 맞는데 핵은... 다죽임'}]",https://arca.live/b/counterside/39839753,2021-12-07 0:24,92,0,6
39836755,ㅇㅇ#17168201,이볼브원은 출시직후때부터 앰뒤캐 소리들음??,지금까지 한 번도 밴 당한적 없어?,"[{'user': 'ㅇㅇ#10807347', 'comment': 'ㅔㅏ'}, {'user': 'OO#11491673', 'comment': '힐밴이 면죄부.'}]",https://arca.live/b/counterside/39836755,2021-12-06 23:51,48,0,2
39833665,대적자리이헤븐즈사인민혁,상대방 이볼브원은 존나 안뒤지는데,내가 쓰는 이볼브원은 ㄹㅇ깡통새끼 라서 그런가흐하하하하하하하 하기전에 뒤진다,"[{'user': '카붕가붕이#67881991', 'comment': '내 이볼브원은 푹신푹신해 쿠션임'}, {'user': '대적자리이헤븐즈사인민혁', 'comment': '(emoticon)'}, {'user': '제이크', 'comment': '그건 이볼브원의 강약이 문제가 아님 어차피 다 똑같은 메스충 깽통들인데 ㅋㅋ 호위무사 어케 쓰는지가 제일 중요함 이번주 같이 코6 밴되서 니가와 택틱 힘들어지고 호위무사 힘 빠지는 주간에 이볼브도 덩달아 약해지는게 그런거'}, {'user': '대적자리이헤븐즈사인민혁', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/39833665,2021-12-06 23:14,56,0,4
39833559,공원의수호자#44549237,와 이볼브원이 호라이즌도 잡아먹네,생각해보면 당연한 일인데나 바보인가,"[{'user': '대적자리이헤븐즈사인민혁', 'comment': '(emoticon)'}, {'user': '카붕가붕이#67881991', 'comment': '(emoticon)'}, {'user': '누소', 'comment': '(emoticon)'}, {'user': 'Onedaymore', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/39833559,2021-12-06 23:13,64,0,4
39828778,페소라붕카린이,충고를 받아들여 주화 좀 더 샀다,"1시간 남은 스킨 3개 세트 사기로 했음자주 쓰는 애 사라니까...요즘 한창 이볼브원 호위무사로 쓰는 주시영이랑,3코 국밥 레인저겸 선생님 바라기인 가은이랑스충 복사되는 국밥 서포터인 하림이 사기로 함시영이는 수영복 입히고, 하림이는 운동복 입히면 되는데 가은이가 문제네......가은이 스킨 3개 중 뭐 사서 입힐까?","[{'user': '아카라이브아카녹화엌ㅋㅋ', 'comment': '한푸개운'}, {'user': '페소라붕카린이', 'comment': '셋 다 퀄리티가 너무 좋아서 그런가 의견이 다 갈리네;;'}, {'user': '늒네#86893131', 'comment': '백바니'}, {'user': '페소라붕카린이', 'comment': '(emoticon)'}, {'user': 'flawless', 'comment': '흑가은'}, {'user': '페소라붕카린이', 'comment': '어차피 인게임은개판싸움이라 안보일테니 대사달달한 흑가운 ㄱㄱ'}, {'user': 'flawless', 'comment': '어차피 인게임은개판싸움이라 안보일테니 대사달달한 흑가운 ㄱㄱ'}, {'user': '페소라붕카린이', 'comment': '오, 일리가 있네\n스킨 대사 좀 들어보러 가야겠다'}, {'user': 'CCCAAA', 'comment': '한푸'}, {'user': '페소라붕카린이', 'comment': '(emoticon)'}, {'user': 'ㅐㄴ', 'comment': '난 흑바니'}]",https://arca.live/b/counterside/39828778,2021-12-06 22:21,89,1,11
39824720,잉딩,그래서 이볼브짱 언제출시함,,"[{'user': 'Ozymandias', 'comment': '저딴건 메카닉의 수치'}, {'user': 'Cacao#25953018', 'comment': '(emoticon)'}, {'user': 'Cacao#25953018', 'comment': '어우 꼴도 보기 싫다'}, {'user': 'Ozymandias', 'comment': '어우 꼴도 보기 싫다'}, {'user': 'Cacao#25953018', 'comment': '그치만 소대는 솔직한걸?'}, {'user': 'Ozymandias', 'comment': '? 둘다 없는데?'}, {'user': 'Cacao#25953018', 'comment': '칫'}, {'user': 'Ozymandias', 'comment': '야누스는 있음'}]",https://arca.live/b/counterside/39824720,2021-12-06 21:38,42,0,8
39820705,이볼브,로조도 요리 완료,개인적으로 48층보다 더 쉽다고 느껴졌음특수기 머리돌리기용으로 강소영 넣었는데 특수기 반대로 빼지도 못하고 코스트만 날림 ㅋㅋㅋ;;이제 이볼브원 너만 남았따..,"[{'user': '견로', 'comment': '(emoticon)'}, {'user': '이볼브', 'comment': '(emoticon)'}, {'user': '비질란테', 'comment': '이거 콘 ㄹㅇ 귀여움'}, {'user': '이볼브', 'comment': '이거 콘 ㄹㅇ 귀여움'}, {'user': '메카덱에다살덩이좀넣지마', 'comment': '와 시발 콘 뭐야 ㅋㅋㅋㅋㅋㅋㅋㅋ 어지럽네'}, {'user': '이볼브', 'comment': '와 시발 콘 뭐야 ㅋㅋㅋㅋㅋㅋㅋㅋ 어지럽네'}, {'user': '메카덱에다살덩이좀넣지마', 'comment': '우리 노짱은 없는게 없다 이거야'}, {'user': 'Serika#99810606', 'comment': '좆고수;;'}, {'user': '극한의가능충', 'comment': '(emoticon)'}, {'user': '던붕이', 'comment': '썩은물'}]",https://arca.live/b/counterside/39820705,2021-12-06 20:49,65,1,10
39817852,lllBoomerlll,오따꾸 극혐,저어는 이볼브원 뷰지나 만질래요,"[{'user': '누소', 'comment': '(emoticon)'}, {'user': '중국몽죄인', 'comment': '(emoticon)'}, {'user': '촤드', 'comment': '(emoticon)'}, {'user': 'Nanoha', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/39817852,2021-12-06 20:11,40,0,4
39810585,판타지카,아니 진짜 이볼브원 밴 없엇네,메타캐릭도 많을텐데 왜 이볼브원만 밴 안됨?,"[{'user': '중국몽죄인', 'comment': '해킹추'}, {'user': '판타지카', 'comment': '해킹추'}, {'user': '네모네모', 'comment': '밴시스템상 밴을 먹을수가없음'}, {'user': '판타지카', 'comment': '(emoticon)'}, {'user': '시그마꼴리더라#96486884', 'comment': '하위권에서 쓰질 않는데 먹을 수가 없지'}, {'user': '판타지카', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/39810585,2021-12-06 18:18,113,0,6
39810565,청정뉴비,아니 ㅅㅂ 능지 실환가,복귀했을때 이게 창고에 있고 황금탄 3000개가 있었는데이볼브원 빼고 각성 풀컬렉이면능지가 있는 새끼면 이걸로 이볼브원을 받고3000개로 전용 장비를 만드는게 정상이 아닌가?ㅅㅂ 각성 재무장 언제나옴,"[{'user': '각성김철수', 'comment': '(emoticon)'}, {'user': '아루룽', 'comment': '(emoticon)'}, {'user': '카린웡', 'comment': '(emoticon)'}, {'user': 'SDAKAJUXIM', 'comment': '2호기하고싶은거해'}, {'user': '청정뉴비', 'comment': '(emoticon)'}, {'user': 'NaNi#52381415', 'comment': '(emoticon)'}, {'user': '청정뉴비', 'comment': '(emoticon)'}, {'user': '나그거없는데', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/39810565,2021-12-06 18:17,159,2,8
39810470,천리사,낼 뽑기,지금 이볼브원하고 퀸빼고 풀각인데 담 신캐 존버할까 아님 퀸 뽑을까??,"[{'user': '뚜빵이', 'comment': '신캐'}, {'user': '뚜빵이', 'comment': '퀸이 안좋다 이런건 아니고... 다른거 다 있으면 아쉬울 일은 없음'}, {'user': '천리사', 'comment': '존버하겠음 ㄱㅅㄱㅅ'}, {'user': 'ㅇㅇ#79729761', 'comment': '기채권 널널하지않으면 킵이 나을거 같은데ㅐ'}, {'user': '천리사', 'comment': '그래서 고민중인데 존버하기로 결정함'}]",https://arca.live/b/counterside/39810470,2021-12-06 18:16,48,0,5
39795974,1롸벗1,내가 각미나 각시윤 이볼브가 없거든,선택권으로 뭘 뽑는게 좋을까???,"[{'user': '아카라이브아카녹화엌ㅋㅋ', 'comment': '깡통'}, {'user': '아카라이브아카녹화엌ㅋㅋ', 'comment': '아님 시윤'}, {'user': '1롸벗1', 'comment': '이볼브는 조각 캘수있어 보이던데 각시윤이 좋을려나???'}, {'user': '아카라이브아카녹화엌ㅋㅋ', 'comment': '보통 그거 캘 수 있으면 이미 침식체니까 알아서 하면 됨'}, {'user': '1롸벗1', 'comment': '몇일전 리셋전에 48까진 가긴했는데...'}, {'user': '양념게장한접시', 'comment': '(emoticon)'}, {'user': '비질란테', 'comment': '이볼브원 뽑고 닉값 ㄱ'}]",https://arca.live/b/counterside/39795974,2021-12-06 13:59,84,0,7
39795891,베론#78884282,이볼브덱이 니가와 상대로 힘든건가.,상대가 내쪽으로 오기를 기다려야되는데 타워로 압박하면 어쩔수 없이 내게됨...,,https://arca.live/b/counterside/39795891,2021-12-06 13:57,33,0,0
39795728,"ㅇㅇ, 49.165",7t 나오는데 이볼브원 전장 캐는 게 맞나,그냥 7t 캐는 게 나을 듯?,"[{'user': '무야홍어', 'comment': '콜록이나 우엉이 소빈이말곤 전장에목숨걸이유가없다'}, {'user': 'ㅇㅇ, 49.165', 'comment': 'ㅇㅋ ㄱㅅ'}, {'user': '금태링다메다메', 'comment': '전장은 승급 되자너'}, {'user': 'ㅇㅇ, 49.165', 'comment': '그른대 파밍 너무 오래 걸려'}, {'user': '금태링다메다메', 'comment': '하긴 그건 마자'}]",https://arca.live/b/counterside/39795728,2021-12-06 13:54,69,0,5
39791183,나에엥,난 50층트라이하다가 좇같아서 걍 초기화함,나중에 공익 재무장나오면 공익 솔플로 이볼브원 깰수있겠지 뭐 ,"[{'user': '오뎅식당부대찌개', 'comment': '끔찍한소리'}, {'user': '비질란테', 'comment': '???:제가 디렉터로 있는 한!'}, {'user': '더글라스#96309433', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/39791183,2021-12-06 12:39,66,0,3
39790516,비질란테,다이브 50층 킬포,함선터지면 이볼브원이 화면 보면서 놀리는거 암? ㅋㅋ,,https://arca.live/b/counterside/39790516,2021-12-06 12:28,35,0,0
39787279,ㅇㅇ#67770628,다이브 이볼브원 전진출격으로 궁빼는 미세팁,핵 쏘려고 손 들때 내면 좋음궁게이지 다 참 -> 손 위로 번쩍 -> 타게팅 -> 핵 발사라서오른쪽 상단에 궁게이지 다 찼다고 바로 캐릭 내면타게팅 되기전에 뒤져가지고본진으로 날아옴암튼 타이밍 맞춰서 내면 노템 요하나로도 가능,"[{'user': '나에엥', 'comment': '영상""해줘""'}, {'user': '으으#85767721', 'comment': '일시정지 컨 하면서 피슝 할때 내면 딱 맞음'}]",https://arca.live/b/counterside/39787279,2021-12-06 11:25,124,0,2
39786689,ㅇㅇ#94801077,코핀-6 개량형 Mk.5 출시,양산형 이볼브원,,https://arca.live/b/counterside/39786689,2021-12-06 11:14,35,0,0
39784660,베론#78884282,이번주 건은 무슨덱으로 갈까.,무난하게 이볼브원덱이 낫겠지?,,https://arca.live/b/counterside/39784660,2021-12-06 10:37,23,0,0
39780243,천공분열,이번 주 랭전 이볼브 막을 픽이 있나,랭전은 안 하긴 한다만 이볼브원 깽판 막을 픽이 적어보이는데,"[{'user': 'Nanoha', 'comment': '리타도 밴이네\n코핀이 2밴이니 함선테러?'}, {'user': '천공분열', 'comment': '아 코핀 2밴이구나 새악보다 안 보일지도 모르겠네'}, {'user': '제이크', 'comment': '개좆핀 2밴 아님? 좆핀 아니면 상대하기 상당히 쉬워져서 이번주는 깡통주간은 아닐 거 같은데 몰루킹도 밴 내려서 써봄직해졋고'}, {'user': '천공분열', 'comment': '아 이볼브원이랑 코핀6이 동시에 존재해야 풀파워 나는구먼'}, {'user': '아카라이브아카녹화엌ㅋㅋ', 'comment': '코핀 2밴이라 오하이오 이딴거 타고 다녀야해서 몰?루'}, {'user': '갤쁘리', 'comment': '타워니가와가 깡통씹어먹음 딱 정석공략임 깡통상대법'}]",https://arca.live/b/counterside/39780243,2021-12-06 8:25,66,0,6
39780205,110등,이볼브원 밴 안당하는 이유,무조건 글리치에 그 주에 쓸만한 호위무사 스커를 넣기때문에이볼브원 안쓰는 메카덱이나해당 스커 쓰는 다른덱때문에 얘네가 대신 밴먹음스커랑 디팬더 밴먹는거 대부분 깡통들 호위무사픽임글리치+깡통 에다가 업유닛이랑 그 주 핫한 호위무사 얹으면 덱 완성거기에 깡우랑 각우까지 생겨서 얘네가 밴 대신 맞아줌이볼브원은 절대로 밴안당함밴 구조자체를 바꿔야 밴먹을텐데그런거 할 놈들이였으면 겜 이꼬라지 안났음,"[{'user': 'Poca', 'comment': '이번주는 타오린 안쓰는 깡통은 안무서움'}, {'user': '110등', 'comment': '이번주는 타오린 안쓰는 깡통은 안무서움'}, {'user': '찹쌀찰떡#74954459', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/39780205,2021-12-06 8:23,85,0,3
39780068,천공분열,나 진짜 궁금한디,이볼브원 얜 왜 밴 한번도 안 먹음?분명 쓰는 사람들은 많은데 뭐지?,"[{'user': '역시난', 'comment': '사실 쓰는 사람이 많다고 무조건 밴을 먹는게 아니거든요'}, {'user': 'Poca', 'comment': '전체적인 유저수로 보면 각성캐중에서 제일 적은건 사실이니까 밴은 하위권도 영향받아서'}]",https://arca.live/b/counterside/39780068,2021-12-06 8:18,54,0,2
39776939,비질란테,이 판이 ㅈㄴ 웃긴게 뭐냐면,저 구석에 우드퍽커 보임?실수로 저거 안잡고 이볼브원 체력만 보고 있었는데점마가 내 타오린 후장 강간하고 함선 홍콩보냄ㅈㄴ 어이없는 실수해서 진거야,,https://arca.live/b/counterside/39776939,2021-12-06 4:16,86,-1,0
39776596,비질란테,게임은 질병이 맞는거 같다,여기까지 와서 지니까 진짜손발 떨린다는게 뭔소린지 체감 확되네토나올거 같다 진짜아니 이볼브원 필요 없으니까 마타도르라도 구경하겠다는데그게 그렇게 잘못이냐?으유 씨발 ㅈ망겜,"[{'user': '으으#85767721', 'comment': '혹시 핵이나 버프제거 맞고 밀리는거 아녀? 잉그리드 넣으면 핵도 피할 수 있고 버프제거도 잠깐 벽해줄 수 있는데'}, {'user': '현붕이', 'comment': '힘내라 게이야 머리 좀만 식히고 하면 어케 될거 같노 할 수 있을거다 화이팅'}, {'user': 'Poca', 'comment': '더 하면 멘탈에만 안좋을거같은데 컨디션 회복하고하셈 깰수는있겠네'}, {'user': '찌리찌리', 'comment': '(emoticon)'}, {'user': '왕소라', 'comment': '할수있다 \n지금은 멘탈문제인듯'}]",https://arca.live/b/counterside/39776596,2021-12-06 3:56,117,0,5
39776367,다정자#63701435,뉴비 넘모 기쁘다 ㅠㅠㅠㅠㅠㅠㅠ,각우까지 불러서 영혼의 사투를 벌임근데 각우는 이볼브원이 거르는듯베로니카 타이밍 놓쳐갖고 각우가 생각보다 더 빨리 죽어서 또 강종해야 할까봐 개쫄렸음솔직히 이 때 못 깬 줄 알음 ㅜWIN 떴을때 ㄹㅇㄹ 기뻤음 이볼브 원의 우람힘이 아니면 만족을 못하는 기순이 눈나도 보고거의 2주동안 다이브 마지막층 깨고 초기화 하겠다도 생쇼를 했었는데.... ㅜㅜㅜ나도 이제 다정자!,"[{'user': '기린그린', 'comment': '(emoticon)'}, {'user': '비질란테', 'comment': '저기 각우 꺼내면 흡수당해서 뒤지지 않냐'}, {'user': '다정자#63701435', 'comment': '그냥 지나갔던것 같음'}, {'user': 'ㅐㄴ', 'comment': '캬 0초 클리어가 진짜 쾌감 쩔지'}]",https://arca.live/b/counterside/39776367,2021-12-06 3:43,84,0,4
39775519,비질란테,아 다이브 존나 하기 싫어 진짜,아니 씨발 나 이볼브원 필요없고 마타도르라도 달라고 진짜,"[{'user': '늒네#86893131', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/39775519,2021-12-06 3:03,71,0,1
39771040,기돈곤겪기하치코,그냥 뇌 빼고 미니오토 돌려야하나,와 시발 어떻하면 이렇게 역겹고 좆같은 주간이 나오지?? 시발 좆같은 이볼브원 개새끼 핑챙 그 딴딴한 방어막으로 지랄할거 생각하면 2밴 먹은 나유빈 써야하나싶네 시발 어카냐;;,"[{'user': 'Poca', 'comment': '(emoticon)'}, {'user': '기돈곤겪기하치코', 'comment': '(emoticon)'}, {'user': '극한의가능충', 'comment': '시즌2749493호 건 좆같은 주간'}, {'user': '기돈곤겪기하치코', 'comment': 'ㄹㅇㅋㅋ'}]",https://arca.live/b/counterside/39771040,2021-12-06 1:06,133,0,4
39770390,Rhidelz,예전 건에선 메카덱이 예능덱이었는데,탱 맡아줄 메카가 타이탄 하나라 그나마 얘 탱으로 세우고 이프리트 야누스 응디 믿고 코핀타고 등반했었음 이볼브원이 환상의 동물로 여겨지던 시절이어서 지금은 메카 디펜이 볼브랑 호라이즌도 있고 돈까스맨도 있는데 그땐 메카 디펜이 하운드 하나밖에 없던 시절이라말 그대로 관짝6이랑 이프 야누스 응디 믿고 미는 덱이었던걸로 기억함예전에는 예능덱 냄새가 있었는데 지금은 랭커 전략 중 하나가 된거 같음,"[{'user': 'djdojo', 'comment': '공중,지상 깡통이 밴먹은 시점부터\n예능덱 아니냐'}, {'user': 'Rhidelz', 'comment': '그때도 이프 야누스 밴먹으면 메카덱 반갈죽당했음'}, {'user': 'djdojo', 'comment': '(emoticon)'}, {'user': 'Rhidelz', 'comment': '(emoticon)'}, {'user': 'Paka', 'comment': '그때도 러쉬덱으론 절대못이기던ㅋㅋ'}]",https://arca.live/b/counterside/39770390,2021-12-06 0:55,92,0,5
39769354,ㅇㅇ#21922564,솔직히 메스충 아닌 이볼브원은 그냥 고철이던데,ㄹㅇ,"[{'user': 'Poca', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/39769354,2021-12-06 0:38,54,0,1
39768943,Cacao#25953018,메카 메스충 이볼브 줄까 후라이줄까,몬가 pve에서도 이볼브 굴려보고 싶어짐,"[{'user': '늒네#86893131', 'comment': '각우'}, {'user': 'Poca', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/39768943,2021-12-06 0:32,37,0,2
39768892,마망쭈쭈조,사기캐면 밴을 당하지ㅋㅋㅋㅋ,이볼브원이 왜 밴을 안먹겠냐ㅋㅋㅋㅋ,"[{'user': 'ㅇㅇ#52205856', 'comment': '(emoticon)'}, {'user': '비염싫어', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/39768892,2021-12-06 0:31,82,-2,2
39768820,즈아크#72266523,이볼브가 밴 안당하는게 하위권에서 잘 안써서 그런건가?,"메카닉 메이즈 셋 맞추는게 개헬이고 보통은 카운터 장비를 우선으로 맞추는데다가, 메카덱 아니어도 사용가능한 후라이즌하고 달리 이볼브는 메카덱이 필수라 건 하위권에선 쓸일이 안보여서 그러는건가..","[{'user': '충혹마', 'comment': '(emoticon)'}, {'user': '비염싫어', 'comment': '사실 이제는 쓸사람들은 다 뽑았을텐데 모르겠음'}, {'user': 'djdojo', 'comment': 'ㄴㄴ 각후 출시 전 하위권에서 자주 터져서 그럼'}, {'user': '굽네바사삭', 'comment': '맞음 애초에 저티어 단계에서 돌리는 이볼브는 장비 없거나 재미로 돌리는 게 대부분이더라'}, {'user': '금태링다메다메', 'comment': '저티어는 잘 안쓰나 보지 뭐 솔직히 로봇이라 호불호 갈리니까'}]",https://arca.live/b/counterside/39768820,2021-12-06 0:30,91,2,5
39768376,충혹마,반갑다 휴먼. 나는 이볼브원이다.,카운터사이드 기획팀으로부터 받은 스튜디오비사이드 대표의 극비 영상 보관중이다.이 영상이 있는한 나는 절대 밴 당하지 않는다.계속 잘부탁한다. 휴먼.,"[{'user': 'Aoi', 'comment': '(emoticon)'}, {'user': '늒네#86893131', 'comment': '(emoticon)'}, {'user': '누소', 'comment': '(emoticon)'}, {'user': 'ㅇㅇ#79021928', 'comment': '진짜 한번쯤은 될만한데 존나 신기하넼ㅋㅋㅋㅋㅋ'}, {'user': '금태링다메다메', 'comment': '(emoticon)'}, {'user': '철덩이', 'comment': '(emoticon)'}, {'user': '하루한캔데자와#77832622', 'comment': '(emoticon)'}, {'user': '랑편#60846748', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/39768376,2021-12-06 0:23,1307,51,8
39768375,씨에스,이볼브원 죽이려면 뭐들고 가야 됨?,리타는 벤이고,"[{'user': 'Cacao#25953018', 'comment': '타이탄'}, {'user': 'Cacao#25953018', 'comment': '구라안치고 진짜 타이탄'}, {'user': '씨에스', 'comment': '(emoticon)'}, {'user': '비염싫어', 'comment': '진짜 타이탄이 잘 잡기는 하는데 기순이+이프리트면 ㄹㅇ 5초컷이 남'}, {'user': '비염싫어', 'comment': '그게 아니면 공익이라도 넣으셈'}, {'user': '맛있는힐데리아', 'comment': '구관총'}, {'user': '굽네바사삭', 'comment': '기순+이프'}, {'user': '씨에스', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/39768375,2021-12-06 0:23,64,0,8
39767759,ARRW,이볼브는 여태 노밴이네,덱 꼬이면 좆되는 경우가 많아서 그러나,"[{'user': 'ㅇㅇ#34535044', 'comment': '깡통 밴막는 글리치 스패로우가 삼중나생문마냥 있거등요'}, {'user': '비염싫어', 'comment': '사용률이 낮고\n항상 2등~3등덱이라 피해감'}, {'user': '비염싫어', 'comment': '반대로 깡통덱만 있으면 매주 적당히 살 수 있음'}, {'user': '충혹마', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/39767759,2021-12-06 0:15,52,0,4
39766853,영원한라뉴비,업유닛 3개 다 쓸만하다?,"나유빈은 뺀다 치더라도2밴 코핀 쓸만하려나?업핑챙 이볼브 존나 쎘었는데업핑챙, 업노, 이볼브원 조합만 할 수 있으면 아주 좋을듯","[{'user': '밀리에밀리', 'comment': '업누 ㅋㅋ'}]",https://arca.live/b/counterside/39766853,2021-12-06 0:03,74,0,1
