index,user,title,content,comment,link,date,view,rate,comment_count
33662211,이히힝#28957736,스킨 놓쳐도 살수있잖아,30일 접었다오면 복귀기념 스킨커스텀패키지팜최신거빼고 다팔걸??근데 30일접속안하면 그대로접을듯,"[{'user': 'c0in', 'comment': '30일 접을 능지상승이면 그대로 인생살지 ㅋㅋㅋ'}, {'user': '이히힝#28957736', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/33662211,2021-09-09 14:09:27,72,1,2
33662142,열상,쿼츠로 주간 채용권 패키지 사고싶다,,"[{'user': '땅국#36049359', 'comment': '(emoticon)'}, {'user': '지붕', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/33662142,2021-09-09 14:08:13,52,0,2
33658722,ㄹㅇ늒네#93270120,추석때 혜자 패키지 많이 나오것제?,3주된 카붕이 현질 마려운대 지를게 없어서 발동동 하고있다,"[{'user': '제이크', 'comment': '기업성장인가 그거랑 월정액 사셈 ㄱㄱ'}, {'user': 'ㄹㅇ늒네#93270120', 'comment': '월정액1,2랑 기업성장은 이미 풀매수함'}, {'user': '카붕쿤', 'comment': '채용패킈즤 고고씡'}]",https://arca.live/b/counterside/33658722,2021-09-09 13:11:37,50,0,3
33654561,"ㅇㅇ, 14.6",그마 달성 후...,10월 1일에 셋바패키지 풀매수하고 챌도전 간다,,https://arca.live/b/counterside/33654561,2021-09-09 12:05:06,32,0,0
33648816,코코야야,응애 뉴비 저녁에 게임켜면 할거 목록,"1. 월정액 주화,쿼츠 사기2. 카운터패스 사기3. 스타터패키지 특별,123 풀매수4. 행복카사지금 게임을 못켜서 공지에 있는거보고 살거 생각해둔건데바뀐거 있으면 알려주셈 게임 UI도 다 달라져서 복귀가 아니라 진짜 응애된거같음",,https://arca.live/b/counterside/33648816,2021-09-09 10:03:28,18,0,0
33648385,나사나이다,셋바패키지 사야겠다,생각해보니까 셋바 600개 써서 스충 하나 띄울 운명이라고 치면 패키지 사서 카운트 40번 깎아줘야 20번 후에 딱 먹는거아님?당장 사야겠노,,https://arca.live/b/counterside/33648385,2021-09-09 09:53:38,18,0,0
33645481,게테라토스,사상최악의 쓰레기 셋바패키지 사지마셈,그대로 공중분해되고 크레딧도 부족해서 튜바도 못돌리고있음,"[{'user': '기돈곤겪기', 'comment': '(emoticon)'}, {'user': '마싯는감자칩', 'comment': '(emoticon)'}]",https://arca.live/b/counterside/33645481,2021-09-09 08:06:44,70,0,2
33641993,나뤼,맨땅계로 한달쯤 했는데 80 박음,그동안 한거 종합해봄이볼브는 솔직히 비틱으로 먹었고 킹 갖고싶어서 패키지 샀는데 퀸나옴가챠 끝나는 전날 친구한테 20빌려서 킹 천장쳤음마리아 보고 시작했는데 운좋게 외전에서 금방 떠서 제일 열심히 키움보통 스충준다길래 당연히 애정캐는 풀템 줄려고 커리지 하나 꼈지만 메스충 맞춤함선은 몰루 코핀 순으로 만들고 레이크랑 뉴디트는 선택권으로 받음 며칠전에 신은나 만들었는데 소재가 없다알비온 갖고싶어서 챌린지 티켓 사가면서 밀었는데 지금 좀 막힘그전은 2오토 되고 다이브는 8월에 45층까지 깨고 초기화했음그래도 한달만에 전략전 챌이랑 랭크전 플레 찍음리그전은 재밋어보이는데 뉴비라 쓸 캐릭풀이 좁아서 아직 무리이정도면 알차게 즐기고 있다오래보자 애들아,"[{'user': '학점대폭발', 'comment': '(emoticon)'}, {'user': '나뤼', 'comment': '(emoticon)'}, {'user': '모스모', 'comment': '-건-'}]",https://arca.live/b/counterside/33641993,2021-09-09 03:21:02,41,4,3
33639752,룰루,대충 담주 기채패키지 사면 110연가능은한데,주시윤 픽업때까지 노현질로 천장칠수있나?,"[{'user': '암왕제군', 'comment': '나오고 3주간 픽업할 거 같은데 계산해보셈'}, {'user': 'ㅈㅇㅈㅎ#19865107', 'comment': '애매하게 모자를거같은데'}, {'user': '씨에스', 'comment': '그안에 뜰걸'}, {'user': '박희리씨', 'comment': '주간 일퀘하고 보급소 비틱 생각하면 천장될것 같은데'}]",https://arca.live/b/counterside/33639752,2021-09-09 02:09:22,36,0,4
33638551,카사하는병신,셋바패키지에 크레딧좀 끼워주지,존나모자르네ㄹㅇ,,https://arca.live/b/counterside/33638551,2021-09-09 01:42:05,14,0,0
